0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
606,73,449,0,0,0,0,0,0,0,0,0,0,0,0,0
446,62,456,0,0,0,0,0,0,0,0,0,0,0,0,0
458,87,396,0,0,0,0,0,0,0,0,0,0,0,0,0
470,112,382,0,0,0,0,0,0,0,0,0,0,0,0,0
313,101,467,0,0,0,0,0,0,0,0,0,0,0,0,0
279,103,549,0,0,0,0,0,0,0,0,0,0,0,0,0
249,117,484,0,0,0,0,0,0,0,0,0,0,0,0,0
256,100,519,0,0,0,0,0,0,0,0,0,0,0,0,0
217,84,499,0,0,0,0,0,0,0,0,0,0,0,0,0
257,107,500,0,0,0,0,0,0,0,0,0,0,0,0,0
197,143,519,0,0,0,0,0,0,0,0,0,0,0,0,0
140,147,616,0,0,0,0,0,0,0,0,0,0,0,0,0
162,142,573,0,0,0,0,0,0,0,0,0,0,0,0,0
123,75,578,0,0,0,0,0,0,0,0,0,0,0,0,0
126,58,563,0,0,0,0,0,0,0,0,0,0,0,0,0
95,32,606,0,0,0,0,0,0,0,0,0,0,0,0,0
107,0,558,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,627,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0,593,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0,506,0,0,0,0,0,0,0,0,0,0,0,0,0
115,0,509,0,0,0,0,0,0,0,0,0,0,0,0,0
124,0,554,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,585,0,0,0,0,0,0,0,0,0,0,0,0,0
128,0,533,24,0,0,0,0,0,0,0,0,0,0,0,0
112,0,531,40,0,0,0,0,0,0,0,0,0,0,0,0
87,0,548,24,0,0,0,0,0,0,0,0,0,0,0,0
109,0,472,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,515,0,0,0,0,0,0,0,0,0,0,0,0,0
113,0,624,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,524,0,0,0,0,0,0,0,0,0,0,0,0,0
47,625,625,0,0,0,0,0,0,0,0,0,0,0,0,0
95,616,616,0,0,0,0,0,0,0,0,0,0,0,0,0
58,568,568,0,0,0,0,0,0,0,0,0,0,0,0,0
76,508,508,0,0,0,0,0,0,0,0,0,0,0,0,0
114,570,570,26,0,0,0,0,0,0,0,0,0,0,0,0
91,559,559,33,0,0,0,0,0,0,0,0,0,0,0,0
65,568,568,0,0,0,0,0,0,0,0,0,0,0,0,0
54,573,573,0,0,0,0,0,0,0,0,0,0,0,0,0
40,550,550,0,0,0,0,0,0,0,0,0,0,0,0,0
36,574,574,0,0,0,0,0,0,0,0,0,0,0,0,0
40,604,604,30,0,0,0,0,0,0,0,0,0,0,0,0
0,582,582,40,0,0,0,0,0,0,0,0,0,0,0,0
21,508,508,27,0,0,0,0,0,0,0,0,0,0,0,0
0,495,495,42,0,0,0,0,0,0,0,0,0,0,0,0
0,563,563,43,0,0,0,0,0,0,0,0,0,0,0,0
23,505,505,43,0,0,0,0,0,0,0,0,0,0,0,0
0,458,458,21,0,0,0,0,0,0,0,0,0,0,0,0
0,481,481,26,0,0,0,0,0,0,0,0,0,0,0,0
0,484,484,0,0,0,0,0,0,0,0,0,0,0,0,0
0,417,417,61,0,0,0,0,0,0,0,0,0,0,0,0
0,378,378,23,0,0,0,0,0,0,0,0,0,0,0,0
0,380,380,0,0,0,0,0,0,0,0,0,0,0,0,0
0,344,344,0,0,0,0,0,0,0,0,0,0,0,0,0
0,324,324,0,0,0,0,0,0,0,0,0,0,0,0,0
0,369,369,0,0,0,0,0,0,0,0,0,0,0,0,0
