Coordinate,IC_num,CG_num,IC_amp,CG_amp,LJ,Sigma,Time
"[152.3551316071429, -29.009272892857137]",24,4,68.41399999999999,20.094,,,03:32
"[152.33958277777776, -29.021493833333334]",16,2,35.604000000000006,29.869,,,03:34
"[152.40967063888894, -29.001131083333334]",33,3,95.134,32.996,,,03:36
"[152.3946685294118, -29.01898188235294]",34,0,99.951,0.0,False,-0.1587601615957003,03:38
"[152.42801830434786, -28.933691152173907]",39,7,133.73799999999997,104.965,False,0.9660470597136224,03:40
"[152.4004165081967, -28.884469147540983]",56,5,181.021,60.843,False,1.309556804567959,03:42
"[152.3504528554217, -28.965936144578308]",76,7,250.71599999999995,63.432,False,1.828261862114968,03:44
"[152.41452753913035, -28.90236564347826]",100,15,315.6989999999999,126.77600000000002,True,3.4914862437758782,03:46
"[152.46000748951056, -28.819684503496504]",141,2,407.36,34.056,True,2.2261518843936456,03:48
"[152.44812056441725, -28.84128088343559]",156,7,478.8340000000002,85.017,True,2.370227315699886,03:50
"[152.4221116589596, -28.86742397109827]",166,7,538.109,89.52099999999999,LJ_Continues,1.494035761667992,03:52
"[152.43126869318186, -28.858107443181815]",174,2,533.2379999999996,43.329,LJ_Continues,0.3565370164061462,03:54
"[152.4452706854459, -28.87253130046949]",209,4,660.9269999999998,56.010000000000005,True,3.0537866787022097,03:56
"[152.46316552631578, -28.89956778289474]",149,3,456.1430000000001,53.21,LJ_Continues,-4.481177279590388,03:58
"[152.45399497206705, -28.907938240223444]",175,4,571.0679999999999,33.932,LJ_Continues,0.7227160921355118,04:00
"[152.42383436734687, -28.9076064846939]",187,9,549.6880000000001,115.492,LJ_Continues,0.4435151521329591,04:02
"[152.43276983050845, -28.8915826101695]",169,8,526.5340000000001,71.179,False,-0.4901206578480457,04:04
"[152.46473730459758, -28.86329762643679]",174,0,573.7710000000001,0.0,False,-0.0746000963502311,04:06
"[152.46709158959538, -28.844834167630047]",168,5,534.9849999999999,48.976,False,-0.0288530905190558,04:08
"[152.4320133441861, -28.878827567441874]",196,19,617.2400000000005,186.044,True,2.329024311496648,04:10
"[152.45582865217384, -28.887431106280204]",198,9,686.9390000000001,99.487,LJ_Continues,-0.3438833058056549,04:12
"[152.49344761979162, -28.84084743229167]",187,5,649.299,54.489,LJ_Continues,-0.6432970984607266,04:14
"[152.59791476923073, -28.76393763313608]",162,7,585.8300000000003,115.528,LJ_Continues,-1.0239936199008377,04:16
"[152.5930825384616, -28.669334347826094]",287,12,996.7030000000004,158.727,True,5.120730165158087,04:18
"[152.62188189085538, -28.563895589970514]",320,19,1113.5899999999997,226.405,LJ_Continues,0.626477697286848,04:20
"[152.66618966954024, -28.611971560344834]",329,19,1137.6380000000004,265.54,LJ_Continues,0.1412349097307323,04:22
"[152.6446708623325, -28.87871221032506]",478,45,1551.4730000000015,652.8370000000001,True,2.824160677540789,04:24
"[152.54066298427674, -29.161652289308186]",295,23,955.1299999999994,222.435,LJ_Continues,-2.4580088361321395,04:26
"[152.6816098041667, -28.783604864583324]",454,26,1533.2820000000006,345.568,LJ_Continues,1.0997859430807595,04:28
"[152.41203767164174, -28.843843174129344]",201,0,644.4379999999998,0.0,LJ_Continues,-1.819774641126617,04:30
"[152.6562893933747, -28.684959784679098]",452,31,1602.5489999999986,345.597,False,1.3559604276488595,04:32
"[152.49953652140073, -28.995456280155636]",248,9,825.7160000000003,68.94399999999999,False,-0.8993106301622533,04:34
"[152.4192408310811, -28.830666155405392]",140,8,500.3769999999999,93.617,False,-0.4254447846577696,04:36
"[152.56922070817131, -29.07390465369648]",237,20,767.0070000000005,180.695,False,0.4442637493684715,04:38
"[152.56936162641517, -29.026243124528307]",261,4,802.175,39.749,False,0.0339384546456675,04:40
"[152.63448085401458, -29.223062313868596]",130,7,423.442,68.568,False,-0.6531828064286197,04:42
"[152.64480423728816, -29.240011271186447]",116,2,352.3979999999999,15.085,False,-0.1464326803078404,04:44
"[152.66750874025968, -28.63010747495361]",513,26,1882.0150000000017,320.44100000000003,True,4.394797094626416,04:46
"[152.6912727269736, -28.414629805921052]",289,15,1102.2790000000011,170.42700000000002,LJ_Continues,-1.1223776985704728,04:48
"[152.73617326690388, -28.356614430604985]",260,21,1033.582,252.03800000000004,LJ_Continues,-0.0922154456399169,04:50
"[152.68401415415823, -28.626603851926983]",471,22,1724.0860000000018,324.79799999999994,LJ_Continues,0.8485282884613017,04:52
"[152.75492073899375, -28.276070569182394]",310,8,1256.0229999999997,105.05399999999996,False,-0.6959023431651696,04:54
"[152.7195367968128, -28.503817974103587]",475,27,1866.5470000000005,318.0660000000001,False,0.6712423323570161,04:56
"[152.7662046492309, -28.258671301538456]",307,18,1269.5520000000004,188.717,False,-0.8717382187299437,04:58
"[152.76840540041076, -28.44396565092403]",445,42,1783.8540000000005,509.407,False,0.8622548759286164,05:00
"[152.79806024848483, -28.212705284848475]",306,24,1282.5659999999998,332.54900000000004,False,-0.7886788947466948,05:02
"[152.78960363783773, -28.15939529189189]",327,43,1356.802,600.2139999999999,False,0.2127560253721114,05:04
"[152.81463554761908, -28.14830896560847]",342,36,1332.9609999999989,411.5670000000001,False,0.0467490256148265,05:06
"[152.82260985800002, -28.255476408000025]",461,39,1985.8849999999989,607.5980000000003,False,0.8583316427392851,05:08
"[152.859213309091, -28.11159330909092]",348,37,1505.4719999999993,522.5330000000001,False,-0.9288400394606936,05:10
"[152.84011776721303, -28.144564508196733]",282,23,1133.6250000000005,267.108,False,-0.6993557420872124,05:12
"[152.85100326073604, -28.128660595092033]",304,22,1323.785,277.14,False,0.2212120106634906,05:14
"[152.85306259999996, -28.109561794117624]",319,21,1341.0030000000013,285.58,False,0.150470669071993,05:16
"[152.8885152390112, -28.105891881868132]",340,24,1458.0909999999997,314.5319999999999,False,0.2570958037346137,05:18
"[152.87107833726412, -28.122804594339602]",408,16,1780.0369999999991,148.636,False,0.9166236125370496,05:20
"[152.88878202131775, -28.115481914728704]",488,28,2224.5490000000004,411.0,False,1.761689367619827,05:22
