Coordinate,IC_num,CG_num,IC_amp,CG_amp,LJ,Sigma,Time
,0,0,0.0,0.0,,,00:00
,0,0,0.0,0.0,,,00:02
,0,0,0.0,0.0,,,00:04
,0,0,0.0,0.0,,,00:06
,0,0,0.0,0.0,,,00:08
,0,0,0.0,0.0,,,00:10
,0,0,0.0,0.0,,,00:12
,0,0,0.0,0.0,,,00:14
,0,0,0.0,0.0,,,00:16
,0,0,0.0,0.0,,,00:18
,0,0,0.0,0.0,,,00:20
"[156.995626, -31.102388500000007]",8,6,53.208,69.792,,,00:22
"[156.2358553125, -30.889321624999994]",15,1,95.624,14.377,,,00:24
"[156.26861886363633, -30.79729854545454]",22,0,121.64,0.0,,,00:26
"[156.26806645454548, -30.838632090909094]",30,3,160.94199999999995,71.698,False,1.8646746349572287,00:28
"[156.27211282142852, -30.79532628571428]",26,2,140.162,18.319,False,-0.847579379526013,00:30
"[156.16157709375, -30.6945925]",28,4,131.47400000000002,66.058,False,0.5330964542040233,00:32
"[156.18967352173914, -30.566776826086954]",17,6,96.4,108.818,False,-1.5367224977156488,00:34
"[156.3085985, -30.922130250000002]",7,9,36.699,108.49,,,00:36
,0,0,0.0,0.0,,,00:38
"[155.95084628571428, -30.448758428571427]",14,0,49.739,0.0,,,00:40
"[156.37462984615388, -30.709832051282053]",31,8,181.83399999999995,150.947,,,00:42
"[156.05460530769233, -30.475230769230766]",12,1,100.529,4.748,,,00:44
"[156.03868824, -30.552526439999998]",19,6,132.015,79.132,,,00:46
"[155.4214006944445, -29.834661305555553]",31,5,185.262,68.203,False,0.5072842430779829,00:48
"[155.5109065, -29.85312870370371]",51,3,193.37300000000005,13.03,False,0.9286496675015604,00:50
"[155.5090613275862, -29.87586946551724]",54,4,230.821,80.002,False,0.2019017860500274,00:52
"[155.62262444, -29.877401759999994]",24,1,80.29899999999998,9.441,False,-1.898308139420627,00:54
"[155.5436653333333, -29.823031435897445]",38,1,170.058,30.416,False,0.6861591044346834,00:56
"[155.51585124999997, -29.811318777777778]",34,2,160.552,13.666,False,-0.1452312024997287,00:58
"[155.6304954074074, -29.83696177777778]",27,0,126.81400000000002,0.0,False,-0.4452936263957641,01:00
"[155.63883575609756, -29.833129317073162]",39,2,203.557,14.317,False,0.7934845506317248,01:02
"[155.643761175, -29.834245000000003]",37,3,192.585,40.851,False,-0.0514140516324124,01:04
"[155.65852385416667, -29.829170687499992]",42,6,229.601,52.015,False,0.7645095721079945,01:06
"[155.67809358823527, -29.82587155882353]",33,1,191.197,30.683,False,-1.5302602834958905,01:08
"[155.53505347499998, -29.757370975000008]",28,12,176.361,256.516,False,0.5177418176316235,01:10
"[155.70123700000002, -29.818455161290323]",29,2,119.324,13.516,False,-0.8399850670648771,01:12
"[155.57056925000003, -29.72642011111111]",31,5,168.22199999999998,91.867,False,0.52851642258169,01:14
"[155.7501777037037, -29.791104111111114]",25,2,165.04500000000004,17.845,False,-0.9013530451137376,01:16
