Coordinate,Scale_KM,TOT_dense,IC_num,CG_num,IC_amp,CG_amp,LJ,Sigma,Time
,0.0,0.0,0,0,0.0,0.0,,,00:00
,0.0,0.0,0,0,0.0,0.0,,,00:02
,0.0,0.0,0,0,0.0,0.0,,,00:04
,0.0,0.0,0,0,0.0,0.0,,,00:06
,0.0,0.0,0,0,0.0,0.0,,,00:08
,0.0,0.0,0,0,0.0,0.0,,,00:10
,0.0,0.0,0,0,0.0,0.0,,,00:12
,0.0,0.0,0,0,0.0,0.0,,,00:14
,0.0,0.0,0,0,0.0,0.0,,,00:16
,0.0,0.0,0,0,0.0,0.0,,,00:18
,0.0,0.0,0,0,0.0,0.0,,,00:20
,0.0,0.0,0,0,0.0,0.0,,,00:22
,0.0,0.0,0,0,0.0,0.0,,,00:24
,0.0,0.0,0,0,0.0,0.0,,,00:26
,0.0,0.0,0,0,0.0,0.0,,,00:28
,0.0,0.0,0,0,0.0,0.0,,,00:30
,0.0,0.0,0,0,0.0,0.0,,,00:32
,0.0,0.0,0,0,0.0,0.0,,,00:34
,0.0,0.0,0,0,0.0,0.0,,,00:36
,0.0,0.0,0,0,0.0,0.0,,,00:38
,0.0,0.0,0,0,0.0,0.0,,,00:40
,0.0,0.0,0,0,0.0,0.0,,,00:42
,0.0,0.0,0,0,0.0,0.0,,,00:44
,0.0,0.0,0,0,0.0,0.0,,,00:46
,0.0,0.0,0,0,0.0,0.0,,,00:48
,0.0,0.0,0,0,0.0,0.0,,,00:50
,0.0,0.0,0,0,0.0,0.0,,,00:52
,0.0,0.0,0,0,0.0,0.0,,,00:54
,0.0,0.0,0,0,0.0,0.0,,,00:56
,0.0,0.0,0,0,0.0,0.0,,,00:58
,0.0,0.0,0,0,0.0,0.0,,,01:00
,0.0,0.0,0,0,0.0,0.0,,,01:02
,0.0,0.0,0,0,0.0,0.0,,,01:04
"[156.85967526666667, -30.747911866666662]",8.303,0.069,13,2,76.44,17.758,,,01:06
"[156.87644708333335, -30.573436583333333]",8.414,0.054,11,1,63.664,11.37,,,01:08
"[156.55519988636365, -30.54364963636363]",30.388,0.015,34,10,169.295,100.183,,,01:10
"[156.86702684210525, -30.657080289473697]",15.234,0.052,23,15,112.956,218.402,False,-0.40665,01:12
"[156.87963055172412, -30.559671310344832]",7.576,0.161,15,14,69.094,255.6,False,-0.56774,01:14
"[156.5431743928572, -30.50931042857144]",34.549,0.015,40,16,231.565,284.451,False,1.55445,01:16
