Coordinate,IC_num,CG_num,IC_amp,CG_amp,LJ,Sigma,Time
,0,0,0.0,0.0,,,00:00
,0,0,0.0,0.0,,,00:02
,0,0,0.0,0.0,,,00:04
,0,0,0.0,0.0,,,00:06
,0,0,0.0,0.0,,,00:08
,0,0,0.0,0.0,,,00:10
,0,0,0.0,0.0,,,00:12
,0,0,0.0,0.0,,,00:14
,0,0,0.0,0.0,,,00:16
,0,0,0.0,0.0,,,00:18
,0,0,0.0,0.0,,,00:20
,0,0,0.0,0.0,,,00:22
,0,0,0.0,0.0,,,00:24
,0,0,0.0,0.0,,,00:26
,0,0,0.0,0.0,,,00:28
,0,0,0.0,0.0,,,00:30
,0,0,0.0,0.0,,,00:32
,0,0,0.0,0.0,,,00:34
,0,0,0.0,0.0,,,00:36
,0,0,0.0,0.0,,,00:38
,0,0,0.0,0.0,,,00:40
,0,0,0.0,0.0,,,00:42
,0,0,0.0,0.0,,,00:44
,0,0,0.0,0.0,,,00:46
,0,0,0.0,0.0,,,00:48
,0,0,0.0,0.0,,,00:50
,0,0,0.0,0.0,,,00:52
,0,0,0.0,0.0,,,00:54
,0,0,0.0,0.0,,,00:56
,0,0,0.0,0.0,,,00:58
,0,0,0.0,0.0,,,01:00
,0,0,0.0,0.0,,,01:02
,0,0,0.0,0.0,,,01:04
"[156.85967526666667, -30.747911866666662]",13,2,76.44000000000001,17.758,,,01:06
"[156.87644708333335, -30.573436583333333]",11,1,63.664,11.37,,,01:08
"[156.55519988636365, -30.54364963636363]",34,10,169.29500000000004,100.183,,,01:10
"[156.86702684210525, -30.657080289473697]",23,15,112.956,218.402,False,-0.4066511790740952,01:12
"[156.87963055172412, -30.559671310344832]",15,14,69.094,255.6,False,-0.5677357797767187,01:14
"[156.5431743928572, -30.50931042857144]",40,16,231.565,284.451,False,1.5544476801492906,01:16
"[156.38525738888887, -30.458941388888896]",17,1,91.09,7.744,,,01:18
"[156.93419490322577, -30.551961129032257]",15,16,120.774,265.403,,,01:20
"[156.97816361904765, -30.589589380952383]",14,7,82.124,116.34,False,-0.40612171911135225,01:22
"[156.95503552631578, -30.515182631578952]",7,12,43.979,200.749,,,01:24
"[156.98588233333334, -30.53056566666667]",10,5,52.761,86.701,,,01:26
"[156.97368145161295, -30.56287248387097]",19,12,85.931,187.855,,,01:28
,0,0,0.0,0.0,,,01:30
"[156.993677, -30.513759357142856]",11,3,54.60699999999999,124.609,,,01:32
"[156.98233180769228, -30.48451988461538]",33,19,174.61800000000002,265.072,,,01:34
"[156.90114531818185, -30.521974454545457]",30,14,200.37,138.747,False,-0.31050697690331247,01:36
"[157.00404154545456, -30.511815863636368]",16,6,101.607,62.812,False,-0.8386202532078395,01:38
"[156.96360186666666, -30.459046000000004]",10,5,71.92,40.403000000000006,,,01:40
"[157.03059504545456, -30.48402295454546]",17,5,123.543,49.743,,,01:42
"[157.02255609999997, -30.476467350000007]",13,7,122.928,95.056,False,-0.08776489434931459,01:44
