0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
878,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
708,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
791,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
573,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,470,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456,552,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426,486,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404,522,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,501,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,500,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,521,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,619,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,574,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,582,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,565,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,606,33,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,559,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,631,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,588,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,533,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,536,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,549,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,475,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,573,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,510,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,584,584,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,562,562,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,572,572,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,576,576,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,553,553,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,585,585,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,613,613,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,585,585,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,511,511,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,497,497,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,565,565,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,507,507,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,463,463,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,487,487,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,495,495,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,420,420,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,379,379,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,384,384,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,348,348,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,329,329,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,373,373,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,348,348,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,329,329,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,321,321,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,353,353,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,327,327,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,330,330,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,294,294,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,279,279,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,241,241,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,271,271,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,233,233,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,224,224,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,181,181,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,188,188,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,198,198,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,180,180,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,151,151,488,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,125,125,563,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,122,122,411,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,125,125,527,527,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
