0,1,2,3
247,0,0,0
258,28,0,0
207,20,0,0
189,52,0,0
180,54,0,0
121,46,0,0
99,44,0,0
102,35,0,0
84,84,0,0
90,90,0,0
64,64,0,0
48,48,24,0
33,33,0,0
42,42,0,0
38,38,0,0
65,65,35,0
47,47,30,0
90,90,52,0
29,29,76,0
63,63,46,0
53,53,87,0
59,59,132,0
52,52,108,0
63,63,193,0
76,76,191,0
56,56,126,0
36,36,157,0
78,78,113,0
91,91,40,0
63,63,135,0
43,43,33,0
36,36,188,0
86,86,109,0
346,346,346,0
358,358,358,0
301,301,301,0
196,196,196,0
303,303,303,0
304,304,304,0
436,436,436,0
415,415,415,0
455,455,455,0
337,337,337,0
325,325,325,0
235,235,235,0
186,186,186,0
124,124,124,0
109,109,109,0
74,74,74,0
59,59,59,0
113,113,113,0
130,130,130,0
79,79,79,0
62,62,62,0
111,111,111,0
137,137,137,0
80,80,80,0
71,71,71,0
39,39,39,0
83,83,83,0
59,59,59,0
35,35,35,0
118,118,118,0
79,79,79,0
33,33,33,0
44,44,44,0
21,21,21,0
27,27,27,0
73,73,73,0
30,30,30,0
49,49,49,0
35,35,35,35
36,36,36,28
40,40,40,36
52,52,52,38
35,35,35,31
32,32,32,0
49,49,49,0
51,51,51,26
123,123,123,123
91,91,91,91
82,82,82,82
46,46,46,46
36,36,36,36
122,122,122,122
106,106,106,106
93,93,93,93
80,80,80,80
46,46,46,46
92,92,92,92
69,69,69,69
63,63,63,63
47,47,47,47
34,34,34,34
76,76,76,76
40,40,40,40
47,47,47,47
24,24,24,24
30,30,30,30
47,47,47,47
66,66,66,66
43,43,43,43
52,52,52,52
44,44,44,44
59,59,59,59
39,39,39,39
39,39,39,39
31,31,31,31
20,20,20,20
21,21,21,21
0,0,0,0
23,23,23,23
31,31,31,31
23,23,23,23
43,43,43,43
60,60,60,60
72,72,72,72
24,24,24,24
27,27,27,27
32,32,32,32
24,24,24,24
42,42,42,42
37,37,37,37
26,26,26,26
0,0,0,0
24,24,24,24
26,26,26,26
33,33,33,33
0,0,0,0
23,23,23,23
0,0,0,0
0,0,0,0
0,0,0,0
33,33,33,33
22,22,22,22
0,0,0,0
20,20,20,20
26,26,26,26
20,20,20,20
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
