0,1,2,3,4,5,6,7
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,37,0,0,0,0,0,0
0,33,0,0,0,0,0,0
0,22,0,0,0,0,0,0
32,47,0,0,0,0,0,0
0,47,0,0,0,0,0,0
0,62,0,0,0,0,0,0
0,48,0,0,0,0,0,0
0,28,0,0,0,0,0,0
0,80,0,0,0,0,0,0
0,135,0,0,0,0,0,0
0,142,0,0,0,0,0,0
0,132,0,0,0,0,0,0
0,125,0,0,0,0,0,0
0,90,0,0,0,0,0,0
0,57,0,0,0,0,0,0
0,63,0,0,0,0,0,0
0,35,0,0,0,0,0,0
0,30,23,0,0,0,0,0
0,28,41,0,0,0,0,0
0,29,54,0,0,0,0,0
0,220,55,0,0,0,0,0
0,214,28,0,0,0,0,0
0,160,44,0,0,0,0,0
0,135,35,0,0,0,0,0
0,225,37,0,0,0,0,0
0,194,50,0,0,0,0,0
0,159,67,33,0,0,0,0
0,139,51,25,0,0,0,0
0,192,35,28,0,0,0,0
0,204,20,0,0,0,0,0
0,246,30,0,0,0,0,0
0,177,0,0,0,0,0,0
0,172,0,0,0,0,0,0
0,155,0,0,0,0,0,0
0,156,0,0,0,0,0,0
0,164,0,0,0,0,0,0
0,225,0,0,0,0,0,0
0,185,0,0,0,0,0,0
0,182,0,0,0,0,0,0
0,175,0,0,0,0,0,0
0,201,0,0,0,0,0,0
0,227,0,0,0,0,0,0
0,394,21,0,0,0,0,0
0,437,22,0,0,0,0,0
0,412,25,0,0,0,0,0
0,395,32,0,0,0,0,0
0,377,32,28,0,0,0,0
0,350,47,0,0,0,0,0
0,275,61,0,0,0,0,0
0,334,102,0,0,0,0,0
0,346,95,56,0,0,0,0
0,364,66,37,0,0,0,0
0,352,53,31,0,0,0,0
0,279,50,33,0,0,0,0
20,246,246,29,0,0,0,0
45,256,256,45,0,0,0,0
62,224,224,62,0,0,0,0
63,171,171,63,0,0,0,0
70,184,184,70,0,0,0,0
38,209,209,38,0,0,0,0
47,182,182,47,0,0,0,0
99,203,203,99,0,0,0,0
22,192,192,22,0,0,0,0
59,283,283,59,0,0,0,0
53,198,198,53,0,0,0,0
59,227,227,59,0,0,0,0
48,234,234,48,26,0,0,0
42,218,218,42,26,0,0,0
42,201,201,42,39,0,0,0
52,230,230,52,31,0,0,0
44,182,182,44,0,0,0,0
86,188,188,86,39,0,0,0
70,162,162,70,40,0,0,0
77,146,146,77,49,0,0,0
97,156,156,97,42,0,0,0
87,152,152,87,30,0,0,0
89,168,168,89,37,0,0,0
71,150,150,71,59,0,0,0
114,134,134,114,73,0,0,0
123,108,108,123,82,0,0,0
209,66,66,209,75,0,0,0
282,88,88,282,92,0,0,0
249,59,59,249,71,0,0,0
256,29,29,256,61,0,0,0
203,20,20,203,59,0,0,0
215,43,43,215,24,0,0,0
166,0,0,166,26,0,0,0
122,26,26,122,0,0,0,0
155,28,28,155,0,0,0,0
160,36,36,160,0,0,0,0
227,0,0,227,0,0,0,0
129,0,0,129,0,0,0,0
139,0,0,139,0,0,0,0
155,0,0,155,0,0,0,0
138,21,21,138,0,0,0,0
220,0,0,220,0,0,0,0
133,0,0,133,0,0,0,0
148,22,22,148,0,0,0,0
65,20,20,65,0,0,0,0
67,0,0,67,0,0,0,0
82,25,25,82,0,0,0,0
131,0,0,131,0,0,0,0
120,0,0,120,0,0,0,0
85,0,0,85,0,0,0,0
191,90,90,191,0,0,0,0
231,109,109,231,0,0,0,0
289,102,102,289,0,0,0,0
324,54,54,324,0,0,0,0
428,52,52,428,0,0,0,0
768,66,66,768,0,0,0,0
911,59,59,911,0,0,0,0
924,31,31,924,20,0,0,0
1032,32,32,1032,20,0,0,0
1070,85,85,1070,0,0,0,0
1141,61,61,1141,0,0,0,0
1033,74,74,1033,0,0,0,0
863,73,73,863,0,0,0,0
799,52,52,799,0,0,0,0
675,50,50,675,0,0,0,0
633,60,60,633,0,0,0,0
437,38,38,437,0,0,0,0
414,42,42,414,0,0,0,0
460,50,50,460,30,0,0,0
451,53,53,451,68,0,0,0
351,93,93,351,127,0,0,0
247,76,76,247,154,0,0,0
291,60,60,291,157,0,0,0
285,75,75,285,117,0,0,0
297,143,143,297,101,0,0,0
236,128,128,236,83,0,0,0
189,117,117,189,75,0,0,0
163,133,133,163,88,0,0,0
124,152,152,124,160,0,0,0
128,146,146,128,189,0,0,0
115,147,147,115,138,0,0,0
122,122,122,122,96,0,0,0
66,71,71,66,78,0,0,0
51,80,80,51,85,0,0,0
45,48,48,45,60,0,0,0
50,26,26,50,130,0,0,0
152,200,200,152,152,0,0,0
99,146,146,99,99,0,0,0
125,152,152,125,125,0,0,0
139,134,134,139,139,0,0,0
135,102,102,135,135,0,0,0
117,67,67,117,117,0,0,0
136,82,82,136,136,0,0,0
163,85,85,163,163,0,0,0
202,57,57,202,202,0,0,0
304,42,42,304,304,0,0,0
437,48,48,437,437,0,0,0
416,51,51,416,416,0,0,0
648,54,54,648,648,0,0,0
604,42,42,604,604,0,0,0
625,39,39,625,625,0,0,0
473,54,54,473,473,22,0,0
625,52,52,625,625,45,0,0
