0,1,2,3,4,5,6,7,8,9,10,11
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,0
235,0,0,0,0,0,0,0,0,0,0,0
251,0,0,0,0,0,0,0,0,0,0,0
269,0,0,0,0,0,0,0,0,0,0,0
242,0,0,0,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0,0
178,0,0,0,0,0,0,0,0,0,0,0
255,0,0,0,0,0,0,0,0,0,0,0
315,0,0,0,0,0,0,0,0,0,0,0
235,0,0,0,0,0,0,0,0,0,0,0
234,0,0,0,0,0,0,0,0,0,0,0
235,0,0,0,0,0,0,0,0,0,0,0
369,0,0,0,0,0,0,0,0,0,0,0
370,0,0,0,0,0,0,0,0,0,0,0
448,0,0,0,0,0,0,0,0,0,0,0
470,0,0,0,0,0,0,0,0,0,0,0
530,0,0,0,0,0,0,0,0,0,0,0
595,0,0,0,0,0,0,0,0,0,0,0
611,0,0,0,0,0,0,0,0,0,0,0
541,0,0,0,0,0,0,0,0,0,0,0
605,0,0,0,0,0,0,0,0,0,0,0
657,0,0,0,0,0,0,0,0,0,0,0
663,0,0,0,0,0,0,0,0,0,0,0
407,0,0,0,0,0,0,0,0,0,0,0
442,0,0,0,0,0,0,0,0,0,0,0
209,0,0,0,0,0,0,0,0,0,0,0
304,0,0,0,0,0,0,0,0,0,0,0
135,0,0,0,0,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0,0,0,0,0
201,0,0,0,0,0,0,0,0,0,0,0
218,288,0,0,0,0,0,0,0,0,0,0
212,306,0,0,0,0,0,0,0,0,0,0
236,385,0,0,0,0,0,0,0,0,0,0
243,539,0,0,0,0,0,0,0,0,0,0
222,629,0,0,0,0,0,0,0,0,0,0
213,792,0,0,0,0,0,0,0,0,0,0
213,779,0,0,0,0,0,0,0,0,0,0
254,901,0,0,0,0,0,0,0,0,0,0
254,959,0,0,0,0,0,0,0,0,0,0
316,1031,0,0,0,0,0,0,0,0,0,0
421,916,0,0,0,0,0,0,0,0,0,0
430,821,0,0,0,0,0,0,0,0,0,0
519,697,0,0,0,0,0,0,0,0,0,0
913,654,0,0,0,0,0,0,0,0,0,0
702,638,0,0,0,0,0,0,0,0,0,0
890,621,0,0,0,0,0,0,0,0,0,0
1046,616,0,0,0,0,0,0,0,0,0,0
930,604,0,0,0,0,0,0,0,0,0,0
895,737,0,0,0,0,0,0,0,0,0,0
966,872,0,0,0,0,0,0,0,0,0,0
908,743,0,0,0,0,0,0,0,0,0,0
1070,648,0,0,0,0,0,0,0,0,0,0
1012,718,0,0,0,0,0,0,0,0,0,0
978,617,0,0,0,0,0,0,0,0,0,0
1118,710,22,0,0,0,0,0,0,0,0,0
1011,628,0,0,0,0,0,0,0,0,0,0
902,695,0,0,0,0,0,0,0,0,0,0
905,803,0,0,0,0,0,0,0,0,0,0
844,667,0,0,0,0,0,0,0,0,0,0
799,699,0,0,0,0,0,0,0,0,0,0
734,834,0,0,0,0,0,0,0,0,0,0
704,822,0,0,0,0,0,0,0,0,0,0
771,545,0,0,0,0,0,0,0,0,0,0
766,618,0,0,0,0,0,0,0,0,0,0
763,558,0,0,0,0,0,0,0,0,0,0
630,397,25,0,0,0,0,0,0,0,0,0
477,369,98,0,0,0,0,0,0,0,0,0
418,503,89,0,0,0,0,0,0,0,0,0
548,463,93,0,0,0,0,0,0,0,0,0
542,486,124,0,0,0,0,0,0,0,0,0
424,533,104,0,0,0,0,0,0,0,0,0
438,526,118,0,0,0,0,0,0,0,0,0
448,462,131,0,0,0,0,0,0,0,0,0
399,409,106,0,0,0,0,0,0,0,0,0
376,322,75,0,0,0,0,0,0,0,0,0
580,160,63,0,0,0,0,0,0,0,0,0
502,256,76,0,0,0,0,0,0,0,0,0
539,288,44,0,0,0,0,0,0,0,0,0
660,262,66,0,0,0,0,0,0,0,0,0
703,290,43,0,0,0,0,0,0,0,0,0
659,332,38,0,0,0,0,0,0,0,0,0
706,265,0,0,0,0,0,0,0,0,0,0
724,294,0,0,0,0,0,0,0,0,0,0
891,277,0,0,0,0,0,0,0,0,0,0
883,225,78,0,0,0,0,0,0,0,0,0
955,251,100,0,0,0,0,0,0,0,0,0
907,186,50,0,0,0,0,0,0,0,0,0
799,125,0,0,0,0,0,0,0,0,0,0
774,114,31,0,0,0,0,0,0,0,0,0
805,91,52,0,0,0,0,0,0,0,0,0
827,109,25,0,0,0,0,0,0,0,0,0
742,132,37,28,23,0,0,0,0,0,0,0
732,128,20,53,40,0,0,0,0,0,0,0
752,115,0,38,33,0,0,0,0,0,0,0
872,90,40,27,23,0,0,0,0,0,0,0
846,108,70,117,28,0,0,0,0,0,0,0
838,135,60,223,50,0,0,0,0,0,0,0
793,135,48,251,108,0,0,0,0,0,0,0
841,130,41,292,112,0,0,0,0,0,0,0
812,165,24,371,118,0,0,0,0,0,0,0
698,103,28,426,147,0,0,0,0,0,0,0
701,140,140,456,128,0,0,0,0,0,0,0
604,109,109,396,161,0,0,0,0,0,0,0
570,75,75,330,120,0,0,0,0,0,0,0
509,94,94,343,173,0,0,0,0,0,0,0
621,90,90,337,138,23,0,0,0,0,0,0
524,97,97,281,160,0,0,0,0,0,0,0
544,98,98,335,264,0,0,0,0,0,0,0
532,95,95,378,278,0,0,0,0,0,0,0
507,119,119,448,197,22,0,0,0,0,0,0
426,133,133,536,252,25,0,0,0,0,0,0
439,158,158,455,260,38,0,0,0,0,0,0
514,109,109,509,347,0,0,0,0,0,0,0
572,122,122,488,244,62,0,0,0,0,0,0
470,129,129,424,329,36,0,0,0,0,0,0
536,128,128,367,285,39,0,0,0,0,0,0
559,75,75,308,214,0,0,0,0,0,0,0
516,80,80,313,171,37,0,0,0,0,0,0
606,54,54,320,253,34,0,0,0,0,0,0
584,41,41,380,222,20,0,0,0,0,0,0
471,48,48,227,260,53,0,0,0,0,0,0
461,33,33,248,200,39,0,0,0,0,0,0
466,20,20,239,177,0,0,0,0,0,0,0
401,72,72,216,193,20,0,0,0,0,0,0
453,244,244,188,157,25,0,0,0,0,0,0
301,221,221,204,189,63,0,0,0,0,0,0
299,262,262,158,196,101,0,0,0,0,0,0
237,156,156,165,111,135,0,0,0,0,0,0
195,146,146,124,166,136,0,0,0,0,0,0
164,139,139,101,146,138,0,0,0,0,0,0
248,211,211,89,137,135,0,0,0,0,0,0
436,30,30,70,70,135,0,0,0,0,0,0
78,37,37,51,51,114,0,0,0,0,0,0
218,23,23,30,66,135,0,0,0,0,0,0
161,59,59,0,58,180,0,0,0,0,0,0
182,305,305,24,42,213,0,0,0,0,0,0
144,182,182,0,50,208,0,0,0,0,0,0
149,241,241,0,43,182,0,0,0,0,0,0
153,251,251,0,29,180,0,0,0,0,0,0
159,374,374,0,0,194,0,0,0,0,0,0
181,264,264,0,48,160,0,0,0,0,0,0
169,297,297,0,22,146,0,0,0,0,0,0
101,281,281,0,22,140,0,0,0,0,0,0
92,277,277,0,29,115,41,0,0,0,0,0
238,328,328,0,24,101,53,0,0,0,0,0
173,287,287,0,21,116,39,0,0,0,0,0
316,295,295,0,35,182,26,0,0,0,0,0
309,263,263,0,68,219,0,0,0,0,0,0
376,170,170,0,39,181,0,0,0,0,0,0
360,145,145,0,70,260,0,0,0,0,0,0
330,135,135,0,63,216,0,0,0,0,0,0
379,90,90,0,106,193,0,0,0,0,0,0
251,140,140,0,97,219,0,0,0,0,0,0
289,109,109,0,68,238,0,44,0,0,0,0
217,54,54,0,68,328,0,0,0,0,0,0
174,33,33,0,61,392,0,0,0,0,0,0
230,23,23,0,60,427,0,0,0,0,0,0
177,67,67,0,61,532,0,0,0,0,0,0
156,20,20,0,59,521,0,23,0,0,0,0
137,22,22,0,55,238,0,0,0,0,0,0
83,29,29,0,59,295,22,22,0,0,0,0
130,25,25,0,60,259,20,34,0,0,0,0
83,38,38,0,74,467,27,0,0,0,0,0
109,65,65,0,65,209,21,0,0,0,0,0
136,64,64,0,64,262,0,24,0,0,0,0
86,96,96,0,96,473,0,25,0,0,0,0
28,90,90,0,90,176,0,54,0,0,0,0
61,124,124,0,124,156,26,39,0,0,0,0
67,137,137,0,137,159,0,36,0,0,0,0
66,103,103,0,103,387,0,27,0,0,0,0
27,156,156,0,156,387,31,36,0,0,0,0
41,133,133,0,133,198,0,27,0,0,0,0
52,129,129,0,129,151,27,25,0,0,0,0
60,115,115,0,115,96,0,96,0,0,0,0
20,121,121,0,121,69,21,69,0,0,0,0
55,107,107,0,107,51,25,51,0,0,0,0
71,141,141,0,141,51,33,51,0,0,0,0
90,161,161,0,161,23,21,23,0,0,0,0
129,128,128,0,128,28,29,28,0,0,0,0
97,114,114,0,114,33,0,33,37,0,0,0
70,102,102,0,102,40,0,40,55,0,0,0
53,74,74,0,74,33,0,33,112,0,0,0
53,108,108,0,108,28,0,28,101,0,0,0
41,41,41,0,41,54,0,54,160,0,0,0
47,63,63,0,63,52,26,52,153,0,0,0
50,55,55,0,55,57,0,57,159,0,0,0
33,63,63,0,63,77,0,77,112,0,0,0
24,74,74,0,74,116,0,116,115,0,0,0
26,28,28,0,28,83,22,83,102,0,0,0
0,70,70,0,70,119,28,119,88,0,0,0
28,22,22,0,22,107,30,107,53,0,0,0
27,34,34,0,34,114,27,114,48,0,0,0
0,22,22,0,22,163,0,163,125,0,0,0
29,34,34,0,34,92,0,92,189,0,0,0
27,31,31,0,31,72,0,72,280,0,0,0
22,73,73,0,73,65,0,65,416,0,0,0
24,118,118,0,118,36,21,36,396,29,0,0
106,106,106,0,106,22,30,22,398,24,0,0
156,156,156,0,156,47,0,47,245,34,0,0
166,166,166,0,166,81,0,81,174,44,0,0
98,98,98,0,98,103,0,103,82,67,0,0
68,68,68,0,68,69,22,69,129,53,0,0
123,123,123,0,123,37,26,37,216,64,0,0
100,100,100,0,100,57,0,57,223,107,0,0
73,73,73,0,73,74,0,74,303,92,0,0
107,107,107,0,107,25,0,25,302,62,0,0
32,32,32,0,32,24,0,24,344,53,0,0
27,27,27,0,27,44,0,44,269,53,0,0
35,35,35,0,35,44,0,44,269,73,0,0
36,36,36,0,36,43,0,43,295,84,0,0
34,34,34,0,34,76,0,76,222,99,0,0
28,28,28,0,28,83,0,83,206,102,0,0
39,39,39,0,39,99,0,99,224,65,0,0
46,46,46,0,46,51,0,51,209,82,0,0
40,40,40,0,40,39,0,39,202,65,0,0
41,41,41,0,41,30,0,30,206,37,0,0
40,40,40,0,40,32,0,32,173,33,0,0
72,72,72,0,72,63,0,63,176,22,0,0
69,69,69,0,69,52,0,52,178,29,0,0
63,63,63,0,63,49,0,49,134,31,0,0
65,65,65,0,65,39,0,39,153,26,0,0
82,82,82,0,82,23,0,23,161,27,0,0
142,142,142,0,142,119,0,119,119,37,0,0
51,51,51,0,51,81,0,81,81,33,0,0
83,83,83,0,83,104,0,104,104,83,0,0
61,61,61,0,61,66,0,66,66,61,0,0
43,43,43,0,43,34,0,34,34,43,0,0
93,93,93,0,93,38,0,38,38,93,0,0
24,24,24,0,24,47,0,47,47,24,0,0
24,24,24,0,24,52,0,52,52,24,25,0
46,46,46,0,46,100,0,100,100,46,30,0
39,39,39,0,39,85,0,85,85,39,27,0
28,28,28,0,28,90,0,90,90,28,26,0
31,31,31,0,31,85,0,85,85,31,71,0
28,28,28,0,28,92,0,92,92,28,59,0
32,32,32,0,32,96,0,96,96,32,62,0
0,0,0,0,0,111,0,111,111,0,43,0
31,31,31,0,31,81,0,81,81,31,42,0
20,20,20,0,20,158,0,158,158,20,43,0
44,44,44,0,44,92,0,92,92,44,60,0
49,49,49,0,49,120,0,120,120,49,70,0
46,46,46,0,46,82,0,82,82,46,84,0
53,53,53,0,53,91,0,91,91,53,80,0
52,52,52,0,52,111,0,111,111,52,92,0
47,47,47,0,47,97,0,97,97,47,111,0
70,70,70,0,70,121,0,121,121,70,82,0
79,79,79,0,79,182,0,182,182,79,66,0
