0,1,2,3,4,5,6,7,8,9,10,11
21,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,30,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,22,0,0,0,0,0,0,0,0,0
0,0,20,0,0,0,0,0,0,0,0,0
0,0,22,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,24,0,0,0,0,0,0,0,0,0
29,0,26,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0
0,0,20,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0
0,0,23,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
26,0,25,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0
41,22,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0
35,29,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0
60,51,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0
60,54,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,0,0,0,0
51,27,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0
29,56,56,0,0,0,0,0,0,0,0,0
0,29,29,0,0,0,0,0,0,0,0,0
0,34,34,0,0,0,0,0,0,0,0,0
32,65,65,0,0,0,0,0,0,0,0,0
34,73,73,0,0,0,0,0,0,0,0,0
74,126,126,0,0,0,0,0,0,0,0,0
55,117,117,0,0,0,0,0,0,0,0,0
80,74,74,0,0,0,0,0,0,0,0,0
77,81,81,0,0,0,0,0,0,0,0,0
62,85,85,0,0,0,0,0,0,0,0,0
91,0,0,0,0,0,0,0,0,0,0,0
41,0,0,20,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0,0
83,24,24,0,0,0,0,0,0,0,0,0
79,43,43,0,0,0,0,0,0,0,0,0
67,41,41,0,0,0,0,0,0,0,0,0
57,52,52,0,0,0,0,0,0,0,0,0
37,89,89,0,0,0,0,0,0,0,0,0
82,78,78,0,0,0,0,0,0,0,0,0
117,76,76,0,0,0,0,0,0,0,0,0
104,57,57,0,0,0,0,0,0,0,0,0
148,110,110,0,0,0,0,0,0,0,0,0
126,104,104,0,0,0,0,0,0,0,0,0
102,113,113,0,0,0,0,0,0,0,0,0
55,161,161,0,0,0,0,0,0,0,0,0
83,107,107,0,0,0,0,0,0,0,0,0
28,84,84,0,0,0,0,0,0,0,0,0
67,42,42,0,0,0,0,0,0,0,0,0
29,75,75,0,0,0,0,0,0,0,0,0
42,85,85,0,0,0,0,0,0,0,0,0
22,48,48,0,0,0,0,0,0,0,0,0
0,82,82,0,0,0,0,0,0,0,0,0
30,99,99,0,0,0,0,0,0,0,0,0
0,126,126,0,0,0,0,0,0,0,0,0
0,83,83,0,0,0,0,0,0,0,0,0
0,136,136,0,0,0,0,0,0,0,0,0
0,73,73,0,0,0,0,0,0,0,0,0
0,177,177,0,0,0,0,0,0,0,0,0
0,200,200,0,0,0,0,0,0,0,0,0
0,199,199,0,0,0,0,0,0,0,0,0
0,148,148,0,0,0,0,0,0,0,0,0
0,254,254,0,0,0,0,0,0,0,0,0
0,277,277,0,0,0,0,0,0,0,0,0
0,261,261,0,0,0,0,0,0,0,0,0
0,136,136,0,0,0,0,0,0,0,0,0
0,240,240,0,0,0,0,0,0,0,0,0
0,146,146,0,0,0,0,0,0,0,0,0
0,170,170,0,0,0,0,0,0,0,0,0
0,181,181,0,0,0,0,0,0,0,0,0
0,56,56,22,0,0,0,0,0,0,0,0
0,176,176,27,0,0,0,0,0,0,0,0
0,118,118,26,0,0,0,0,0,0,0,0
0,125,125,0,0,0,0,0,0,0,0,0
0,91,91,0,0,0,0,0,0,0,0,0
0,29,29,23,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,32,32,26,0,0,0,0,0,0,0,0
0,76,76,0,0,0,0,0,0,0,0,0
0,38,38,0,0,0,0,0,0,0,0,0
0,65,65,0,0,0,0,0,0,0,0,0
0,25,25,0,0,0,0,0,0,0,0,0
0,74,74,0,0,0,0,0,0,0,0,0
0,32,32,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,21,21,22,0,0,0,0,0,0,0,0
0,26,26,0,0,0,0,0,0,0,0,0
0,35,35,0,0,0,0,0,0,0,0,0
0,20,20,0,0,0,0,0,0,0,0,0
0,22,22,0,0,0,0,0,0,0,0,0
0,0,0,22,0,0,0,0,0,0,0,0
0,0,0,20,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,27,0,0,0,0,0,0,0,0
0,25,25,45,0,0,0,0,0,0,0,0
0,75,75,75,0,0,0,0,0,0,0,0
0,81,81,81,38,0,0,0,0,0,0,0
0,94,94,94,29,0,0,0,0,0,0,0
0,92,92,92,0,0,0,0,0,0,0,0
0,91,91,91,39,0,0,0,0,0,0,0
