0,1,2,3,4
21,0,0,0,0
34,0,0,0,0
0,0,0,0,0
27,0,0,0,0
27,0,0,0,0
44,0,0,0,0
31,21,0,0,0
69,0,0,0,0
63,34,0,0,0
31,28,0,0,0
73,37,0,0,0
57,75,0,0,0
35,49,0,0,0
78,64,0,0,0
164,48,0,0,0
167,0,0,0,0
193,20,0,0,0
182,0,0,0,0
184,0,0,0,0
155,28,0,0,0
154,29,0,0,0
127,22,0,0,0
115,44,0,0,0
79,26,0,0,0
91,23,0,0,0
84,32,0,0,0
91,33,0,0,0
78,33,0,0,0
82,30,0,0,0
37,62,0,0,0
81,46,0,0,0
93,34,0,0,0
77,30,0,0,0
84,26,0,0,0
113,27,0,0,0
166,25,0,0,0
181,181,0,0,0
308,308,0,0,0
323,323,0,0,0
320,320,0,0,0
278,278,0,0,0
238,238,0,0,0
195,195,0,0,0
192,192,0,0,0
199,199,0,0,0
221,221,20,0,0
218,218,28,0,0
184,184,26,0,0
214,214,22,0,0
141,141,39,0,0
156,156,30,0,0
151,151,27,0,0
149,149,24,0,0
157,157,25,0,0
148,148,27,0,0
206,206,37,0,0
170,170,38,0,0
158,158,41,0,0
182,182,30,0,0
180,180,24,0,0
131,131,40,0,0
130,130,22,0,0
157,157,0,0,0
142,142,0,0,0
155,155,0,0,0
97,97,0,0,0
140,140,0,0,0
87,87,0,0,0
67,67,0,0,0
92,92,0,0,0
57,57,0,0,0
116,116,0,0,0
112,112,29,0,0
116,116,28,24,0
91,91,21,30,0
116,116,25,46,0
104,104,104,0,0
49,49,49,0,0
91,91,91,0,0
73,73,73,0,0
75,75,75,0,0
82,82,82,0,0
66,66,66,0,0
109,109,109,0,0
51,51,51,21,0
78,78,78,26,0
67,67,67,0,0
94,94,94,0,0
57,57,57,0,0
77,77,77,0,0
111,111,111,0,0
109,109,109,0,0
58,58,58,0,0
57,57,57,0,0
31,31,31,0,0
60,60,60,0,0
57,57,57,0,0
56,56,56,0,0
43,43,43,0,0
54,54,54,0,0
21,21,21,0,0
31,31,31,0,46
45,45,45,0,27
41,41,41,0,39
31,31,31,0,34
23,23,23,0,35
61,61,61,0,44
53,53,53,0,49
34,34,34,0,44
22,22,22,0,46
30,30,30,24,30
52,52,52,26,52
45,45,45,0,45
79,79,79,0,79
55,55,55,0,55
29,29,29,0,29
31,31,31,0,31
24,24,24,0,24
29,29,29,0,29
61,61,61,0,61
53,53,53,0,53
58,58,58,0,58
51,51,51,0,51
47,47,47,0,47
50,50,50,0,50
53,53,53,0,53
55,55,55,0,55
52,52,52,0,52
64,64,64,0,64
93,93,93,0,93
95,95,95,0,95
75,75,75,0,75
60,60,60,0,60
52,52,52,0,52
71,71,71,0,71
33,33,33,0,33
51,51,51,0,51
63,63,63,0,63
67,67,67,0,67
74,74,74,0,74
27,27,27,0,27
31,31,31,0,31
18,18,18,0,18
43,43,43,0,43
49,49,49,0,49
42,42,42,0,42
58,58,58,0,58
48,48,48,0,48
23,23,23,0,23
39,39,39,0,39
34,34,34,0,34
41,41,41,0,41
49,49,49,0,49
79,79,79,0,79
98,98,98,0,98
112,112,112,0,112
97,97,97,0,97
38,38,38,0,38
0,0,0,0,0
0,0,0,0,0
0,0,0,21,0
21,21,21,0,21
22,22,22,20,22
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
21,21,21,0,21
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
