Area,Latitude,Longitude,Date
Brisbane,-29.35,152.63,2021-10-30
Bourke,-30.09,145.937,2021-09-29
Mackay,-20.758,148.607,2021-10-19
Marlborough,-22.856,149.844,2021-11-22
Ellesmere,-26.747,151.747,2021-10-26
Amamoor,-26.349,152.676,2021-10-22
Armidale,-30.502, 151.67,2021-10-14
Yalboroo,-20.835,148.657,2021-10-18
Reids_Flat,-34.133,149.009,2021-10-14
Beenaam_Valley,-26.192,152.818,2021-10-18
