,Coordinate,Scale_KM,TOT_dense,IC_num,CG_num,IC_amp,CG_amp,LJ,Sigma,Time,radar_ID,radar_Coor,max_SHI,nonneg_90_SHI,time_SHI,coor_SHI,valid_size_SHI,invalid_size_SHI,valid_range_SHI,datetime
111,"[150.9484671538461, -34.07042667948719]",12.296,0.164,70.0,8.0,133.548,102.121,Jump_0,5.45136,23:36:00,3,"[150.8751, -34.2624]","[15.625, 8.5625, 14.0625, 6.625]","[10.9062, 8.0562, 12.725, 5.7938]","['23:40:00', '23:45:00', '23:50:00', '23:55:00']","[[-34.06433, 151.10309], [-34.037598, 150.8534], [-34.046265, 151.15729], [-34.064575, 150.89679]]",10233.0,-42.0,0.1129,2021-12-09 23:36:00
141,"[151.12759521794877, -33.230716961538455]",5.902,0.713,75.0,3.0,161.788,19.528,Jump_2,2.02269,05:06:00,71,"[151.2094, -33.7008]",No_File,No_File,No_File,No_File,No_File,No_File,No_File,2021-12-09 05:06:00
212,"[150.99315488311697, -33.20927483116885]",23.099,0.092,151.0,3.0,338.357,21.981,Jump_8,2.65596,08:16:00,71,"[151.2094, -33.7008]",No_File,No_File,No_File,No_File,No_File,No_File,No_File,2021-12-09 08:16:00
252,"[151.52023199999996, -33.500514193548376]",2.874,3.584,93.0,0.0,202.663,0.0,Jump_9,7.13427,09:36:00,71,"[151.2094, -33.7008]",No_File,No_File,No_File,No_File,No_File,No_File,No_File,2021-12-09 09:36:00
266,"[151.58210628440364, -33.53640300917432]",15.482,0.145,101.0,8.0,301.388,242.525,Jump_10,3.39781,10:04:00,71,"[151.2094, -33.7008]",No_File,No_File,No_File,No_File,No_File,No_File,No_File,2021-12-09 10:04:00
966,"[152.0623234027778, -27.351187458333325]",8.368,0.655,132.0,12.0,526.038,181.983,Jump_0,2.78558,02:40:00,50,"[152.539, -27.608]","[39.375, 12.6875, 9.25, 10.8125, 41.125]","[30.2812, 9.425, 8.8, 10.7, 34.3125]","['02:41:00', '02:51:00', '03:01:00', '03:11:00', '03:21:00']","[[-27.418335, 152.0628], [-27.445496, 152.1134], [-27.499573, 152.15375], [-27.09491, 152.16522], [-27.09497, 152.20563]]",11054.0,-65.0,0.122,2021-12-09 02:40:00
1091,"[153.18796202830194, -29.12782997169811]",3.871,2.251,99.0,7.0,425.222,73.027,Jump_8,2.42847,06:54:00,28,"[152.951, -29.622]","[93.6875, 342.0625, 172.8125, 85.1875, 40.0625]","[49.6875, 169.5375, 104.875, 62.125, 27.4688]","['07:01:00', '07:11:00', '07:21:00', '07:31:00', '07:41:00']","[[-29.064148, 153.22882], [-29.099915, 153.31122], [-29.06366, 153.39343], [-29.054504, 153.45508], [-29.036255, 153.50641]]",10767.0,0.0,0.1188,2021-12-09 06:54:00
1103,"[153.1524260200002, -29.599221924000013]",56.136,0.025,225.0,25.0,1055.436,446.118,Jump_9,8.5561,07:18:00,28,"[152.951, -29.622]","[22.0625, 84.125, 39.625, 46.6875, 60.125]","[17.725, 35.7063, 20.6875, 25.9375, 28.15]","['07:21:00', '07:31:00', '07:41:00', '07:51:00', '08:01:00']","[[-29.954773, 152.91986], [-29.45111, 152.982], [-29.4151, 153.03357], [-29.388062, 153.10583], [-29.38794, 153.18842]]",10768.0,-1.0,0.1189,2021-12-09 07:18:00
1110,"[153.07931570817115, -29.921547287937745]",33.101,0.075,222.0,35.0,995.279,612.33,Jump_10,3.11564,07:32:00,28,"[152.951, -29.622]","[38.1875, 34.4375, 33.875, 14.5625, 41.375]","[20.3438, 24.7625, 21.2812, 9.9, 19.05]","['07:41:00', '07:51:00', '08:01:00', '08:11:00', '08:21:00']","[[-29.478088, 153.04395], [-29.765747, 153.1582], [-30.287048, 152.6073], [-29.711365, 153.34448], [-29.70221, 153.39618]]",10671.0,96.0,0.1178,2021-12-09 07:32:00
1114,"[153.16968760500006, -29.666772075000008]",44.021,0.066,356.0,44.0,1705.79,757.49,Jump_11,3.77864,07:40:00,28,"[152.951, -29.622]","[39.625, 46.6875, 60.125, 40.4375, 41.375]","[20.6875, 25.9375, 27.8125, 15.1625, 24.2375]","['07:41:00', '07:51:00', '08:01:00', '08:11:00', '08:21:00']","[[-29.4151, 153.03357], [-29.388062, 153.10583], [-29.38794, 153.18842], [-29.405884, 153.22974], [-29.70221, 153.39618]]",10767.0,0.0,0.1188,2021-12-09 07:40:00
