,Coordinate,Scale_KM,TOT_dense,IC_num,CG_num,IC_amp,CG_amp,LJ,Sigma,Time,radar_ID,radar_Coor,max_SHI,nonneg_90_SHI,time_SHI,coor_SHI,valid_size_SHI,invalid_size_SHI,valid_range_SHI,datetime
353,"[152.1246638030303, -26.012155227272732]",21.871,0.044,66.0,0.0,482.206,0.0,Jump_13,2.21753,11:46:00,8,"[152.5768, -25.9574]","[71.0625, 183.6875, 207.25, 127.875, 50.8125, 70.9375, 72.5625, 88.125, 29.875, 29.25]","[30.925, 78.5438, 87.3437, 45.7812, 31.375, 36.2812, 36.4688, 28.6063, 20.4625, 21.8125]","['11:50:00', '11:55:00', '12:00:00', '12:05:00', '12:10:00', '12:15:00', '12:20:00', '12:25:00', '12:30:00', '12:35:00']","[[-25.965454, 152.04663], [-25.992615, 152.10657], [-25.983765, 152.1466], [-25.983826, 152.17664], [-25.983887, 152.19666], [-26.047241, 152.43665], [-26.065308, 152.56677], [-26.065308, 152.5968], [-26.03833, 152.61682], [-25.777283, 152.30713]]",11070.0,24.0,0.1222,2021-10-23 11:46:00
358,"[152.1944769851852, -25.979573911111117]",15.624,0.176,131.0,4.0,787.278,138.272,Jump_14,2.69843,11:56:00,8,"[152.5768, -25.9574]","[207.25, 127.875, 50.8125, 70.9375, 72.5625, 88.125, 85.375, 52.0625, 44.25, 47.9375]","[87.3437, 45.7812, 31.375, 36.2812, 36.4688, 25.625, 30.25, 35.0875, 22.8, 23.775]","['12:00:00', '12:05:00', '12:10:00', '12:15:00', '12:20:00', '12:25:00', '12:30:00', '12:35:00', '12:40:00', '12:45:00']","[[-25.983765, 152.1466], [-25.983826, 152.17664], [-25.983887, 152.19666], [-26.047241, 152.43665], [-26.065308, 152.56677], [-26.065308, 152.5968], [-26.065308, 152.64685], [-26.047302, 152.66687], [-26.047302, 152.68689], [-25.714355, 152.31726]]",11143.0,-49.0,0.123,2021-10-23 11:56:00
538,"[152.1246638030303, -26.012155227272732]",21.871,0.044,66.0,0.0,482.206,0.0,Jump_7,2.21753,11:46:00,8,"[152.5768, -25.9574]","[71.0625, 183.6875, 207.25, 127.875, 50.8125, 70.9375, 72.5625, 88.125, 29.875, 29.25]","[30.925, 78.5438, 87.3437, 45.7812, 31.375, 36.2812, 36.4688, 28.6063, 20.4625, 21.8125]","['11:50:00', '11:55:00', '12:00:00', '12:05:00', '12:10:00', '12:15:00', '12:20:00', '12:25:00', '12:30:00', '12:35:00']","[[-25.965454, 152.04663], [-25.992615, 152.10657], [-25.983765, 152.1466], [-25.983826, 152.17664], [-25.983887, 152.19666], [-26.047241, 152.43665], [-26.065308, 152.56677], [-26.065308, 152.5968], [-26.03833, 152.61682], [-25.777283, 152.30713]]",11070.0,24.0,0.1222,2021-10-23 11:46:00
543,"[152.1944769851852, -25.979573911111117]",15.624,0.176,131.0,4.0,787.278,138.272,Jump_8,2.69843,11:56:00,8,"[152.5768, -25.9574]","[207.25, 127.875, 50.8125, 70.9375, 72.5625, 88.125, 85.375, 52.0625, 44.25, 47.9375]","[87.3437, 45.7812, 31.375, 36.2812, 36.4688, 25.625, 30.25, 35.0875, 22.8, 23.775]","['12:00:00', '12:05:00', '12:10:00', '12:15:00', '12:20:00', '12:25:00', '12:30:00', '12:35:00', '12:40:00', '12:45:00']","[[-25.983765, 152.1466], [-25.983826, 152.17664], [-25.983887, 152.19666], [-26.047241, 152.43665], [-26.065308, 152.56677], [-26.065308, 152.5968], [-26.065308, 152.64685], [-26.047302, 152.66687], [-26.047302, 152.68689], [-25.714355, 152.31726]]",11143.0,-49.0,0.123,2021-10-23 11:56:00
1490,"[150.384582496732, -34.26184160130719]",5.178,1.816,144.0,9.0,367.075,106.701,Jump_2,4.36744,06:30:00,3,"[150.8751, -34.2624]","[67.3125, 107.875, 290.5625, 845.25, 1518.5, 1080.9375, 755.375, 448.1875, 293.1875, 117.125, 150.4375]","[20.775, 50.2188, 86.15, 256.675, 487.2625, 192.6875, 156.4688, 129.3188, 104.2812, 73.7875, 83.5688]","['06:30:00', '06:35:00', '06:40:00', '06:45:00', '06:50:00', '06:55:00', '07:00:00', '07:05:00', '07:10:00', '07:15:00', '07:20:00']","[[-34.25244, 150.3855], [-34.261597, 150.42896], [-34.23474, 150.46173], [-34.22589, 150.50531], [-34.21698, 150.54883], [-34.199158, 150.60327], [-34.190247, 150.64679], [-34.181335, 150.6903], [-34.181396, 150.7229], [-34.693848, 150.63446], [-34.711853, 150.65631]]",10159.0,32.0,0.1121,2021-10-23 06:30:00
1495,"[150.46966191358015, -34.25239126851855]",3.798,7.15,319.0,5.0,974.245,107.067,Jump_3,3.59167,06:40:00,3,"[150.8751, -34.2624]","[290.5625, 845.25, 1518.5, 1080.9375, 755.375, 448.1875, 293.1875, 117.125, 150.4375, 201.375, 66.125]","[86.6438, 258.05, 500.0875, 192.6875, 156.4688, 129.3188, 104.2812, 73.7875, 86.4188, 173.5938, 55.7625]","['06:40:00', '06:45:00', '06:50:00', '06:55:00', '07:00:00', '07:05:00', '07:10:00', '07:15:00', '07:20:00', '07:25:00', '07:30:00']","[[-34.23474, 150.46173], [-34.22589, 150.50531], [-34.21698, 150.54883], [-34.199158, 150.60327], [-34.190247, 150.64679], [-34.181335, 150.6903], [-34.181396, 150.7229], [-34.693848, 150.63446], [-34.711853, 150.65631], [-34.73889, 150.68903], [-34.747925, 150.73279]]",10181.0,10.0,0.1124,2021-10-23 06:40:00
1714,"[152.1246638030303, -26.012155227272732]",21.871,0.044,66.0,0.0,482.206,0.0,Jump_8,2.21753,11:46:00,8,"[152.5768, -25.9574]","[71.0625, 183.6875, 207.25, 127.875, 50.8125, 70.9375, 72.5625, 88.125, 29.875, 29.25]","[30.925, 78.5438, 87.3437, 45.7812, 31.375, 36.2812, 36.4688, 28.6063, 20.4625, 21.8125]","['11:50:00', '11:55:00', '12:00:00', '12:05:00', '12:10:00', '12:15:00', '12:20:00', '12:25:00', '12:30:00', '12:35:00']","[[-25.965454, 152.04663], [-25.992615, 152.10657], [-25.983765, 152.1466], [-25.983826, 152.17664], [-25.983887, 152.19666], [-26.047241, 152.43665], [-26.065308, 152.56677], [-26.065308, 152.5968], [-26.03833, 152.61682], [-25.777283, 152.30713]]",11070.0,24.0,0.1222,2021-10-23 11:46:00
1719,"[152.1944769851852, -25.979573911111117]",15.624,0.176,131.0,4.0,787.278,138.272,Jump_9,2.69843,11:56:00,8,"[152.5768, -25.9574]","[207.25, 127.875, 50.8125, 70.9375, 72.5625, 88.125, 85.375, 52.0625, 44.25, 47.9375]","[87.3437, 45.7812, 31.375, 36.2812, 36.4688, 25.625, 30.25, 35.0875, 22.8, 23.775]","['12:00:00', '12:05:00', '12:10:00', '12:15:00', '12:20:00', '12:25:00', '12:30:00', '12:35:00', '12:40:00', '12:45:00']","[[-25.983765, 152.1466], [-25.983826, 152.17664], [-25.983887, 152.19666], [-26.047241, 152.43665], [-26.065308, 152.56677], [-26.065308, 152.5968], [-26.065308, 152.64685], [-26.047302, 152.66687], [-26.047302, 152.68689], [-25.714355, 152.31726]]",11143.0,-49.0,0.123,2021-10-23 11:56:00
2328,"[152.1246638030303, -26.012155227272732]",21.871,0.044,66.0,0.0,482.206,0.0,Jump_5,2.21753,11:46:00,8,"[152.5768, -25.9574]","[71.0625, 183.6875, 207.25, 127.875, 50.8125, 70.9375, 72.5625, 88.125, 29.875, 29.25]","[30.925, 78.5438, 87.3437, 45.7812, 31.375, 36.2812, 36.4688, 28.6063, 20.4625, 21.8125]","['11:50:00', '11:55:00', '12:00:00', '12:05:00', '12:10:00', '12:15:00', '12:20:00', '12:25:00', '12:30:00', '12:35:00']","[[-25.965454, 152.04663], [-25.992615, 152.10657], [-25.983765, 152.1466], [-25.983826, 152.17664], [-25.983887, 152.19666], [-26.047241, 152.43665], [-26.065308, 152.56677], [-26.065308, 152.5968], [-26.03833, 152.61682], [-25.777283, 152.30713]]",11070.0,24.0,0.1222,2021-10-23 11:46:00
2333,"[152.1944769851852, -25.979573911111117]",15.624,0.176,131.0,4.0,787.278,138.272,Jump_6,2.69843,11:56:00,8,"[152.5768, -25.9574]","[207.25, 127.875, 50.8125, 70.9375, 72.5625, 88.125, 85.375, 52.0625, 44.25, 47.9375]","[87.3437, 45.7812, 31.375, 36.2812, 36.4688, 25.625, 30.25, 35.0875, 22.8, 23.775]","['12:00:00', '12:05:00', '12:10:00', '12:15:00', '12:20:00', '12:25:00', '12:30:00', '12:35:00', '12:40:00', '12:45:00']","[[-25.983765, 152.1466], [-25.983826, 152.17664], [-25.983887, 152.19666], [-26.047241, 152.43665], [-26.065308, 152.56677], [-26.065308, 152.5968], [-26.065308, 152.64685], [-26.047302, 152.66687], [-26.047302, 152.68689], [-25.714355, 152.31726]]",11143.0,-49.0,0.123,2021-10-23 11:56:00
