,Coordinate,Scale_KM,TOT_dense,IC_num,CG_num,IC_amp,CG_amp,LJ,Sigma,Time,radar_ID,radar_Coor,max_SHI,nonneg_90_SHI,time_SHI,coor_SHI,valid_size_SHI,invalid_size_SHI,valid_range_SHI,datetime
63,"[149.8478035890555, -29.155186124463523]",27.517,0.392,913.0,19.0,4156.207,368.92,Jump_3,5.67081,10:40:00,53,"[149.8461, -29.4903]","[137.0625, 36.5625, 26.3125, 24.0625, 17.1875, 12.1875, 4.3125, 6.8125, 9.1875, 'NaN']","[49.9688, 17.4875, 18.2125, 14.4625, 8.55, 10.9, 4.25, 5.2812, 6.625, 'NaN']","['10:41:00', '10:46:00', '10:51:00', '10:56:00', '11:01:00', '11:06:00', '11:11:00', '11:16:00', '11:21:00', '11:26:00']","[[-29.04956, 149.72266], [-29.16626, 149.57831], [-29.220337, 149.64001], [-29.238403, 149.69153], [-29.265442, 149.73273], [-29.076477, 150.05188], [-29.363953, 149.50555], [-29.283386, 150.00073], [-29.30127, 150.06268], 'NaN']",10767.0,0.0,0.1188,2021-10-29 10:40:00
83,"[150.1794747486819, -29.566978026362065]",38.35,0.123,534.0,35.0,2163.066,665.209,Jump_4,5.18491,11:20:00,53,"[149.8461, -29.4903]","[9.1875, 8.125, 9.625, 3.0, 75.75, 86.6875, 17.4375, 7.6875, 'NaN', 'NaN']","[6.9125, 6.925, 6.725, 3.0, 53.375, 41.5312, 14.3438, 6.25, 'NaN', 'NaN']","['11:21:00', '11:26:00', '11:31:00', '11:36:00', '11:41:00', '11:46:00', '11:51:00', '11:56:00', '12:01:00', '12:06:00']","[[-29.30127, 150.06268], [-29.795532, 150.21918], [-29.786438, 150.25024], [-29.76831, 150.30194], [-29.813965, 149.68024], [-29.83197, 149.72168], [-29.850037, 149.86682], [-29.841003, 149.8772], 'NaN', 'NaN']",10823.0,-56.0,0.1195,2021-10-29 11:20:00
272,"[150.1794747486819, -29.566978026362065]",38.35,0.123,534.0,35.0,2163.066,665.209,Jump_6,5.18491,11:20:00,53,"[149.8461, -29.4903]","[9.1875, 8.125, 9.625, 3.0, 75.75, 86.6875, 17.4375, 7.6875, 'NaN', 'NaN']","[6.9125, 6.925, 6.725, 3.0, 53.375, 41.5312, 14.3438, 6.25, 'NaN', 'NaN']","['11:21:00', '11:26:00', '11:31:00', '11:36:00', '11:41:00', '11:46:00', '11:51:00', '11:56:00', '12:01:00', '12:06:00']","[[-29.30127, 150.06268], [-29.795532, 150.21918], [-29.786438, 150.25024], [-29.76831, 150.30194], [-29.813965, 149.68024], [-29.83197, 149.72168], [-29.850037, 149.86682], [-29.841003, 149.8772], 'NaN', 'NaN']",10823.0,-56.0,0.1195,2021-10-29 11:20:00
