,Coordinate,Scale_KM,TOT_dense,IC_num,CG_num,IC_amp,CG_amp,LJ,Sigma,Time,radar_ID,radar_Coor,max_SHI,nonneg_90_SHI,time_SHI,coor_SHI,valid_size_SHI,invalid_size_SHI,valid_range_SHI,datetime
139,"[152.07450587878785, -27.35993692424243]",12.9,0.252,121.0,11.0,604.795,181.245,Jump_11,2.63096,12:26:00,50,"[152.539, -27.608]","['NaN', 'NaN', 'NaN', 'NaN', 'NaN']","['NaN', 'NaN', 'NaN', 'NaN', 'NaN']","['12:31:00', '12:41:00', '12:51:00', '13:01:00', '13:11:00']","['NaN', 'NaN', 'NaN', 'NaN', 'NaN']",11035.0,-46.0,0.1218,2021-10-28 12:26:00
275,"[152.17927417100364, -27.84833027509296]",33.178,0.078,209.0,60.0,1255.999,1268.795,Jump_6,9.27935,09:36:00,50,"[152.539, -27.608]","[52.75, 39.3125, 67.8125, 43.5625, 44.4375]","[32.1875, 19.6875, 31.8875, 26.975, 19.025]","['09:41:00', '09:51:00', '10:01:00', '10:11:00', '10:21:00']","[[-27.849915, 152.04059], [-27.841125, 152.09149], [-27.823792, 152.42712], [-27.77887, 152.48816], [-27.760864, 152.47803]]",10878.0,111.0,0.1201,2021-10-28 09:36:00
290,"[152.2637913051948, -27.780336614718617]",26.839,0.204,362.0,100.0,2063.003,1609.433,Jump_7,2.62974,10:06:00,50,"[152.539, -27.608]","[43.5625, 44.4375, 22.25, 21.5625, 'NaN']","[26.975, 19.025, 15.325, 14.5938, 'NaN']","['10:11:00', '10:21:00', '10:31:00', '10:41:00', '10:51:00']","[[-27.77887, 152.48816], [-27.760864, 152.47803], [-27.724854, 152.40692], [-27.715881, 152.42725], 'NaN']",10975.0,14.0,0.1211,2021-10-28 10:06:00
297,"[152.28872846330262, -27.74556828899083]",24.347,0.351,543.0,111.0,3425.343,2505.873,Jump_8,2.12337,10:20:00,50,"[152.539, -27.608]","[44.4375, 22.25, 21.5625, 'NaN', 'NaN']","[19.025, 15.325, 14.5938, 'NaN', 'NaN']","['10:21:00', '10:31:00', '10:41:00', '10:51:00', '11:01:00']","[[-27.760864, 152.47803], [-27.724854, 152.40692], [-27.715881, 152.42725], 'NaN', 'NaN']",10930.0,59.0,0.1206,2021-10-28 10:20:00
360,"[152.07450587878785, -27.35993692424243]",12.9,0.252,121.0,11.0,604.795,181.245,Jump_10,2.63096,12:26:00,50,"[152.539, -27.608]","['NaN', 'NaN', 'NaN', 'NaN', 'NaN']","['NaN', 'NaN', 'NaN', 'NaN', 'NaN']","['12:31:00', '12:41:00', '12:51:00', '13:01:00', '13:11:00']","['NaN', 'NaN', 'NaN', 'NaN', 'NaN']",11035.0,-46.0,0.1218,2021-10-28 12:26:00
463,"[153.26546706355936, -30.0662829915254]",22.233,0.152,204.0,32.0,1260.943,433.911,Jump_5,2.27895,05:36:00,28,"[152.951, -29.622]","[158.1875, 95.75, 148.0625, 112.8125, 218.5625]","[36.5625, 35.625, 42.2062, 45.1875, 42.0625]","['05:41:00', '05:51:00', '06:01:00', '06:11:00', '06:21:00']","[[-29.90979, 153.02362], [-29.882751, 153.05475], [-29.864746, 153.09619], [-29.837708, 153.13763], [-29.810669, 153.17902]]",10718.0,49.0,0.1183,2021-10-28 05:36:00
470,"[153.20908490855462, -29.937904315634224]",19.138,0.295,321.0,18.0,1755.882,181.748,Jump_6,3.12011,05:50:00,28,"[152.951, -29.622]","[95.75, 148.0625, 112.8125, 218.5625, 93.0625]","[35.625, 42.2062, 45.1875, 42.0625, 43.3188]","['05:51:00', '06:01:00', '06:11:00', '06:21:00', '06:31:00']","[[-29.882751, 153.05475], [-29.864746, 153.09619], [-29.837708, 153.13763], [-29.810669, 153.17902], [-29.801453, 153.29303]]",10719.0,48.0,0.1183,2021-10-28 05:50:00
484,"[153.2231495324675, -29.83901672727271]",10.06,1.695,521.0,18.0,2895.884,336.251,Jump_7,4.53884,06:18:00,28,"[152.951, -29.622]","[218.5625, 93.0625, 90.1875, 183.0625, 166.75]","[42.0625, 43.3188, 44.2375, 56.0125, 68.4438]","['06:21:00', '06:31:00', '06:41:00', '06:51:00', '07:01:00']","[[-29.810669, 153.17902], [-29.801453, 153.29303], [-29.747314, 153.3446], [-29.720276, 153.37555], [-29.67511, 153.42712]]",10699.0,68.0,0.1181,2021-10-28 06:18:00
506,"[153.39888090782617, -29.672816864347812]",13.909,0.946,525.0,50.0,3228.556,1144.939,Jump_8,2.13064,07:02:00,28,"[152.951, -29.622]","[304.1875, 222.4375, 77.3125, 111.125, 44.375]","[84.6688, 69.2812, 34.475, 42.6813, 31.0813]","['07:11:00', '07:21:00', '07:31:00', '07:41:00', '07:51:00']","[[-29.621033, 153.45795], [-29.593872, 153.49915], [-29.468323, 153.40552], [-29.57434, 153.79895], [-29.387085, 153.48773]]",10771.0,-4.0,0.1189,2021-10-28 07:02:00
511,"[153.42116389645778, -29.637722506812022]",13.154,1.35,696.0,38.0,5143.446,660.867,Jump_9,2.24487,07:12:00,28,"[152.951, -29.622]","[222.4375, 77.3125, 111.125, 44.375, 51.0625]","[69.3, 34.475, 42.6813, 30.95, 24.0875]","['07:21:00', '07:31:00', '07:41:00', '07:51:00', '08:01:00']","[[-29.593872, 153.49915], [-29.468323, 153.40552], [-29.57434, 153.79895], [-29.387085, 153.48773], [-29.30597, 153.5285]]",10683.0,84.0,0.1179,2021-10-28 07:12:00
