,Coordinate,Scale_KM,TOT_dense,IC_num,CG_num,IC_amp,CG_amp,LJ,Sigma,Time,radar_ID,radar_Coor,max_SHI,nonneg_90_SHI,time_SHI,coor_SHI,valid_size_SHI,invalid_size_SHI,valid_range_SHI,datetime
2689,"[153.1263532333334, -27.952964800000004]",26.373,0.055,87.0,33.0,641.586,745.061,Jump_6,2.791,05:18:00,66,"[153.24, -27.7178]","[45.875, 67.9375, 89.0, 149.0, 273.0, 211.875, 111.625, 95.5625, 58.125, 80.9375]","[33.0, 47.0, 54.1562, 90.5, 158.975, 120.4375, 72.45, 37.5813, 33.9, 45.125]","['05:20:00', '05:25:00', '05:30:00', '05:35:00', '05:40:00', '05:45:00', '05:50:00', '05:55:00', '06:00:00', '06:05:00']","[[-27.933594, 153.32141], [-27.933594, 153.3418], [-27.924622, 153.3316], [-27.915588, 153.3418], [-27.933594, 153.35199], [-27.951538, 153.37238], [-27.915588, 153.37231], [-27.915588, 153.37231], [-27.906555, 153.39264], [-27.897583, 153.38245]]",10917,67,0.1205,2021-10-18 05:18:00
2713,"[153.266004352349, -27.441626922818777]",27.783,0.123,211.0,87.0,1617.658,1897.562,Jump_7,3.3158,06:06:00,43,"[153.13, -27.392]",No_File,No_File,No_File,No_File,No_File,No_File,No_File,2021-10-18 06:06:00
2727,"[153.46388998637607, -27.757496874659385]",32.047,0.114,305.0,62.0,2272.113,1199.066,Jump_8,3.80697,06:34:00,66,"[153.24, -27.7178]","[46.0625, 50.5, 47.0, 55.6875, 19.625, 22.0625, 22.375, 18.8125, 23.5, 18.5]","[24.1063, 17.75, 15.775, 17.225, 10.9375, 10.075, 13.3062, 11.4313, 14.4875, 12.875]","['06:35:00', '06:40:00', '06:45:00', '06:50:00', '06:55:00', '07:00:00', '07:05:00', '07:10:00', '07:15:00', '07:20:00']","[[-27.636658, 153.47351], [-27.762573, 153.47375], [-27.753479, 153.53473], [-27.771423, 153.54492], [-27.357178, 153.74628], [-27.384155, 153.73627], [-27.410889, 153.79718], [-27.446838, 153.8075], [-28.157654, 153.71942], [-27.636047, 153.70697]]",11067,-83,0.1222,2021-10-18 06:34:00
3084,"[152.73040221621616, -27.886420670270258]",41.424,0.034,160.0,25.0,1132.108,349.709,Jump_2,2.96332,04:22:00,50,"[152.539, -27.608]","['NaN', 24.1875, 22.5, 59.625, 21.625, 12.0625]","['NaN', 9.6125, 15.75, 33.9375, 14.85, 8.9125]","['04:25:00', '04:31:00', '04:41:00', '04:51:00', '05:01:00', '05:11:00']","['NaN', [-28.002808, 153.03809], [-28.011597, 153.09924], [-28.038391, 153.14014], [-28.065247, 153.1607], [-27.696655, 153.13824]]",10925,64,0.1206,2021-10-18 04:22:00
3105,"[153.06825311111112, -28.035399020833328]",31.065,0.047,107.0,37.0,808.035,731.939,Jump_4,2.61193,05:04:00,66,"[153.24, -27.7178]","[40.625, 52.1875, 29.9375, 45.875, 67.9375, 89.0, 149.0, 273.0, 211.875, 111.625]","[19.4125, 28.7125, 19.7, 33.0, 47.0, 54.3188, 90.5, 158.975, 120.4375, 72.45]","['05:05:00', '05:10:00', '05:15:00', '05:20:00', '05:25:00', '05:30:00', '05:35:00', '05:40:00', '05:45:00', '05:50:00']","[[-27.960632, 153.30109], [-27.9516, 153.3316], [-27.91565, 153.31122], [-27.933594, 153.32141], [-27.933594, 153.3418], [-27.924622, 153.3316], [-27.915588, 153.3418], [-27.933594, 153.35199], [-27.951538, 153.37238], [-27.915588, 153.37231]]",10940,44,0.1207,2021-10-18 05:04:00
3112,"[153.1263532333334, -27.952964800000004]",26.373,0.055,87.0,33.0,641.586,745.061,Jump_5,2.791,05:18:00,66,"[153.24, -27.7178]","[45.875, 67.9375, 89.0, 149.0, 273.0, 211.875, 111.625, 95.5625, 58.125, 80.9375]","[33.0, 47.0, 54.1562, 90.5, 158.975, 120.4375, 72.45, 37.5813, 33.9, 45.125]","['05:20:00', '05:25:00', '05:30:00', '05:35:00', '05:40:00', '05:45:00', '05:50:00', '05:55:00', '06:00:00', '06:05:00']","[[-27.933594, 153.32141], [-27.933594, 153.3418], [-27.924622, 153.3316], [-27.915588, 153.3418], [-27.933594, 153.35199], [-27.951538, 153.37238], [-27.915588, 153.37231], [-27.915588, 153.37231], [-27.906555, 153.39264], [-27.897583, 153.38245]]",10917,67,0.1205,2021-10-18 05:18:00
3136,"[153.266004352349, -27.441626922818777]",27.783,0.123,211.0,87.0,1617.658,1897.562,Jump_6,3.3158,06:06:00,43,"[153.13, -27.392]",No_File,No_File,No_File,No_File,No_File,No_File,No_File,2021-10-18 06:06:00
3150,"[153.46388998637607, -27.757496874659385]",32.047,0.114,305.0,62.0,2272.113,1199.066,Jump_7,3.80697,06:34:00,66,"[153.24, -27.7178]","[46.0625, 50.5, 47.0, 55.6875, 19.625, 22.0625, 22.375, 18.8125, 23.5, 18.5]","[24.1063, 17.75, 15.775, 17.225, 10.9375, 10.075, 13.3062, 11.4313, 14.4875, 12.875]","['06:35:00', '06:40:00', '06:45:00', '06:50:00', '06:55:00', '07:00:00', '07:05:00', '07:10:00', '07:15:00', '07:20:00']","[[-27.636658, 153.47351], [-27.762573, 153.47375], [-27.753479, 153.53473], [-27.771423, 153.54492], [-27.357178, 153.74628], [-27.384155, 153.73627], [-27.410889, 153.79718], [-27.446838, 153.8075], [-28.157654, 153.71942], [-27.636047, 153.70697]]",11067,-83,0.1222,2021-10-18 06:34:00
3550,"[150.793268408046, -24.214810298850583]",33.979,0.048,157.0,17.0,710.306,294.857,Jump_9,3.71471,09:36:00,23,"[151.2626, -23.855]","[133.5625, 52.875, 27.125, 27.3125, 8.3125, 5.3125, 9.125, 29.0, 27.625, 16.0625]","[60.8438, 35.2, 18.225, 20.0375, 7.3312, 4.525, 7.7188, 24.85, 22.875, 14.8375]","['09:40:00', '09:45:00', '09:50:00', '09:55:00', '10:00:00', '10:05:00', '10:10:00', '10:15:00', '10:20:00', '10:25:00']","[[-23.962158, 150.77051], [-23.944275, 150.80994], [-23.935364, 150.84937], [-24.357788, 150.75916], [-23.917603, 150.93793], [-24.295288, 150.91724], [-23.89972, 150.99701], [-23.881775, 151.01672], [-23.872864, 151.04626], [-23.85492, 151.09546]]",11310.0,-75.0,0.1248,2021-10-18 09:36:00
3594,"[151.54219849099093, -23.715616666666662]",31.138,0.073,203.0,19.0,1316.211,374.085,Jump_10,12.27087,11:04:00,23,"[151.2626, -23.855]","[50.5, 63.4375, 61.75, 27.125, 67.0625, 52.0625, 53.875, 43.4375, 25.75, 31.375]","[25.75, 39.3625, 39.6625, 17.9375, 20.3125, 29.7, 27.95, 24.9688, 18.95, 23.85]","['11:05:00', '11:10:00', '11:15:00', '11:20:00', '11:25:00', '11:30:00', '11:35:00', '11:40:00', '11:45:00', '11:50:00']","[[-23.791992, 151.39038], [-23.684143, 151.30188], [-23.75592, 151.47876], [-23.5672, 151.28223], [-23.576172, 151.32147], [-23.576172, 151.36072], [-24.160645, 151.07532], [-23.549133, 151.4588], [-23.647339, 151.7633], [-23.630188, 151.32147]]",11398.0,-163.0,0.1258,2021-10-18 11:04:00
