,Coordinate,Scale_KM,TOT_dense,IC_num,CG_num,IC_amp,CG_amp,LJ,Sigma,Time,radar_ID,radar_Coor,max_SHI,nonneg_90_SHI,time_SHI,coor_SHI,valid_size_SHI,invalid_size_SHI,valid_range_SHI,datetime
1423,"[147.6553394328358, -26.56088546268657]",3.141,2.161,65.0,2.0,373.848,14.207,Jump_0,3.38648,04:16:00,67,"[147.3492, -26.44]","[41.125, 23.125, 4.5625, 3.625, 'NaN', 2.8125, 6.0, 'NaN', 'NaN', 'NaN']","[28.3563, 18.1562, 4.5625, 3.5625, 'NaN', 2.8125, 6.0, 'NaN', 'NaN', 'NaN']","['04:20:00', '04:25:00', '04:30:00', '04:35:00', '04:40:00', '04:45:00', '04:50:00', '04:55:00', '05:00:00', '05:05:00']","[[-26.565613, 147.63074], [-26.565674, 147.6106], [-26.583374, 147.73132], [-26.574463, 147.71118], 'NaN', [-26.592407, 147.71124], [-26.583435, 147.71124], 'NaN', 'NaN', 'NaN']",11155.0,-166.0,0.1231,2021-12-25 04:16:00
1429,"[147.72082519354842, -26.55530763440859]",5.005,1.182,86.0,7.0,481.317,76.923,Jump_1,3.02224,04:28:00,67,"[147.3492, -26.44]","[4.5625, 3.625, 'NaN', 2.8125, 6.0, 'NaN', 'NaN', 3.1875, 'NaN', 'NaN']","[4.5625, 3.5625, 'NaN', 2.8125, 6.0, 'NaN', 'NaN', 3.1875, 'NaN', 'NaN']","['04:30:00', '04:35:00', '04:40:00', '04:45:00', '04:50:00', '04:55:00', '05:00:00', '05:05:00', '05:10:00', '05:15:00']","[[-26.583374, 147.73132], [-26.574463, 147.71118], 'NaN', [-26.592407, 147.71124], [-26.583435, 147.71124], 'NaN', 'NaN', [-26.97705, 148.20697], 'NaN', 'NaN']",10999.0,-10.0,0.1214,2021-12-25 04:28:00
1684,"[147.81709712612616, -26.054489306306298]",14.179,0.176,109.0,2.0,598.214,19.091,Jump_1,4.55728,06:36:00,67,"[147.3492, -26.44]","[23.625, 15.375, 30.25, 19.25, 25.3125, 22.625, 14.25, 10.625, 13.375, 8.125]","[15.175, 13.6375, 15.55, 9.6437, 18.25, 16.3437, 9.95, 8.6875, 9.2875, 7.15]","['06:40:00', '06:45:00', '06:50:00', '06:55:00', '07:00:00', '07:05:00', '07:10:00', '07:15:00', '07:20:00', '07:25:00']","[[-25.94513, 147.60925], [-25.94519, 147.58923], [-26.052979, 147.64954], [-26.044006, 147.64948], [-26.034668, 147.7796], [-26.016724, 147.76953], [-25.998718, 147.75946], [-25.980774, 147.7594], [-25.998169, 147.9295], [-25.989197, 147.9195]]",11127.0,-138.0,0.1228,2021-12-25 06:36:00
1974,"[152.21039350877192, -25.724357754385963]",3.342,1.625,54.0,3.0,164.776,17.024,Jump_0,4.37384,02:14:00,8,"[152.5768, -25.9574]","[5.875, 'NaN', 5.5625, 6.3125, 4.0, 9.1875, 9.5, 29.25, 29.75, 4.25]","[5.6125, 'NaN', 5.3812, 6.3, 3.9125, 7.8875, 9.1125, 26.0875, 21.1125, 3.9375]","['02:15:00', '02:20:00', '02:25:00', '02:30:00', '02:35:00', '02:40:00', '02:45:00', '02:50:00', '02:55:00', '03:00:00']","[[-25.77655, 152.03748], 'NaN', [-25.77649, 152.02753], [-25.94629, 151.79669], [-25.937317, 151.79675], [-25.534424, 152.27777], [-25.929565, 152.07678], [-25.920593, 152.08685], [-25.920654, 152.09686], [-25.884338, 152.00702]]",11124.0,-30.0,0.1228,2021-12-25 02:14:00
1993,"[152.0830294942529, -25.939334252873564]",5.606,0.881,84.0,3.0,300.254,18.539,Jump_2,2.12984,02:52:00,8,"[152.5768, -25.9574]","[29.75, 4.25, 3.5, 4.4375, 4.25, 'NaN', 5.625, 'NaN', 3.6875, 10.75]","[21.625, 3.9375, 3.325, 4.3562, 4.2188, 'NaN', 5.3875, 'NaN', 3.6062, 7.3875]","['02:55:00', '03:00:00', '03:05:00', '03:10:00', '03:15:00', '03:20:00', '03:25:00', '03:30:00', '03:35:00', '03:40:00']","[[-25.920654, 152.09686], [-25.884338, 152.00702], [-25.8844, 152.01703], [-25.489624, 152.38751], [-25.489624, 152.38751], 'NaN', [-26.09198, 152.27637], 'NaN', [-26.316162, 152.04504], [-26.091858, 152.22632]]",11093.0,1.0,0.1224,2021-12-25 02:52:00
2018,"[152.39683534666665, -26.08757771999999]",15.761,0.096,70.0,5.0,349.937,130.233,Jump_4,2.24664,03:42:00,8,"[152.5768, -25.9574]","[8.125, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 2.9375, 'NaN']","[7.1562, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 2.9375, 'NaN']","['03:45:00', '03:50:00', '03:55:00', '04:00:00', '04:05:00', '04:10:00', '04:15:00', '04:20:00', '04:25:00', '04:30:00']","[[-26.523926, 152.4964], 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', [-26.342834, 151.96466], 'NaN']",11154.0,-60.0,0.1231,2021-12-25 03:42:00
2223,"[150.91576617500004, -34.24061413750001]",5.466,1.705,152.0,8.0,327.534,83.409,Jump_4,6.25425,08:14:00,3,"[150.8751, -34.2624]","[7.9375, 6.0, 8.5625, 12.375, 'NaN', 14.875, 8.375, 8.8125, 'NaN', 5.25]","[7.45, 5.975, 7.5688, 11.925, 'NaN', 14.425, 8.375, 7.8375, 'NaN', 5.1125]","['08:15:00', '08:20:00', '08:25:00', '08:30:00', '08:35:00', '08:40:00', '08:45:00', '08:50:00', '08:55:00', '09:00:00']","[[-34.172424, 150.98383], [-34.15442, 151.0055], [-34.15442, 151.0055], [-33.75763, 151.40515], 'NaN', [-33.79413, 151.26465], [-33.75763, 151.40515], [-33.829773, 151.35144], 'NaN', [-33.81195, 151.30804]]",10242.0,-51.0,0.113,2021-12-25 08:14:00
2375,"[150.56592290183568, -34.2604357198723]",7.173,7.753,1196.0,57.0,3920.732,609.261,Jump_0,2.98503,06:42:00,3,"[150.8751, -34.2624]","[540.625, 356.25, 270.0, 383.4375, 438.875, 249.625, 122.3125, 129.9375, 68.75, 40.75]","[165.4375, 173.7125, 122.9, 96.7438, 90.4625, 86.725, 63.8188, 49.9375, 39.4125, 25.0938]","['06:45:00', '06:50:00', '06:55:00', '07:00:00', '07:05:00', '07:10:00', '07:15:00', '07:20:00', '07:25:00', '07:30:00']","[[-34.315796, 150.50488], [-34.324768, 150.50488], [-34.342834, 150.52655], [-34.37854, 150.43921], [-34.387573, 150.45007], [-34.387573, 150.45007], [-34.361084, 150.62451], [-34.370056, 150.62451], [-34.37915, 150.66809], [-34.163452, 150.84247]]",10202.0,-11.0,0.1126,2021-12-25 06:42:00
2386,"[150.62579905233633, -34.26357685420563]",11.749,1.234,517.0,18.0,1558.317,137.904,Jump_1,2.89429,07:04:00,3,"[150.8751, -34.2624]","[438.875, 249.625, 122.3125, 129.9375, 68.75, 40.75, 23.0, 18.5625, 12.5625, 5.625]","[90.4625, 87.2312, 66.375, 48.025, 36.0562, 25.0688, 17.4188, 14.4313, 9.375, 5.3438]","['07:05:00', '07:10:00', '07:15:00', '07:20:00', '07:25:00', '07:30:00', '07:35:00', '07:40:00', '07:45:00', '07:50:00']","[[-34.387573, 150.45007], [-34.387573, 150.45007], [-34.361084, 150.62451], [-34.370056, 150.62451], [-34.37915, 150.66809], [-34.163452, 150.84247], [-34.163452, 150.87512], [-34.172485, 150.87512], [-34.163452, 150.88599], [-34.1994, 150.94037]]",10207.0,-16.0,0.1127,2021-12-25 07:04:00
2407,"[150.7906007684729, -34.24416421674877]",9.547,0.709,197.0,6.0,496.173,49.497,Jump_2,2.11402,07:46:00,3,"[150.8751, -34.2624]","[5.625, 33.625, 39.8125, 51.4375, 20.1875, 7.9375, 6.0, 8.5625, 3.0, 'NaN']","[5.3438, 25.6063, 29.7813, 41.9813, 17.6375, 7.45, 5.975, 7.5688, 3.0, 'NaN']","['07:50:00', '07:55:00', '08:00:00', '08:05:00', '08:10:00', '08:15:00', '08:20:00', '08:25:00', '08:30:00', '08:35:00']","[[-34.1994, 150.94037], [-34.1994, 150.94037], [-34.19043, 150.95123], [-34.181458, 150.9621], [-34.172424, 150.9729], [-34.172424, 150.98383], [-34.15442, 151.0055], [-34.15442, 151.0055], [-34.15442, 151.0055], 'NaN']",10211.0,-20.0,0.1127,2021-12-25 07:46:00
2515,"[150.91576617500004, -34.24061413750001]",5.466,1.705,152.0,8.0,327.534,83.409,Jump_4,6.25425,08:14:00,3,"[150.8751, -34.2624]","[7.9375, 6.0, 8.5625, 12.375, 'NaN', 14.875, 8.375, 8.8125, 'NaN', 5.25]","[7.45, 5.975, 7.5688, 11.925, 'NaN', 14.425, 8.375, 7.8375, 'NaN', 5.1125]","['08:15:00', '08:20:00', '08:25:00', '08:30:00', '08:35:00', '08:40:00', '08:45:00', '08:50:00', '08:55:00', '09:00:00']","[[-34.172424, 150.98383], [-34.15442, 151.0055], [-34.15442, 151.0055], [-33.75763, 151.40515], 'NaN', [-33.79413, 151.26465], [-33.75763, 151.40515], [-33.829773, 151.35144], 'NaN', [-33.81195, 151.30804]]",10242.0,-51.0,0.113,2021-12-25 08:14:00
2692,"[152.0830294942529, -25.939334252873564]",5.606,0.881,84.0,3.0,300.254,18.539,Jump_0,2.12984,02:52:00,8,"[152.5768, -25.9574]","[29.75, 4.25, 3.5, 4.4375, 4.25, 'NaN', 5.625, 'NaN', 3.6875, 10.75]","[21.625, 3.9375, 3.325, 4.3562, 4.2188, 'NaN', 5.3875, 'NaN', 3.6062, 7.3875]","['02:55:00', '03:00:00', '03:05:00', '03:10:00', '03:15:00', '03:20:00', '03:25:00', '03:30:00', '03:35:00', '03:40:00']","[[-25.920654, 152.09686], [-25.884338, 152.00702], [-25.8844, 152.01703], [-25.489624, 152.38751], [-25.489624, 152.38751], 'NaN', [-26.09198, 152.27637], 'NaN', [-26.316162, 152.04504], [-26.091858, 152.22632]]",11093.0,1.0,0.1224,2021-12-25 02:52:00
2717,"[152.39683534666665, -26.08757771999999]",15.761,0.096,70.0,5.0,349.937,130.233,Jump_2,2.24664,03:42:00,8,"[152.5768, -25.9574]","[8.125, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 2.9375, 'NaN']","[7.1562, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 2.9375, 'NaN']","['03:45:00', '03:50:00', '03:55:00', '04:00:00', '04:05:00', '04:10:00', '04:15:00', '04:20:00', '04:25:00', '04:30:00']","[[-26.523926, 152.4964], 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', [-26.342834, 151.96466], 'NaN']",11154.0,-60.0,0.1231,2021-12-25 03:42:00
