,Coordinate,Scale_KM,TOT_dense,IC_num,CG_num,IC_amp,CG_amp,LJ,Sigma,Time,radar_ID,radar_Coor,max_SHI,nonneg_90_SHI,time_SHI,coor_SHI,valid_size_SHI,invalid_size_SHI,valid_range_SHI,datetime
144,"[151.25109073529407, -34.30675372058823]",3.044,2.335,68.0,0.0,259.71,0.0,Jump_2,7.02982,09:14:00,54,"[151.2263, -34.0148]","[32.8125, 13.6875, 29.0, 23.25, 11.5, 13.9375, 5.1875, 'NaN', 'NaN', 'NaN']","[21.4875, 9.7625, 25.7, 17.1, 9.7375, 12.925, 4.85, 'NaN', 'NaN', 'NaN']","['09:15:00', '09:20:00', '09:25:00', '09:30:00', '09:35:00', '09:40:00', '09:45:00', '09:50:00', '09:55:00', '10:00:00']","[[-34.320557, 151.24811], [-34.320557, 151.23718], [-34.338562, 151.2154], [-34.32959, 151.2154], [-34.338562, 151.20453], [-34.338562, 151.18274], [-34.32953, 151.1936], 'NaN', 'NaN', 'NaN']",10287.0,-40.0,0.1135,2021-03-12 09:14:00
176,"[151.4907806987952, -34.273374614457836]",3.111,2.729,80.0,3.0,266.877,80.278,Jump_3,3.30431,10:28:00,54,"[151.2263, -34.0148]","[3.875, 6.8125, 17.9375, 15.125, 12.9375, 18.75, 21.0625, 9.0, 11.625, 10.9375]","[3.875, 6.25, 16.4375, 13.0, 8.7625, 14.4688, 15.7438, 6.625, 8.85, 10.325]","['10:30:00', '10:35:00', '10:40:00', '10:45:00', '10:50:00', '10:55:00', '11:00:00', '11:05:00', '11:10:00', '11:15:00']","[[-34.2843, 151.48755], [-34.293396, 151.4549], [-34.3114, 151.43317], [-34.329407, 151.43323], [-34.329407, 151.4223], [-34.356445, 151.40057], [-34.365417, 151.38971], [-34.365417, 151.38971], [-34.27533, 151.48749], [-34.27527, 151.50928]]",10189.0,58.0,0.1125,2021-03-12 10:28:00
184,"[151.459681, -34.29211027559054]",4.944,1.654,127.0,0.0,367.722,0.0,Jump_4,3.05357,10:44:00,54,"[151.2263, -34.0148]","[15.125, 12.9375, 18.75, 21.0625, 9.0, 11.625, 10.9375, 11.4375, 15.4375, 6.375]","[13.0, 8.7625, 14.4688, 15.7438, 6.625, 8.85, 10.325, 8.6625, 14.1875, 6.275]","['10:45:00', '10:50:00', '10:55:00', '11:00:00', '11:05:00', '11:10:00', '11:15:00', '11:20:00', '11:25:00', '11:30:00']","[[-34.329407, 151.43323], [-34.329407, 151.4223], [-34.356445, 151.40057], [-34.365417, 151.38971], [-34.365417, 151.38971], [-34.27533, 151.48749], [-34.27527, 151.50928], [-34.266296, 151.50922], [-34.2843, 151.49841], [-34.302307, 151.48761]]",10208.0,39.0,0.1127,2021-03-12 10:44:00
206,"[151.51038714285716, -34.273890008928575]",3.411,6.128,222.0,2.0,773.785,13.492,Jump_5,2.2338,11:28:00,54,"[151.2263, -34.0148]","[6.375, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']","[6.275, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']","['11:30:00', '11:35:00', '11:40:00', '11:45:00', '11:50:00', '11:55:00', '12:00:00', '12:05:00', '12:10:00', '12:15:00']","[[-34.302307, 151.48761], 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']",10163.0,84.0,0.1122,2021-03-12 11:28:00
400,"[151.25109073529407, -34.30675372058823]",3.044,2.335,68.0,0.0,259.71,0.0,Jump_2,7.02982,09:14:00,54,"[151.2263, -34.0148]","[32.8125, 13.6875, 29.0, 23.25, 11.5, 13.9375, 5.1875, 'NaN', 'NaN', 'NaN']","[21.4875, 9.7625, 25.7, 17.1, 9.7375, 12.925, 4.85, 'NaN', 'NaN', 'NaN']","['09:15:00', '09:20:00', '09:25:00', '09:30:00', '09:35:00', '09:40:00', '09:45:00', '09:50:00', '09:55:00', '10:00:00']","[[-34.320557, 151.24811], [-34.320557, 151.23718], [-34.338562, 151.2154], [-34.32959, 151.2154], [-34.338562, 151.20453], [-34.338562, 151.18274], [-34.32953, 151.1936], 'NaN', 'NaN', 'NaN']",10287.0,-40.0,0.1135,2021-03-12 09:14:00
432,"[151.4907806987952, -34.273374614457836]",3.111,2.729,80.0,3.0,266.877,80.278,Jump_3,3.30431,10:28:00,54,"[151.2263, -34.0148]","[3.875, 6.8125, 17.9375, 15.125, 12.9375, 18.75, 21.0625, 9.0, 11.625, 10.9375]","[3.875, 6.25, 16.4375, 13.0, 8.7625, 14.4688, 15.7438, 6.625, 8.85, 10.325]","['10:30:00', '10:35:00', '10:40:00', '10:45:00', '10:50:00', '10:55:00', '11:00:00', '11:05:00', '11:10:00', '11:15:00']","[[-34.2843, 151.48755], [-34.293396, 151.4549], [-34.3114, 151.43317], [-34.329407, 151.43323], [-34.329407, 151.4223], [-34.356445, 151.40057], [-34.365417, 151.38971], [-34.365417, 151.38971], [-34.27533, 151.48749], [-34.27527, 151.50928]]",10189.0,58.0,0.1125,2021-03-12 10:28:00
440,"[151.459681, -34.29211027559054]",4.944,1.654,127.0,0.0,367.722,0.0,Jump_4,3.05357,10:44:00,54,"[151.2263, -34.0148]","[15.125, 12.9375, 18.75, 21.0625, 9.0, 11.625, 10.9375, 11.4375, 15.4375, 6.375]","[13.0, 8.7625, 14.4688, 15.7438, 6.625, 8.85, 10.325, 8.6625, 14.1875, 6.275]","['10:45:00', '10:50:00', '10:55:00', '11:00:00', '11:05:00', '11:10:00', '11:15:00', '11:20:00', '11:25:00', '11:30:00']","[[-34.329407, 151.43323], [-34.329407, 151.4223], [-34.356445, 151.40057], [-34.365417, 151.38971], [-34.365417, 151.38971], [-34.27533, 151.48749], [-34.27527, 151.50928], [-34.266296, 151.50922], [-34.2843, 151.49841], [-34.302307, 151.48761]]",10208.0,39.0,0.1127,2021-03-12 10:44:00
462,"[151.51038714285716, -34.273890008928575]",3.411,6.128,222.0,2.0,773.785,13.492,Jump_5,2.2338,11:28:00,54,"[151.2263, -34.0148]","[6.375, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']","[6.275, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']","['11:30:00', '11:35:00', '11:40:00', '11:45:00', '11:50:00', '11:55:00', '12:00:00', '12:05:00', '12:10:00', '12:15:00']","[[-34.302307, 151.48761], 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']",10163.0,84.0,0.1122,2021-03-12 11:28:00
803,"[152.13952704444443, -33.20505966666667]",5.008,0.571,25.0,20.0,104.777,415.129,Jump_1,3.09067,06:10:00,4,"[152.0254, -32.7298]","[2.8125, 'NaN', 'NaN', 'NaN', 'NaN', 3.4375, 8.0, 3.25, 7.3125, 14.5625, 15.75]","[2.8125, 'NaN', 'NaN', 'NaN', 'NaN', 3.425, 6.1437, 3.2188, 6.8062, 12.9125, 12.4688]","['06:10:00', '06:15:00', '06:20:00', '06:25:00', '06:30:00', '06:35:00', '06:40:00', '06:45:00', '06:50:00', '06:55:00', '07:00:00']","[[-33.179443, 152.11139], 'NaN', 'NaN', 'NaN', 'NaN', [-33.19745, 152.01465], [-33.20642, 151.99316], [-33.215454, 151.99316], [-33.19745, 151.98242], [-33.19745, 152.0039], [-33.19745, 152.0039]]",10319.0,17.0,0.1139,2021-03-12 06:10:00
826,"[152.0211364485294, -33.215618139705896]",5.32,1.53,107.0,29.0,517.049,574.612,Jump_3,4.08598,06:56:00,4,"[152.0254, -32.7298]","[15.75, 5.9375, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']","[12.4688, 5.5625, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']","['07:00:00', '07:05:00', '07:10:00', '07:15:00', '07:20:00', '07:25:00', '07:30:00', '07:35:00', '07:40:00', '07:45:00']","[[-33.19745, 152.0039], [-33.19745, 152.0039], 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']",10330.0,6.0,0.114,2021-03-12 06:56:00
