,Coordinate,Scale_KM,TOT_dense,IC_num,CG_num,IC_amp,CG_amp,LJ,Sigma,Time,radar_ID,radar_Coor,max_SHI,nonneg_90_SHI,time_SHI,coor_SHI,valid_size_SHI,invalid_size_SHI,valid_range_SHI,datetime
0,"[152.49062868987338, -29.565083424050613]",13.284,0.285,151.0,7.0,706.73,138.708,Jump_5,2.98758,09:16:00,28,"[152.951, -29.622]","[116.6875, 135.875, 203.625, 195.5625, 56.25]","[53.4062, 66.125, 95.9875, 103.8, 32.4625]","['09:21:00', '09:31:00', '09:41:00', '09:51:00', '10:01:00']","[[-29.387207, 152.44525], [-29.504395, 152.51703], [-29.324463, 152.49713], [-29.297546, 152.51788], [-29.27063, 152.54895]]",10697.0,70.0,0.1181,2021-10-19 09:16:00
4,"[152.53298741463414, -29.536692304878038]",10.101,0.512,158.0,6.0,767.835,76.658,Jump_6,2.79772,09:24:00,28,"[152.951, -29.622]","[135.875, 203.625, 195.5625, 56.25, 22.6875]","[66.125, 95.9875, 103.8, 32.4625, 14.9375]","['09:31:00', '09:41:00', '09:51:00', '10:01:00', '10:11:00']","[[-29.504395, 152.51703], [-29.324463, 152.49713], [-29.297546, 152.51788], [-29.27063, 152.54895], [-29.234985, 152.66241]]",10737.0,30.0,0.1185,2021-10-19 09:24:00
17,"[152.54967400359712, -29.36974103237408]",8.043,1.368,270.0,8.0,1147.557,133.717,Jump_7,3.2495,09:50:00,28,"[152.951, -29.622]","[195.5625, 56.25, 22.6875, 24.1875, 36.0]","[103.8, 32.4625, 14.9375, 18.7688, 24.85]","['09:51:00', '10:01:00', '10:11:00', '10:21:00', '10:31:00']","[[-29.297546, 152.51788], [-29.27063, 152.54895], [-29.234985, 152.66241], [-29.198608, 152.51831], [-29.144775, 152.54944]]",10756.0,11.0,0.1187,2021-10-19 09:50:00
37,"[152.62103602673804, -29.206775085561496]",15.714,0.241,176.0,11.0,664.91,146.547,Jump_8,2.50049,10:30:00,28,"[152.951, -29.622]","[36.0, 34.0, 63.125, 156.5625, 24.3125]","[24.85, 18.3438, 46.05, 91.6875, 21.25]","['10:31:00', '10:41:00', '10:51:00', '11:01:00', '11:11:00']","[[-29.144775, 152.54944], [-29.117188, 152.38483], [-29.063232, 152.38513], [-29.036377, 152.41614], [-29.00055, 152.45746]]",10767.0,0.0,0.1188,2021-10-19 10:30:00
59,"[152.7657498863636, -28.140952249999998]",9.643,0.151,44.0,0.0,204.966,0.0,Jump_9,2.44903,12:38:00,66,"[153.24, -27.7178]","[86.0, 99.75, 75.0, 78.8125, 84.75, 113.0625, 55.0, 58.875, 66.5, 40.1875]","[52.375, 56.7375, 41.0875, 33.2, 41.3875, 46.2188, 35.875, 43.525, 34.8125, 29.125]","['12:40:00', '12:45:00', '12:50:00', '12:55:00', '13:00:00', '13:05:00', '13:10:00', '13:15:00', '13:20:00', '13:25:00']","[[-28.130066, 152.60773], [-28.130066, 152.60773], [-28.0943, 152.65894], [-28.094116, 152.61816], [-28.04071, 152.75092], [-28.0318, 152.77136], [-28.013794, 152.78162], [-27.986877, 152.80206], [-27.93341, 153.00586], [-27.915466, 153.00592]]",10882.0,102.0,0.1201,2021-10-19 12:38:00
68,"[152.6795901502889, -28.09539931791908]",9.244,0.644,160.0,13.0,853.436,387.055,Jump_10,6.84464,12:56:00,50,"[152.539, -27.608]","[114.125, 55.25, 52.0625, 39.0, 'NaN']","[45.9375, 40.325, 44.9375, 25.5563, 'NaN']","['13:01:00', '13:11:00', '13:21:00', '13:31:00', '13:45:00']","[[-28.03949, 152.75299], [-28.003479, 152.78345], [-27.939941, 153.00726], [-27.894958, 153.01727], 'NaN']",10903.0,86.0,0.1203,2021-10-19 12:56:00
325,"[152.60412135443045, -30.075458936708866]",6.401,0.614,72.0,7.0,273.58,53.263,Jump_1,5.94117,07:14:00,28,"[152.951, -29.622]","[522.9375, 342.25, 116.5, 53.375, 304.125]","[205.8688, 137.3188, 54.95, 37.8875, 105.25]","['07:21:00', '07:31:00', '07:41:00', '07:51:00', '08:01:00']","[[-30.044128, 152.57697], [-30.00824, 152.60828], [-29.999146, 152.56677], [-29.963196, 152.5669], [-29.900146, 152.53601]]",10733.0,34.0,0.1185,2021-10-19 07:14:00
332,"[152.55673205594397, -30.066653846153848]",10.145,0.442,132.0,11.0,478.97,116.454,Jump_2,2.19097,07:28:00,28,"[152.951, -29.622]","[342.25, 116.5, 53.375, 304.125, 171.5]","[137.3188, 54.95, 37.8875, 105.25, 68.3938]","['07:31:00', '07:41:00', '07:51:00', '08:01:00', '08:11:00']","[[-30.00824, 152.60828], [-29.999146, 152.56677], [-29.963196, 152.5669], [-29.900146, 152.53601], [-29.97113, 152.297]]",10788.0,-21.0,0.1191,2021-10-19 07:28:00
369,"[152.46069658156034, -29.800209085106374]",16.736,0.16,135.0,6.0,639.105,80.173,Jump_3,4.20778,08:42:00,28,"[152.951, -29.622]","[615.6875, 195.4375, 160.1875, 116.6875, 135.875]","[85.5563, 46.375, 72.5875, 53.4062, 66.125]","['08:51:00', '09:01:00', '09:11:00', '09:21:00', '09:31:00']","[[-29.70227, 152.52649], [-29.657288, 152.51636], [-29.414124, 152.4245], [-29.387207, 152.44525], [-29.504395, 152.51703]]",10659.0,108.0,0.1176,2021-10-19 08:42:00
386,"[152.49062868987338, -29.565083424050613]",13.284,0.285,151.0,7.0,706.73,138.708,Jump_4,2.98758,09:16:00,28,"[152.951, -29.622]","[116.6875, 135.875, 203.625, 195.5625, 56.25]","[53.4062, 66.125, 95.9875, 103.8, 32.4625]","['09:21:00', '09:31:00', '09:41:00', '09:51:00', '10:01:00']","[[-29.387207, 152.44525], [-29.504395, 152.51703], [-29.324463, 152.49713], [-29.297546, 152.51788], [-29.27063, 152.54895]]",10697.0,70.0,0.1181,2021-10-19 09:16:00
