,Coordinate,Scale_KM,TOT_dense,IC_num,CG_num,IC_amp,CG_amp,LJ,Sigma,Time,radar_ID,radar_Coor,max_SHI,nonneg_90_SHI,time_SHI,coor_SHI,valid_size_SHI,invalid_size_SHI,valid_range_SHI,datetime
191,"[149.9209893285714, -31.085681528571417]",7.459,0.4,53.0,17.0,220.028,354.528,Jump_3,5.07392,06:58:00,69,"[150.1917, -31.0236]","[24.0, 26.0625, 5.4375, 10.6875, 4.3125, 8.625, 2.9375, 8.25, 12.75, 29.0625]","[15.375, 14.1375, 5.1375, 9.8375, 3.9875, 7.975, 2.9375, 5.3625, 10.875, 18.8]","['07:00:00', '07:05:00', '07:10:00', '07:15:00', '07:20:00', '07:25:00', '07:30:00', '07:35:00', '07:40:00', '07:45:00']","[[-31.131226, 149.91852], [-31.158264, 149.93945], [-31.17627, 149.93945], [-31.157166, 149.60321], [-31.17517, 149.61359], [-30.663818, 150.04535], [-31.329163, 149.97058], [-31.075317, 149.42517], [-31.26532, 149.65509], [-30.81659, 150.41162]]",10545.0,0.0,0.1164,2021-11-25 06:58:00
233,"[150.39685441747577, -31.05452222330096]",4.738,1.46,99.0,4.0,513.076,113.598,Jump_6,2.61104,08:22:00,69,"[150.1917, -31.0236]","[39.5625, 18.125, 14.875, 16.6875, 6.9375, 5.4375, 14.6875, 33.25, 25.25, 12.1875]","[23.65, 15.4625, 11.35, 12.7625, 6.2062, 4.525, 10.95, 24.075, 18.4375, 8.075]","['08:25:00', '08:30:00', '08:35:00', '08:40:00', '08:45:00', '08:50:00', '08:55:00', '09:00:00', '09:05:00', '09:10:00']","[[-31.06842, 150.39117], [-31.086487, 150.34924], [-31.131409, 150.3703], [-31.167358, 150.38086], [-31.17627, 150.43347], [-31.239258, 150.39154], [-31.292969, 150.51794], [-31.310974, 150.52856], [-31.328918, 150.53912], [-31.355835, 150.54974]]",10689.0,-144.0,0.118,2021-11-25 08:22:00
242,"[150.39364881502894, -31.164255138728343]",3.963,3.507,172.0,1.0,807.766,4.319,Jump_7,2.23334,08:40:00,69,"[150.1917, -31.0236]","[16.6875, 6.9375, 5.4375, 14.6875, 33.25, 25.25, 12.1875, 15.3125, 14.9375, 11.625, 10.375]","[12.7625, 6.2062, 4.525, 10.95, 24.075, 18.4375, 8.075, 12.9375, 13.7563, 9.5375, 9.0625]","['08:40:00', '08:45:00', '08:50:00', '08:55:00', '09:00:00', '09:05:00', '09:10:00', '09:15:00', '09:20:00', '09:25:00', '09:30:00']","[[-31.167358, 150.38086], [-31.17627, 150.43347], [-31.239258, 150.39154], [-31.292969, 150.51794], [-31.310974, 150.52856], [-31.328918, 150.53912], [-31.355835, 150.54974], [-31.391724, 150.59204], [-31.418701, 150.59216], [-31.445618, 150.60278], [-31.463562, 150.6134]]",10567.0,-22.0,0.1166,2021-11-25 08:40:00
317,"[149.84638460465115, -31.46358836046513]",12.926,0.164,68.0,18.0,316.381,280.116,Jump_10,2.00838,11:10:00,69,"[150.1917, -31.0236]","[6.8125, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 2.8125, 'NaN', 'NaN']","[6.6375, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 2.8125, 'NaN', 'NaN']","['11:10:00', '11:15:00', '11:20:00', '11:25:00', '11:30:00', '11:35:00', '11:40:00', '11:45:00', '11:50:00', '11:55:00', '12:00:00']","[[-31.427856, 149.85443], 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', [-31.563171, 150.255], 'NaN', 'NaN']",10512.0,33.0,0.116,2021-11-25 11:10:00
327,"[149.85373405555552, -31.50301968518519]",10.985,0.142,52.0,2.0,211.931,26.623,Jump_11,2.02731,11:30:00,69,"[150.1917, -31.0236]","['NaN', 'NaN', 'NaN', 'NaN', 2.8125, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']","['NaN', 'NaN', 'NaN', 'NaN', 2.8125, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']","['11:30:00', '11:35:00', '11:40:00', '11:45:00', '11:50:00', '11:55:00', '12:00:00', '12:05:00', '12:10:00', '12:15:00', '12:20:00']","['NaN', 'NaN', 'NaN', 'NaN', [-31.563171, 150.255], 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']",10579.0,-34.0,0.1168,2021-11-25 11:30:00
567,"[149.99102554098357, -29.144405278688524]",3.968,2.467,122.0,0.0,475.464,0.0,Jump_0,11.40395,04:24:00,53,"[149.8461, -29.4903]","[7.9375, 'NaN', 'NaN', 'NaN', 2.8125, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']","[6.8625, 'NaN', 'NaN', 'NaN', 2.8125, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']","['04:26:00', '04:31:00', '04:36:00', '04:41:00', '04:46:00', '04:51:00', '04:56:00', '05:01:00', '05:06:00', '05:11:00']","[[-29.15747, 149.9903], 'NaN', 'NaN', 'NaN', [-28.779724, 149.66144], 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']",10839.0,-72.0,0.1196,2021-11-25 04:24:00
626,"[149.9209893285714, -31.085681528571417]",7.459,0.4,53.0,17.0,220.028,354.528,Jump_3,5.07392,06:58:00,69,"[150.1917, -31.0236]","[24.0, 26.0625, 5.4375, 10.6875, 4.3125, 8.625, 2.9375, 8.25, 12.75, 29.0625]","[15.375, 14.1375, 5.1375, 9.8375, 3.9875, 7.975, 2.9375, 5.3625, 10.875, 18.8]","['07:00:00', '07:05:00', '07:10:00', '07:15:00', '07:20:00', '07:25:00', '07:30:00', '07:35:00', '07:40:00', '07:45:00']","[[-31.131226, 149.91852], [-31.158264, 149.93945], [-31.17627, 149.93945], [-31.157166, 149.60321], [-31.17517, 149.61359], [-30.663818, 150.04535], [-31.329163, 149.97058], [-31.075317, 149.42517], [-31.26532, 149.65509], [-30.81659, 150.41162]]",10545.0,0.0,0.1164,2021-11-25 06:58:00
668,"[150.39685441747577, -31.05452222330096]",4.738,1.46,99.0,4.0,513.076,113.598,Jump_6,2.61104,08:22:00,69,"[150.1917, -31.0236]","[39.5625, 18.125, 14.875, 16.6875, 6.9375, 5.4375, 14.6875, 33.25, 25.25, 12.1875]","[23.65, 15.4625, 11.35, 12.7625, 6.2062, 4.525, 10.95, 24.075, 18.4375, 8.075]","['08:25:00', '08:30:00', '08:35:00', '08:40:00', '08:45:00', '08:50:00', '08:55:00', '09:00:00', '09:05:00', '09:10:00']","[[-31.06842, 150.39117], [-31.086487, 150.34924], [-31.131409, 150.3703], [-31.167358, 150.38086], [-31.17627, 150.43347], [-31.239258, 150.39154], [-31.292969, 150.51794], [-31.310974, 150.52856], [-31.328918, 150.53912], [-31.355835, 150.54974]]",10689.0,-144.0,0.118,2021-11-25 08:22:00
677,"[150.39364881502894, -31.164255138728343]",3.963,3.507,172.0,1.0,807.766,4.319,Jump_7,2.23334,08:40:00,69,"[150.1917, -31.0236]","[16.6875, 6.9375, 5.4375, 14.6875, 33.25, 25.25, 12.1875, 15.3125, 14.9375, 11.625, 10.375]","[12.7625, 6.2062, 4.525, 10.95, 24.075, 18.4375, 8.075, 12.9375, 13.7563, 9.5375, 9.0625]","['08:40:00', '08:45:00', '08:50:00', '08:55:00', '09:00:00', '09:05:00', '09:10:00', '09:15:00', '09:20:00', '09:25:00', '09:30:00']","[[-31.167358, 150.38086], [-31.17627, 150.43347], [-31.239258, 150.39154], [-31.292969, 150.51794], [-31.310974, 150.52856], [-31.328918, 150.53912], [-31.355835, 150.54974], [-31.391724, 150.59204], [-31.418701, 150.59216], [-31.445618, 150.60278], [-31.463562, 150.6134]]",10567.0,-22.0,0.1166,2021-11-25 08:40:00
752,"[149.84638460465115, -31.46358836046513]",12.926,0.164,68.0,18.0,316.381,280.116,Jump_10,2.00838,11:10:00,69,"[150.1917, -31.0236]","[6.8125, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 2.8125, 'NaN', 'NaN']","[6.6375, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 2.8125, 'NaN', 'NaN']","['11:10:00', '11:15:00', '11:20:00', '11:25:00', '11:30:00', '11:35:00', '11:40:00', '11:45:00', '11:50:00', '11:55:00', '12:00:00']","[[-31.427856, 149.85443], 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', [-31.563171, 150.255], 'NaN', 'NaN']",10512.0,33.0,0.116,2021-11-25 11:10:00
