Date,Lightning_Count
2022-01-01,993809
2022-01-02,1913381
2022-01-03,1634039
2022-01-04,1247192
2022-01-05,2536741
2022-01-06,3099595
2022-01-07,2506804
2022-01-08,1968795
2022-01-09,1677364
2022-01-10,2775321
2022-01-11,2705378
2022-01-12,2681993
2022-01-13,2680106
2022-01-14,2704446
2022-01-15,2861122
2022-01-16,2050602
2022-01-17,1656028
2022-01-18,2434347
2022-01-19,1215960
2022-01-20,1219465
2022-01-21,1078991
2022-01-22,1149342
2022-01-23,952831
2022-01-24,1083415
2022-01-25,1112351
2022-01-26,1911318
2022-01-27,2297217
2022-01-28,1858488
2022-01-29,1077184
2022-01-30,1296840
2022-01-31,1115964
2022-02-01,1092499
2022-02-02,979943
2022-02-03,1089436
2022-02-04,504420
2022-02-05,680765
2022-02-06,726887
2022-02-07,995086
2022-02-08,691544
2022-02-09,506327
2022-02-10,1129786
2022-02-11,2004854
2022-02-12,1407275
2022-02-13,1504255
2022-02-14,1519741
2022-02-15,670349
2022-02-16,792425
2022-02-17,1445938
2022-02-18,1167758
2022-02-19,1282065
2022-02-20,1653560
2022-02-21,1974292
2022-02-22,1567589
2022-02-23,982784
2022-02-24,1235713
2022-02-25,656054
2022-02-26,1465514
2022-02-27,1417548
2022-02-28,1698690
2022-03-01,1623969
2022-03-02,2093252
2022-03-03,1961770
2022-03-04,1713545
2022-03-05,1013886
2022-03-06,2407588
2022-03-07,1859328
2022-03-08,1825916
2022-03-09,1917895
2022-03-10,1568298
2022-03-11,1412656
2022-03-12,2449067
2022-03-13,1623236
2022-03-14,1268956
2022-03-15,1061413
2022-03-16,726475
2022-03-17,868177
2022-03-18,673752
2022-03-19,642871
2022-03-20,451643
2022-03-21,611254
2022-03-22,680096
2022-03-23,785099
2022-03-24,1301667
2022-03-25,974558
2022-03-26,2054165
2022-03-27,1228536
2022-03-28,1463553
2022-03-29,1240378
2022-03-30,985969
2022-03-31,592485
2022-04-01,424881
2022-04-02,462962
2022-04-03,816247
2022-04-04,431210
2022-04-05,357822
2022-04-06,347161
2022-04-07,235792
2022-04-08,180864
2022-04-09,429015
2022-04-10,188592
2022-04-11,707355
2022-04-12,569361
2022-04-13,500233
2022-04-14,610583
2022-04-15,406434
2022-04-16,374676
2022-04-17,308276
2022-04-18,412703
2022-04-19,503765
2022-04-20,335729
2022-04-21,214046
2022-04-22,226388
2022-04-23,298118
2022-04-24,259494
2022-04-25,303725
2022-04-26,486326
2022-04-27,498671
2022-04-28,674371
2022-04-29,511532
2022-04-30,305142
2022-05-01,267939
2022-05-02,223929
2022-05-03,329076
2022-05-04,385919
2022-05-05,221188
2022-05-06,168339
2022-05-07,218106
2022-05-08,312340
2022-05-09,430100
2022-05-10,488022
2022-05-11,432308
2022-05-12,316368
2022-05-13,226458
2022-05-14,321198
2022-05-15,297903
2022-05-16,546399
2022-05-17,635143
2022-05-18,696748
2022-05-19,367578
2022-05-20,203320
2022-05-21,333275
2022-05-22,552155
2022-05-23,934158
2022-05-24,689751
2022-05-25,483919
2022-05-26,582036
2022-05-27,627954
2022-05-28,438464
2022-05-29,404224
2022-05-30,966503
2022-05-31,328358
2022-06-01,291511
2022-06-02,306701
2022-06-03,605343
2022-06-04,550973
2022-06-05,594856
2022-06-06,395695
2022-06-07,440060
2022-06-08,736014
2022-06-09,538462
2022-06-10,467483
2022-06-11,434080
2022-06-12,382561
2022-06-13,456536
2022-06-14,402256
2022-06-15,598458
2022-06-16,1298890
2022-06-17,548989
2022-06-18,388787
2022-06-19,315284
2022-06-20,205456
2022-06-21,307598
2022-06-22,231785
2022-06-23,158661
2022-06-24,190903
2022-06-25,168608
2022-06-26,252162
2022-06-27,175504
2022-06-28,54160
2022-06-29,70826
2022-06-30,81866
2022-07-01,57196
2022-07-02,183475
2022-07-03,143061
2022-07-04,115134
2022-07-05,119629
2022-07-06,81925
2022-07-07,89197
2022-07-08,73369
2022-07-09,47677
2022-07-10,86039
2022-07-11,73978
2022-07-12,41667
2022-07-13,75326
2022-07-14,109396
2022-07-15,69567
2022-07-16,90974
2022-07-17,280050
2022-07-18,106844
2022-07-19,46352
2022-07-20,104449
2022-07-21,416147
2022-07-22,503246
2022-07-23,135700
2022-07-24,39910
2022-07-25,171130
2022-07-26,262643
2022-07-27,242131
2022-07-28,128847
2022-07-29,110339
2022-07-30,88307
2022-07-31,73701
2022-08-01,124144
2022-08-02,498296
2022-08-03,488316
2022-08-04,337778
2022-08-05,95885
2022-08-06,66416
2022-08-07,67453
2022-08-08,86082
2022-08-09,110096
2022-08-10,127677
2022-08-11,119396
2022-08-12,278533
2022-08-13,286636
2022-08-14,130877
2022-08-15,85424
2022-08-16,127636
2022-08-17,159267
2022-08-18,106143
2022-08-19,274527
2022-08-20,152434
2022-08-21,118483
2022-08-22,132129
2022-08-23,363090
2022-08-24,121534
2022-08-25,110608
2022-08-26,186227
2022-08-27,176669
2022-08-28,659526
2022-08-29,1206973
2022-08-30,401396
2022-08-31,290694
2022-09-01,275950
2022-09-02,263403
2022-09-03,271839
2022-09-04,357639
2022-09-05,219437
2022-09-06,271908
2022-09-07,699657
2022-09-08,864231
2022-09-09,561268
2022-09-10,559158
2022-09-11,346501
