Date,Lightning_Count
2020-01-01,1053425
2020-01-02,1534958
2020-01-03,755375
2020-01-04,587683
2020-01-05,520253
2020-01-06,432904
2020-01-07,888354
2020-01-08,580219
2020-01-09,954489
2020-01-10,596798
2020-01-11,642527
2020-01-12,1108831
2020-01-13,1144801
2020-01-14,1802280
2020-01-15,2397131
2020-01-16,2538490
2020-01-17,1972789
2020-01-18,1586125
2020-01-19,2147896
2020-01-20,2337848
2020-01-21,1096154
2020-01-22,921676
2020-01-23,1875780
2020-01-24,1541219
2020-01-25,1214308
2020-01-26,961627
2020-01-27,1048507
2020-01-28,778419
2020-01-29,741207
2020-01-30,568023
2020-01-31,682338
2020-02-01,591266
2020-02-02,534410
2020-02-03,828416
2020-02-04,739334
2020-02-05,1221082
2020-02-06,1622627
2020-02-07,1264142
2020-02-08,1143693
2020-02-09,1348777
2020-02-10,1231798
2020-02-11,1688441
2020-02-12,820848
2020-02-13,953035
2020-02-14,1159351
2020-02-15,1630906
2020-02-16,2027729
2020-02-17,2108302
2020-02-18,3003295
2020-02-19,1967772
2020-02-20,940960
2020-02-21,801803
2020-02-22,832877
2020-02-23,938973
2020-02-24,1197622
2020-02-25,1224367
2020-02-26,2193250
2020-02-27,1457927
2020-02-28,1219673
2020-02-29,1023852
2020-03-01,550510
2020-03-02,656476
2020-03-03,389117
2020-03-04,502185
2020-03-05,346737
2020-03-06,480290
2020-03-07,375589
2020-03-08,416058
2020-03-09,367997
2020-03-10,172688
2020-03-11,427455
2020-03-12,373643
2020-03-13,334835
2020-03-14,382823
2020-03-15,446283
2020-03-16,251650
2020-03-17,246238
2020-03-18,149103
2020-03-19,190341
2020-03-20,439164
2020-03-21,311674
2020-03-22,406818
2020-03-23,236284
2020-03-24,299639
2020-03-25,529790
2020-03-26,174801
2020-03-27,274856
2020-03-28,275480
2020-03-29,392965
2020-03-30,412232
2020-03-31,377547
2020-04-01,210239
2020-04-02,371798
2020-04-03,787701
2020-04-04,780958
2020-04-05,578426
2020-04-06,510630
2020-04-07,409376
2020-04-08,296020
2020-04-09,188478
2020-04-10,201003
2020-04-11,286835
2020-04-12,349530
2020-04-13,378159
2020-04-14,252190
2020-04-15,228497
2020-04-16,444686
2020-04-17,378470
2020-04-18,563764
2020-04-19,815572
2020-04-20,236586
2020-04-21,166790
2020-04-22,180979
2020-04-23,179050
2020-04-24,129593
2020-04-25,37892
2020-04-26,35297
2020-04-27,34691
2020-04-28,30549
2020-04-29,212589
2020-04-30,248115
2020-05-01,74259
2020-05-02,74085
2020-05-03,81268
2020-05-04,108907
2020-05-05,194746
2020-05-06,82341
2020-05-07,74139
2020-05-08,72943
2020-05-09,539467
2020-05-10,137398
2020-05-11,66183
2020-05-12,38252
2020-05-13,58746
2020-05-14,56663
2020-05-15,36773
2020-05-16,58754
2020-05-17,106363
2020-05-18,98673
2020-05-19,172981
2020-05-20,221942
2020-05-21,83091
2020-05-22,56540
2020-05-23,37004
2020-05-24,37005
2020-05-25,77477
2020-05-26,142280
2020-05-27,218475
2020-05-28,124073
2020-05-29,63030
2020-05-30,137160
2020-05-31,141366
2020-06-01,475568
2020-06-02,93362
2020-06-03,77329
2020-06-04,52255
2020-06-05,37137
2020-06-06,93119
2020-06-07,64237
2020-06-08,33305
2020-06-09,44985
2020-06-10,35002
2020-06-11,80479
2020-06-12,78900
2020-06-13,131362
2020-06-14,94138
2020-06-15,49548
2020-06-16,34006
2020-06-17,20042
2020-06-18,27039
2020-06-19,46411
2020-06-20,43111
2020-06-21,101216
2020-06-22,149064
2020-06-23,56683
2020-06-24,26752
2020-06-25,34862
2020-06-26,12067
2020-06-27,17928
2020-06-28,186357
2020-06-29,27944
2020-06-30,22584
2020-07-01,44200
2020-07-02,191649
2020-07-03,250661
2020-07-04,219869
2020-07-05,370458
2020-07-06,135298
2020-07-07,22747
2020-07-08,67882
2020-07-09,59272
2020-07-10,65848
