Date,Lightning_Count
2021-11-11,1239950
2021-11-12,956548
2021-11-13,879270
2021-11-14,583249
2021-11-15,583565
2021-11-16,535182
2021-11-17,646323
2021-11-18,729373
2021-11-19,638318
2021-11-20,1058295
2021-11-21,1458181
2021-11-22,1242807
2021-11-23,1162974
2021-11-24,1121883
2021-11-25,1416182
2021-11-26,880055
2021-11-27,653829
2021-11-28,794708
2021-11-29,1177130
2021-11-30,1254149
2021-12-01,1110884
2021-12-02,1176608
2021-12-03,1137807
2021-12-04,1873782
2021-12-05,1581853
2021-12-06,1763716
2021-12-07,2287184
2021-12-08,2521892
2021-12-09,1989246
2021-12-10,1678019
2021-12-11,844754
2021-12-12,785901
2021-12-13,832562
2021-12-14,1000798
2021-12-15,1375426
2021-12-16,1585411
2021-12-17,1666230
2021-12-18,2602629
2021-12-19,2528349
2021-12-20,1447368
2021-12-21,2249933
2021-12-22,2833626
2021-12-23,2775672
2021-12-24,2262395
2021-12-25,1955120
2021-12-26,1938459
2021-12-27,1730002
2021-12-28,1278220
2021-12-29,1137813
2021-12-30,1009407
2021-12-31,1067650
