0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
783,58,533,463,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603,57,419,572,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
735,79,445,697,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
789,109,957,957,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
785,96,496,496,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,99,389,389,175,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
863,116,568,568,176,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
811,96,413,413,141,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1033,83,445,445,133,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
911,123,382,382,129,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
923,161,423,423,117,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
880,174,358,358,119,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
824,192,192,192,132,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
785,155,155,155,102,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780,158,158,158,155,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
839,135,135,135,140,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
787,156,156,156,103,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
822,175,175,175,111,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
969,140,140,140,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
799,386,386,386,95,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
746,383,383,383,143,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
711,373,373,373,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
