0,1,2,3,4,5,6,7
441,0,0,0,0,0,0,0
531,0,0,0,0,0,0,0
608,0,0,0,0,0,0,0
701,0,0,0,0,0,0,0
681,0,0,0,0,0,0,0
626,0,0,0,0,0,0,0
575,0,0,0,0,0,0,0
693,0,0,0,0,0,0,0
748,0,0,0,0,0,0,0
868,0,0,0,0,0,0,0
832,0,0,0,0,0,0,0
677,0,0,0,0,0,0,0
576,0,0,0,0,0,0,0
605,0,0,0,0,0,0,0
553,0,0,0,0,0,0,0
439,0,0,0,0,0,0,0
351,0,0,0,0,0,0,0
401,0,0,0,0,0,0,0
354,0,0,0,0,0,0,0
319,0,0,0,0,0,0,0
344,0,0,0,0,0,0,0
404,0,0,0,0,0,0,0
527,0,0,0,0,0,0,0
563,0,0,0,0,0,0,0
554,0,0,0,0,0,0,0
506,0,0,0,0,0,0,0
604,0,0,0,0,0,0,0
560,0,0,0,0,0,0,0
570,0,0,0,0,0,0,0
606,0,0,0,0,0,0,0
533,0,0,0,0,0,0,0
499,0,0,0,0,0,0,0
412,0,0,0,0,0,0,0
391,0,0,0,0,0,0,0
506,0,0,0,0,0,0,0
460,0,0,0,0,0,0,0
409,0,0,0,0,0,0,0
294,0,0,0,0,0,0,0
276,0,0,0,0,0,0,0
202,0,0,0,0,0,0,0
222,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0
21,31,0,0,0,0,0,0
471,38,0,0,0,0,0,0
487,40,0,0,0,0,0,0
620,31,24,0,0,0,0,0
702,31,49,0,0,0,0,0
665,34,57,0,0,0,0,0
657,25,76,0,0,0,0,0
946,0,45,0,0,0,0,0
1040,0,30,0,0,0,0,0
1042,0,33,0,0,0,0,0
1126,22,26,0,0,0,0,0
1121,27,0,0,0,0,0,0
956,31,0,0,0,0,0,0
1078,26,21,0,0,0,0,0
963,0,62,0,0,0,0,0
817,22,90,0,0,0,0,0
716,48,81,0,0,0,0,0
495,43,171,0,0,0,0,0
499,0,143,0,0,0,0,0
366,0,147,0,0,0,0,0
365,0,110,0,0,0,0,0
305,0,120,0,0,0,0,0
253,0,171,0,0,0,0,0
301,0,166,0,0,0,0,0
224,0,138,0,0,0,0,0
216,0,168,0,0,0,0,0
141,0,180,0,0,0,0,0
119,0,218,0,0,0,0,0
84,0,235,0,0,0,0,0
54,0,212,0,0,0,0,0
25,0,243,0,0,0,0,0
26,0,297,0,0,0,0,0
23,0,270,0,0,0,0,0
35,0,283,0,0,0,0,0
24,0,260,0,0,0,0,0
532,0,290,0,0,0,0,0
649,0,299,0,0,0,0,0
679,0,292,0,0,0,0,0
726,0,255,0,0,0,0,0
553,0,233,0,0,0,0,0
482,0,231,0,0,0,0,0
534,0,170,0,0,0,0,0
473,0,125,0,0,0,0,0
453,0,84,0,0,0,0,0
325,0,93,0,0,0,0,0
396,0,149,0,0,0,0,0
270,0,127,0,0,0,0,0
154,0,117,0,0,0,0,0
111,0,119,0,0,0,0,0
181,0,83,0,0,0,0,0
247,0,33,0,0,0,0,0
232,0,31,0,0,0,0,0
183,0,35,0,0,0,0,0
147,0,147,0,0,0,0,0
169,0,169,0,0,0,0,0
189,0,189,0,0,0,0,0
153,0,153,0,0,0,0,0
145,0,145,0,0,0,0,0
170,0,170,0,0,0,0,0
106,0,106,0,0,0,0,0
60,0,60,0,0,0,0,0
42,0,42,0,0,0,0,0
32,0,32,0,0,0,0,0
32,0,32,0,0,0,0,0
46,0,46,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
20,0,20,0,0,0,0,0
29,0,29,0,0,0,0,0
30,0,30,0,0,0,0,0
31,0,31,0,0,0,0,0
98,0,98,0,0,0,0,0
145,0,145,0,0,0,0,0
139,0,139,0,0,0,0,0
115,0,115,0,0,0,0,0
119,0,119,0,0,0,0,0
99,0,99,22,0,0,0,0
95,0,95,88,0,0,0,0
117,0,117,76,22,0,0,0
109,0,109,64,29,0,0,0
128,0,128,55,36,0,0,0
136,0,136,43,68,0,0,0
89,0,89,43,70,25,0,0
135,0,135,28,95,24,0,0
130,0,130,25,170,37,0,0
65,0,65,40,185,61,0,0
38,0,38,62,229,88,0,0
34,0,34,56,347,93,0,0
43,0,43,82,327,80,0,0
63,0,63,153,315,101,0,0
116,0,116,174,281,88,0,0
153,0,153,102,237,84,0,0
160,0,160,85,211,86,0,0
90,0,90,124,188,80,0,0
92,0,92,113,243,87,0,0
117,0,117,166,278,95,0,0
162,0,162,163,346,105,0,0
145,0,145,121,432,128,0,0
165,0,165,92,453,111,0,0
149,0,149,112,400,122,0,0
124,0,124,82,663,140,0,0
78,0,78,101,760,161,0,0
75,0,75,111,773,159,0,0
73,0,73,145,768,119,0,0
64,0,64,119,840,139,0,0
86,0,86,106,884,185,0,0
101,0,101,113,951,179,0,0
84,0,84,103,1127,153,0,0
94,0,94,178,1358,166,0,0
63,0,63,218,1184,175,0,0
54,0,54,153,1287,247,0,0
59,0,59,206,1306,238,0,0
45,0,45,189,1247,276,0,0
61,0,61,218,1137,203,0,0
62,0,62,269,1077,205,0,0
37,0,37,297,874,181,0,0
71,0,71,220,759,177,0,0
77,0,77,255,656,119,21,0
106,0,106,215,556,115,22,0
115,0,115,204,519,183,22,0
155,0,155,225,475,202,32,0
131,0,131,170,500,255,32,0
100,0,100,156,288,277,46,0
106,0,106,234,420,317,28,0
71,0,71,272,456,249,29,0
89,0,89,183,303,222,24,0
150,0,150,134,448,166,26,0
213,0,213,166,280,166,0,0
324,0,324,211,265,138,0,0
328,0,328,245,313,87,0,0
306,0,306,269,327,112,23,0
346,0,346,277,431,92,0,0
390,0,390,316,534,83,0,0
364,0,364,364,594,119,0,0
330,0,330,272,685,152,0,0
267,0,267,188,857,115,0,0
193,0,193,194,899,184,0,0
209,0,209,227,1058,195,0,0
229,0,229,280,1032,199,0,0
215,0,215,300,950,169,0,0
224,0,224,228,902,172,0,0
213,0,213,273,860,133,0,20
475,0,475,475,945,195,0,386
353,0,353,353,935,180,0,382
413,0,413,413,942,131,22,440
390,0,390,390,837,92,27,455
451,0,451,451,941,64,0,453
354,0,354,354,834,59,0,446
358,0,358,358,851,70,0,393
378,0,378,378,843,72,0,432
296,0,296,296,742,71,428,428
259,0,259,259,644,61,533,533
323,0,323,323,541,59,643,643
359,0,359,359,496,65,654,654
501,0,501,501,426,57,714,714
516,0,516,516,308,60,611,611
657,0,657,657,241,54,224,224
698,0,698,698,202,54,534,534
874,0,874,874,215,59,244,244
854,0,854,854,180,31,247,247
910,0,910,910,207,40,224,224
755,0,755,755,207,44,480,480
694,0,694,694,234,31,294,294
531,0,531,531,263,37,374,374
415,0,415,415,261,45,695,695
428,0,428,428,115,35,660,660
365,0,365,365,162,49,736,736
397,0,397,397,145,54,757,757
362,0,362,362,93,43,826,826
337,0,337,337,74,44,825,825
354,0,354,354,50,35,752,752
394,0,394,394,48,46,795,795
360,0,360,360,97,50,1216,1216
362,0,362,362,76,36,654,654
392,0,392,392,90,41,527,527
374,0,374,374,65,55,450,450
401,0,401,401,119,51,377,377
358,0,358,358,138,31,320,320
272,0,272,272,120,31,312,312
301,0,301,301,123,0,318,318
124,0,124,124,117,0,325,325
94,0,94,94,74,0,365,365
84,0,84,84,82,0,321,321
64,0,64,64,83,0,373,373
67,0,67,67,81,0,349,349
51,0,51,51,88,0,346,346
54,0,54,54,71,0,363,363
75,0,75,75,74,0,360,360
59,0,59,59,43,0,432,432
59,0,59,59,39,0,340,340
74,0,74,74,23,0,334,334
62,0,62,62,44,0,365,365
52,0,52,52,35,0,393,393
51,0,51,51,38,0,364,364
38,0,38,38,28,0,1663,1663
32,0,32,32,42,0,1209,1209
53,0,53,53,32,0,1090,1090
49,0,49,49,24,0,1310,1310
56,0,56,56,31,0,1625,1625
43,0,43,43,42,0,1610,1610
37,0,37,37,31,0,1403,1403
26,0,26,26,61,0,1454,1454
22,0,22,22,34,0,1340,1340
22,0,22,22,21,0,1278,1278
29,0,29,29,23,0,1203,1203
35,0,35,35,34,0,1046,1046
52,0,52,52,27,0,953,953
51,0,51,51,46,0,859,859
42,0,42,42,74,0,857,857
49,0,49,49,68,0,810,810
76,0,76,76,25,0,782,782
75,0,75,75,24,0,775,775
77,0,77,77,27,0,816,816
75,0,75,75,21,0,847,847
60,0,60,60,255,0,903,903
47,0,47,47,238,0,898,898
45,0,45,45,263,0,780,780
50,0,50,50,291,0,653,653
26,0,26,26,305,0,629,629
33,0,33,33,339,0,648,648
27,0,27,27,378,0,688,688
44,0,44,44,486,0,568,568
44,0,44,44,478,0,556,556
30,0,30,30,597,0,506,506
30,0,30,30,733,0,424,424
22,0,22,22,590,0,422,422
0,0,0,0,448,0,494,494
29,0,29,29,511,0,507,507
28,0,28,28,633,0,633,633
25,0,25,25,526,0,698,698
0,0,0,0,457,0,721,721
0,0,0,0,544,0,797,797
0,0,0,0,593,0,724,724
22,0,22,22,658,0,718,718
0,0,0,0,507,0,745,745
0,0,0,0,464,0,656,656
0,0,0,0,416,0,734,734
0,0,0,0,434,0,719,719
0,0,0,0,414,0,707,707
0,0,0,0,366,0,615,615
25,0,25,25,354,0,585,585
0,0,0,0,344,0,570,570
22,0,22,22,298,0,563,563
30,0,30,30,359,0,523,523
32,0,32,32,339,0,441,441
23,0,23,23,370,0,435,435
39,0,39,39,339,0,408,408
28,0,28,28,281,0,370,370
22,0,22,22,198,0,365,365
37,0,37,37,220,0,345,345
29,0,29,29,138,0,349,349
125,0,125,125,125,0,283,283
165,0,165,165,165,0,283,283
149,0,149,149,149,0,288,288
123,0,123,123,123,0,270,270
92,0,92,92,92,0,302,302
70,0,70,70,70,0,244,244
61,0,61,61,61,0,225,225
29,0,29,29,29,0,196,196
47,0,47,47,47,0,175,175
76,0,76,76,76,0,157,157
79,0,79,79,79,0,110,110
82,0,82,82,82,0,112,112
87,0,87,87,87,0,166,166
78,0,78,78,78,0,87,87
0,0,0,0,0,0,105,105
27,0,27,27,27,0,66,66
0,0,0,0,0,0,55,55
0,0,0,0,0,0,34,34
0,0,0,0,0,0,31,31
0,0,0,0,0,0,33,33
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,23,23
0,0,0,0,0,0,32,32
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,32,32
0,0,0,0,0,0,37,37
0,0,0,0,0,0,30,30
0,0,0,0,0,0,21,21
0,0,0,0,0,0,35,35
0,0,0,0,0,0,25,25
0,0,0,0,0,0,21,21
0,0,0,0,0,0,29,29
0,0,0,0,0,0,30,30
0,0,0,0,0,0,32,32
0,0,0,0,0,0,0,0
0,0,0,0,0,0,33,33
0,0,0,0,0,0,30,30
0,0,0,0,0,0,32,32
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,24,24
0,0,0,0,0,0,0,0
0,0,0,0,0,0,25,25
0,0,0,0,0,0,41,41
0,0,0,0,0,0,24,24
0,0,0,0,0,0,24,24
0,0,0,0,0,0,37,37
0,0,0,0,0,0,34,34
0,0,0,0,0,0,21,21
0,0,0,0,0,0,27,27
