0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,22,0,0,0,0,0,0,0,0
0,20,0,0,0,0,0,0,0,0
0,22,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,24,0,0,0,0,0,0,0,0
0,26,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,20,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,23,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,25,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
56,56,0,0,0,0,0,0,0,0
29,29,0,0,0,0,0,0,0,0
34,34,0,0,0,0,0,0,0,0
65,65,0,0,0,0,0,0,0,0
73,73,0,0,0,0,0,0,0,0
126,126,0,0,0,0,0,0,0,0
117,117,0,0,0,0,0,0,0,0
74,74,0,0,0,0,0,0,0,0
81,81,0,0,0,0,0,0,0,0
85,85,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
24,24,0,0,0,0,0,0,0,0
43,43,0,0,0,0,0,0,0,0
41,41,0,0,0,0,0,0,0,0
52,52,0,0,0,0,0,0,0,0
89,89,20,0,0,0,0,0,0,0
78,78,0,0,0,0,0,0,0,0
76,76,0,0,0,0,0,0,0,0
57,57,0,0,0,0,0,0,0,0
110,110,0,0,0,0,0,0,0,0
104,104,0,0,0,0,0,0,0,0
113,113,0,0,0,0,0,0,0,0
161,161,0,0,0,0,0,0,0,0
107,107,0,0,0,0,0,0,0,0
84,84,0,0,0,0,0,0,0,0
42,42,0,0,0,0,0,0,0,0
75,75,0,0,0,0,0,0,0,0
85,85,0,0,0,0,0,0,0,0
48,48,0,0,0,0,0,0,0,0
82,82,0,0,0,0,0,0,0,0
99,99,0,0,0,0,0,0,0,0
126,126,0,0,0,0,0,0,0,0
83,83,0,0,0,0,0,0,0,0
136,136,0,0,0,0,0,0,0,0
73,73,0,0,0,0,0,0,0,0
177,177,0,0,0,0,0,0,0,0
200,200,0,0,0,0,0,0,0,0
