0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,92,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,78,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,61,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,65,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,25,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,86,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,74,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,147,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,104,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,86,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,112,112,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,104,104,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,134,134,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,136,136,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,116,116,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,154,154,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,135,135,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,108,108,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,146,146,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,130,130,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,100,100,46,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,134,134,42,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,144,144,48,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,203,203,55,32,28,0,0,0,0,0,0,0,0,0,0,0,0,0
89,140,140,48,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
123,157,157,74,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
124,90,90,113,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
129,69,69,129,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0
139,74,74,107,29,34,0,0,0,0,0,0,0,0,0,0,0,0,0
134,81,81,56,26,43,0,0,0,0,0,0,0,0,0,0,0,0,0
85,67,67,57,34,60,0,0,0,0,0,0,0,0,0,0,0,0,0
76,21,21,74,26,42,0,0,0,0,0,0,0,0,0,0,0,0,0
56,45,45,77,20,26,0,0,0,0,0,0,0,0,0,0,0,0,0
77,31,31,69,43,53,0,0,0,0,0,0,0,0,0,0,0,0,0
81,42,42,74,20,34,0,0,0,0,0,0,0,0,0,0,0,0,0
43,41,41,105,35,61,0,0,0,0,0,0,0,0,0,0,0,0,0
32,58,58,46,28,49,0,0,0,0,0,0,0,0,0,0,0,0,0
55,70,70,62,44,65,0,0,0,0,0,0,0,0,0,0,0,0,0
29,85,85,63,32,119,0,0,0,0,0,0,0,0,0,0,0,0,0
21,99,99,98,48,101,0,0,0,0,0,0,0,0,0,0,0,0,0
0,148,148,52,42,106,0,0,0,0,0,0,0,0,0,0,0,0,0
37,176,176,25,107,73,0,0,0,0,0,0,0,0,0,0,0,0,0
0,154,154,75,123,60,0,0,0,0,0,0,0,0,0,0,0,0,0
0,138,138,74,187,37,0,0,0,0,0,0,0,0,0,0,0,0,0
0,160,160,51,261,58,0,0,0,0,0,0,0,0,0,0,0,0,0
0,118,118,78,292,159,0,0,0,0,0,0,0,0,0,0,0,0,0
0,92,92,51,441,157,0,0,0,0,0,0,0,0,0,0,0,0,0
0,63,63,53,419,202,0,0,0,0,0,0,0,0,0,0,0,0,0
0,78,78,37,444,206,0,0,0,0,0,0,0,0,0,0,0,0,0
0,81,81,51,613,117,0,0,0,0,0,0,0,0,0,0,0,0,0
0,85,85,43,611,87,0,0,0,0,0,0,0,0,0,0,0,0,0
0,70,70,59,702,53,0,0,0,0,0,0,0,0,0,0,0,0,0
0,43,43,0,603,50,0,0,0,0,0,0,0,0,0,0,0,0,0
0,32,32,0,560,22,0,0,0,0,0,0,0,0,0,0,0,0,0
0,27,27,25,469,32,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,449,35,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,400,28,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,290,362,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,123,169,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,172,168,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,185,131,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,25,180,137,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,35,211,152,0,0,0,0,0,0,0,0,0,0,0,0,0
0,22,22,22,284,106,0,0,0,0,0,0,0,0,0,0,0,0,0
0,22,22,22,299,90,0,0,0,0,0,0,0,0,0,0,0,0,0
0,22,22,22,407,70,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,395,58,0,0,0,0,0,0,0,0,0,0,0,0,0
0,40,40,40,369,33,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50,50,50,280,280,0,0,0,0,0,0,0,0,0,0,0,0,0
0,73,73,73,312,312,0,0,0,0,0,0,0,0,0,0,0,0,0
0,94,94,94,301,301,0,0,0,0,0,0,0,0,0,0,0,0,0
0,81,81,81,302,302,28,0,0,0,0,0,0,0,0,0,0,0,0
0,56,56,56,153,153,0,0,0,0,0,0,0,0,0,0,0,0,0
0,83,83,83,114,114,28,0,0,0,0,0,0,0,0,0,0,0,0
0,86,86,86,97,97,24,0,0,0,0,0,0,0,0,0,0,0,0
0,90,90,90,75,75,25,0,0,0,0,0,0,0,0,0,0,0,0
0,84,84,84,83,83,21,0,0,0,0,0,0,0,0,0,0,0,0
0,137,137,137,82,82,0,0,0,0,0,0,0,0,0,0,0,0,0
0,120,120,120,129,129,0,0,0,0,0,0,0,0,0,0,0,0,0
0,67,67,67,118,118,47,0,0,0,0,0,0,0,0,0,0,0,0
186,49,49,49,186,186,39,0,0,0,0,0,0,0,0,0,0,0,0
191,54,54,54,191,191,51,0,0,0,0,0,0,0,0,0,0,0,0
218,48,48,48,218,218,23,0,0,0,0,0,0,0,0,0,0,0,0
205,39,39,39,205,205,21,0,0,0,0,0,0,0,0,0,0,0,0
182,39,39,39,182,182,0,0,0,0,0,0,0,0,0,0,0,0,0
153,57,57,57,153,153,0,0,0,0,0,0,0,0,0,0,0,0,0
140,39,39,39,140,140,0,0,0,0,0,0,0,0,0,0,0,0,0
166,25,25,25,166,166,0,0,0,0,0,0,0,0,0,0,0,0,0
179,53,53,53,179,179,0,0,0,0,0,0,0,0,0,0,0,0,0
229,0,0,0,229,229,0,0,0,0,0,0,0,0,0,0,0,0,0
238,0,0,0,238,238,0,0,0,0,0,0,0,0,0,0,0,0,0
182,0,0,0,182,182,0,0,0,0,0,0,0,0,0,0,0,0,0
220,32,32,32,220,220,0,0,0,0,0,0,0,0,0,0,0,0,0
305,0,0,0,305,305,0,0,0,0,0,0,0,0,0,0,0,0,0
290,0,0,0,290,290,0,61,0,0,0,0,0,0,0,0,0,0,0
205,0,0,0,205,205,21,88,0,0,0,0,0,0,0,0,0,0,0
194,33,33,33,194,194,0,100,0,0,0,0,0,0,0,0,0,0,0
139,0,0,0,139,139,0,107,0,0,0,0,0,0,0,0,0,0,0
160,23,23,23,160,160,0,167,0,0,0,0,0,0,0,0,0,0,0
170,31,31,31,170,170,23,160,0,0,0,0,0,0,0,0,0,0,0
148,0,0,0,148,148,26,183,0,0,0,0,0,0,0,0,0,0,0
151,21,21,21,151,151,0,195,0,0,0,0,0,0,0,0,0,0,0
136,26,26,26,136,136,0,187,0,0,0,0,0,0,0,0,0,0,0
177,0,0,0,177,177,0,270,0,0,0,0,0,0,0,0,0,0,0
145,23,23,23,145,145,0,286,0,0,0,0,0,0,0,0,0,0,0
172,0,0,0,172,172,0,272,0,0,0,0,0,0,0,0,0,0,0
143,0,0,0,143,143,0,281,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,120,120,0,251,0,0,0,0,0,0,0,0,0,0,0
148,23,23,23,148,148,0,213,0,0,0,0,0,0,0,0,0,0,0
115,0,0,0,115,115,0,215,23,0,0,0,0,0,0,0,0,0,0
149,0,0,0,149,149,0,210,25,0,0,0,0,0,0,0,0,0,0
119,0,0,0,119,119,0,210,0,0,0,0,0,0,0,0,0,0,0
123,0,0,0,123,123,0,230,26,0,0,0,0,0,0,0,0,0,0
119,0,0,0,119,119,30,208,21,0,0,0,0,0,0,0,0,0,0
97,21,21,21,97,97,28,230,0,0,0,0,0,0,0,0,0,0,0
95,0,0,0,95,95,28,240,20,0,0,0,0,0,0,0,0,0,0
51,0,0,0,51,51,44,220,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,53,53,30,174,27,0,0,0,0,0,0,0,0,0,0
43,0,0,0,43,43,34,244,25,0,0,0,0,0,0,0,0,0,0
39,0,0,0,39,39,36,219,39,0,0,0,0,0,0,0,0,0,0
25,0,0,0,25,25,20,230,43,0,0,0,0,0,0,0,0,0,0
22,20,20,20,22,22,20,171,36,0,0,0,0,0,0,0,0,0,0
27,21,21,21,27,27,0,234,42,0,0,0,0,0,0,0,0,0,0
68,0,0,0,68,68,30,261,21,0,0,0,0,0,0,0,0,0,0
48,43,43,43,48,48,54,219,30,0,0,0,0,0,0,0,0,0,0
49,28,28,28,49,49,78,191,43,0,0,0,0,0,0,0,0,0,0
53,21,21,21,53,53,72,163,24,0,0,0,0,0,0,0,0,0,0
35,26,26,26,35,35,90,107,30,0,0,0,0,0,0,0,0,0,0
122,25,25,25,122,122,55,97,31,0,0,0,0,0,0,0,0,0,0
136,0,0,0,136,136,75,50,20,0,0,0,0,0,0,0,0,0,0
110,34,34,34,110,110,58,48,48,0,0,0,0,0,0,0,0,0,0
206,30,30,30,206,206,87,46,46,0,0,0,0,0,0,0,0,0,0
183,20,20,20,183,183,62,26,26,23,0,0,0,0,0,0,0,0,0
174,21,21,21,174,174,51,22,22,0,0,0,0,0,0,0,0,0,0
194,0,0,0,194,194,24,194,194,23,0,0,0,0,0,0,0,0,0
205,26,26,26,205,205,36,205,205,45,0,0,0,0,0,0,0,0,0
224,0,0,0,224,224,22,224,224,20,0,0,0,0,0,0,0,0,0
234,0,0,0,234,234,0,234,234,0,0,0,0,0,0,0,0,0,0
195,0,0,0,195,195,0,195,195,0,0,0,0,0,0,0,0,0,0
139,0,0,0,139,139,0,139,139,0,0,0,0,0,0,0,0,0,0
119,0,0,0,119,119,0,119,119,0,25,0,0,0,0,0,0,0,0
72,0,0,0,72,72,0,72,72,0,0,0,0,0,0,0,0,0,0
50,0,0,0,50,50,0,50,50,0,0,0,0,0,0,0,0,0,0
22,0,0,0,22,22,0,22,22,0,0,0,0,0,0,0,0,0,0
30,0,0,0,30,30,0,30,30,22,0,0,0,0,0,0,0,0,0
30,0,0,0,30,30,0,30,30,26,0,0,0,0,0,0,0,0,0
60,0,0,0,60,60,0,60,60,32,0,0,0,0,0,0,0,0,0
52,0,0,0,52,52,0,52,52,35,0,0,0,0,0,0,0,0,0
68,0,0,0,68,68,0,68,68,146,0,0,0,0,0,0,0,0,0
73,0,0,0,73,73,0,73,73,120,0,0,0,0,0,0,0,0,0
43,0,0,0,43,43,0,43,43,119,0,0,0,0,0,0,0,0,0
77,0,0,0,77,77,26,77,77,134,0,0,0,0,0,0,0,0,0
69,0,0,0,69,69,56,69,69,153,0,0,0,0,0,0,0,0,0
50,0,0,0,50,50,95,50,50,178,0,0,0,0,0,0,0,0,0
57,0,0,0,57,57,139,57,57,173,0,0,0,0,0,0,0,0,0
63,0,0,0,63,63,92,63,63,167,0,69,0,0,0,0,0,0,0
119,0,0,0,119,119,95,119,119,171,0,105,0,0,0,0,0,0,0
166,0,0,0,166,166,82,166,166,229,0,93,0,0,0,0,0,0,0
130,0,0,0,130,130,78,130,130,260,0,89,0,0,0,0,0,0,0
63,0,0,0,63,63,90,63,63,309,0,79,0,0,0,0,0,0,0
