0,1,2,3,4,5,6,7,8,9
81,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0
107,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0
91,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0,0,0
163,21,0,0,0,0,0,0,0,0
156,0,0,0,0,0,0,0,0,0
107,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0
75,36,0,0,0,0,0,0,0,0
120,69,0,0,0,0,0,0,0,0
135,125,0,0,0,0,0,0,0,0
108,151,0,0,0,0,0,0,0,0
141,117,0,0,0,0,0,0,0,0
112,81,0,0,0,0,0,0,0,0
77,86,0,0,0,0,0,0,0,0
78,114,0,0,0,0,0,0,0,0
86,79,0,0,0,0,0,0,0,0
59,100,0,0,0,0,0,0,0,0
51,100,0,0,0,0,0,0,0,0
54,87,0,0,0,0,0,0,0,0
26,75,0,0,0,0,0,0,0,0
37,82,0,0,0,0,0,0,0,0
0,51,0,0,0,0,0,0,0,0
50,70,0,0,0,0,0,0,0,0
0,43,0,0,0,0,0,0,0,0
0,21,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,20,0,0,0,0,0,0,0,0
0,60,0,0,0,0,0,0,0,0
0,92,0,0,0,0,0,0,0,0
22,178,0,0,0,0,0,0,0,0
0,162,0,0,0,0,0,0,0,0
0,148,0,0,0,0,0,0,0,0
0,95,0,0,0,0,0,0,0,0
0,74,0,0,0,0,0,0,0,0
0,48,0,0,0,0,0,0,0,0
0,30,0,0,0,0,0,0,0,0
0,23,0,0,0,0,0,0,0,0
0,38,0,0,0,0,0,0,0,0
0,41,0,0,0,0,0,0,0,0
0,36,0,0,0,0,0,0,0,0
0,75,0,0,0,0,0,0,0,0
0,51,0,0,0,0,0,0,0,0
0,51,0,0,0,0,0,0,0,0
0,28,0,0,0,0,0,0,0,0
0,24,0,0,0,0,0,0,0,0
0,39,0,0,0,0,0,0,0,0
0,29,0,0,0,0,0,0,0,0
0,36,0,0,0,0,0,0,0,0
0,63,0,0,0,0,0,0,0,0
0,62,0,0,0,0,0,0,0,0
0,100,0,0,0,0,0,0,0,0
0,164,0,0,0,0,0,0,0,0
0,186,25,0,0,0,0,0,0,0
0,175,0,0,0,0,0,0,0,0
0,170,0,0,0,0,0,0,0,0
0,156,22,0,0,0,0,0,0,0
0,138,0,0,0,0,0,0,0,0
0,104,0,0,0,0,0,0,0,0
0,127,0,0,0,0,0,0,0,0
0,73,0,0,0,0,0,0,0,0
0,70,0,0,0,0,0,0,0,0
0,107,0,0,0,0,0,0,0,0
38,108,0,0,0,0,0,0,0,0
0,105,0,0,0,0,0,0,0,0
0,98,0,0,0,0,0,0,0,0
0,148,0,0,0,0,0,0,0,0
31,135,0,0,0,0,0,0,0,0
42,155,0,0,0,0,0,0,0,0
0,93,0,0,0,0,0,0,0,0
0,150,0,0,0,0,0,0,0,0
30,160,0,0,0,0,0,0,0,0
25,133,0,0,0,0,0,0,0,0
0,87,0,0,0,0,0,0,0,0
34,170,0,0,0,0,0,0,0,0
25,149,0,0,0,0,0,0,0,0
25,93,0,26,0,0,0,0,0,0
0,178,21,29,0,0,0,0,0,0
23,104,0,42,0,0,0,0,0,0
28,238,0,39,0,0,0,0,0,0
30,185,0,54,0,0,0,0,0,0
57,185,23,76,25,0,0,0,0,0
71,167,26,77,44,0,0,0,0,0
97,155,26,86,60,0,0,0,0,0
132,146,32,87,65,0,0,0,0,0
116,142,22,88,89,0,0,0,0,0
118,93,28,68,112,0,0,0,0,0
67,130,38,75,112,0,0,0,0,0
84,104,31,65,140,0,0,0,0,0
58,115,56,68,108,0,0,0,0,0
74,88,51,79,118,0,0,0,0,0
34,62,54,29,86,0,0,0,0,0
37,44,59,30,85,0,0,0,0,0
49,51,41,23,115,0,0,0,0,0
26,36,48,28,150,20,0,0,0,0
46,54,28,29,122,29,0,0,0,0
23,63,50,25,140,33,0,0,0,0
0,77,25,59,191,44,22,0,0,0
22,61,46,89,148,51,0,0,0,0
41,22,91,111,147,31,0,0,0,0
41,50,78,126,121,46,0,0,0,0
46,34,60,112,198,65,0,0,0,0
32,28,46,84,174,36,0,0,0,0
40,28,78,92,199,52,0,0,0,0
0,29,44,72,227,73,0,0,0,0
28,27,44,80,192,87,0,0,0,0
0,38,47,74,176,62,0,0,0,0
0,42,40,92,144,69,0,0,0,0
0,46,56,75,136,74,0,0,0,0
0,22,79,122,137,90,0,0,0,0
0,24,55,187,136,92,0,0,0,0
0,95,54,171,117,80,0,0,0,0
0,44,20,161,135,118,0,0,0,0
0,63,42,258,52,66,24,0,0,0
0,39,37,313,49,103,0,0,0,0
0,55,30,295,35,83,0,0,0,0
0,58,21,265,26,77,0,0,0,0
0,41,0,279,22,55,0,0,0,0
0,46,21,276,0,47,0,0,0,0
0,53,0,250,0,59,0,0,0,0
0,35,23,255,0,47,0,0,0,0
0,46,45,249,0,53,0,0,0,0
0,28,45,243,0,31,0,0,0,0
0,39,70,239,0,45,0,0,0,0
0,82,82,223,22,43,0,0,0,0
0,91,91,166,0,39,0,0,0,0
0,93,93,150,43,35,0,0,0,0
0,65,65,146,82,25,0,0,0,0
0,95,95,163,93,24,0,0,0,0
0,84,84,143,96,31,0,0,0,0
0,69,69,115,135,33,0,0,0,0
0,73,73,144,54,23,0,0,0,0
0,131,131,119,89,20,0,0,0,0
0,128,128,127,110,24,0,0,0,0
0,131,131,179,63,25,0,0,0,0
0,172,172,184,31,27,0,0,0,0
0,149,149,185,34,0,0,0,0,0
0,131,131,190,0,21,21,0,0,0
0,144,144,153,28,23,23,0,0,0
0,102,102,153,0,0,0,0,0,0
0,123,123,164,0,29,29,0,0,0
0,89,89,190,0,0,0,0,0,0
0,127,127,289,0,0,0,0,0,0
0,106,106,250,0,0,0,0,0,0
0,115,115,279,0,0,0,0,0,0
0,94,94,305,0,0,0,0,0,0
0,102,102,295,0,0,0,0,0,0
