0,1,2,3,4
597,0,0,0,0
525,241,0,0,0
589,263,0,0,0
609,203,0,0,0
565,246,0,0,0
507,222,0,0,0
604,211,0,0,0
532,221,0,0,0
838,838,0,0,0
487,487,0,0,0
412,412,347,0,0
480,480,401,0,0
392,392,369,0,0
291,291,461,0,0
360,360,411,0,0
286,286,412,0,0
254,254,375,0,0
274,274,386,0,0
192,192,395,0,0
302,302,438,0,0
391,391,373,0,0
147,147,421,0,0
221,221,401,0,0
129,129,360,0,0
25,25,460,0,0
99,99,332,0,0
49,49,327,0,0
59,59,350,0,0
71,71,335,0,0
45,45,264,0,0
72,72,283,0,0
86,86,340,0,0
66,66,258,0,0
59,59,205,0,0
66,66,273,0,0
75,75,298,0,0
59,59,301,0,0
108,108,328,0,0
69,69,250,0,0
61,61,265,0,0
41,41,301,0,0
47,47,313,0,0
45,45,257,0,0
34,34,230,0,0
21,21,272,0,0
33,33,275,0,0
247,247,247,0,0
239,239,239,0,0
218,218,218,0,0
254,254,254,0,0
176,176,176,0,0
137,137,137,0,0
201,201,201,0,0
158,158,158,0,0
96,96,96,0,0
174,174,174,0,0
116,116,116,0,0
67,67,67,0,0
150,150,150,0,0
36,36,36,0,0
45,45,45,0,0
58,58,58,0,0
121,121,121,0,0
126,126,126,0,0
63,63,63,0,0
52,52,52,0,0
50,50,50,0,0
22,22,22,0,0
28,28,28,0,0
21,21,21,0,0
35,35,35,0,0
39,39,39,0,0
27,27,27,0,0
0,0,0,0,0
43,43,43,0,0
44,44,44,0,0
43,43,43,0,0
40,40,40,0,0
39,39,39,0,0
0,0,0,0,0
22,22,22,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
22,22,22,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
20,20,20,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
20,20,20,0,0
20,20,20,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
