0,1,2,3,4,5,6,7,8,9
441,0,0,0,0,0,0,0,0,0
531,0,0,0,0,0,0,0,0,0
608,0,0,0,0,0,0,0,0,0
701,0,0,0,0,0,0,0,0,0
681,0,0,0,0,0,0,0,0,0
626,0,0,0,0,0,0,0,0,0
575,0,0,0,0,0,0,0,0,0
811,0,0,0,0,0,0,0,0,0
748,0,0,0,0,0,0,0,0,0
868,0,0,0,0,0,0,0,0,0
832,0,0,0,0,0,0,0,0,0
677,0,0,0,0,0,0,0,0,0
576,0,0,0,0,0,0,0,0,0
605,0,0,0,0,0,0,0,0,0
553,0,0,0,0,0,0,0,0,0
439,0,0,0,0,0,0,0,0,0
351,0,0,0,0,0,0,0,0,0
734,0,0,0,0,0,0,0,0,0
354,0,0,0,0,0,0,0,0,0
319,0,0,0,0,0,0,0,0,0
858,0,0,0,0,0,0,0,0,0
886,0,0,0,0,0,0,0,0,0
1002,0,0,0,0,0,0,0,0,0
563,0,0,0,0,0,0,0,0,0
976,0,0,0,0,0,0,0,0,0
888,0,0,0,0,0,0,0,0,0
1116,0,0,0,0,0,0,0,0,0
1018,0,0,0,0,0,0,0,0,0
1046,0,0,0,0,0,0,0,0,0
1193,0,0,0,0,0,0,0,0,0
1061,0,0,0,0,0,0,0,0,0
548,0,0,0,0,0,0,0,0,0
1067,0,0,0,0,0,0,0,0,0
1028,0,0,0,0,0,0,0,0,0
1059,0,0,0,0,0,0,0,0,0
941,0,0,0,0,0,0,0,0,0
854,0,0,0,0,0,0,0,0,0
822,0,0,0,0,0,0,0,0,0
643,0,0,0,0,0,0,0,0,0
546,0,0,0,0,0,0,0,0,0
556,0,0,0,0,0,0,0,0,0
237,0,0,0,0,0,0,0,0,0
227,0,0,0,0,0,0,0,0,0
307,0,0,0,0,0,0,0,0,0
437,31,0,0,0,0,0,0,0,0
502,38,0,0,0,0,0,0,0,0
506,41,0,0,0,0,0,0,0,0
620,31,24,0,0,0,0,0,0,0
703,31,49,0,0,0,0,0,0,0
665,34,57,0,0,0,0,0,0,0
