0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
877,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
643,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
791,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
573,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,470,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455,552,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
421,486,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,522,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,501,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,500,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,521,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,619,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,574,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,582,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,565,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,606,32,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,559,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,628,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,533,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,534,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,549,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,625,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,616,616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,571,571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,510,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,584,584,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,561,561,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,571,571,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,575,575,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,553,553,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,585,585,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,611,611,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,584,584,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,510,510,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,497,497,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,565,565,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,506,506,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,461,461,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,486,486,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,495,495,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,420,420,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,378,378,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,384,384,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,346,346,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,329,329,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,373,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,348,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,329,329,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,321,321,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,353,353,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,327,327,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,329,329,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,294,294,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,279,279,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,240,240,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,271,271,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,233,233,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,224,224,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,181,181,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,188,188,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,198,198,367,49,64,0,0,0,0,0,0,0,0,0,0,0,0
0,180,180,363,51,54,0,0,0,0,0,0,0,0,0,0,0,0
0,150,150,405,58,83,0,0,0,0,0,0,0,0,0,0,0,0
0,125,125,409,58,95,0,0,0,0,0,0,0,0,0,0,0,0
0,122,122,410,174,174,0,0,0,0,0,0,0,0,0,0,0,0
0,125,125,437,90,90,0,0,0,0,0,0,0,0,0,0,0,0
0,121,121,357,77,77,0,0,0,0,0,0,0,0,0,0,0,0
0,130,130,461,76,76,0,0,0,0,0,0,0,0,0,0,0,0
0,114,114,369,79,79,0,0,0,0,0,0,0,0,0,0,0,0
