0,1,2,3,4,5,6
918,0,0,0,0,0,0
890,100,0,0,0,0,0
977,109,0,0,0,0,0
882,113,0,0,0,0,0
802,152,0,0,0,0,0
756,162,0,0,0,0,0
709,163,0,0,0,0,0
627,127,0,0,0,0,0
531,155,0,0,0,0,0
520,135,0,0,0,0,0
530,151,0,0,0,0,0
474,95,0,0,0,0,0
480,91,0,0,0,0,0
599,56,0,0,0,0,0
648,36,0,0,0,0,0
685,33,0,0,0,0,0
757,27,0,0,0,0,0
652,0,0,0,0,0,0
565,0,0,0,0,0,0
519,0,0,0,0,0,0
551,0,0,0,0,0,0
642,0,0,0,0,0,0
746,0,0,0,0,0,0
734,0,0,0,0,0,0
705,0,0,0,0,0,0
671,0,0,0,0,0,0
632,0,0,0,0,0,0
585,0,0,0,0,0,0
642,0,0,0,0,0,0
671,0,0,0,0,0,0
607,0,0,0,0,0,0
600,0,0,0,0,0,0
607,0,0,0,0,0,0
565,21,0,0,0,0,0
543,31,56,0,0,0,0
524,27,63,0,0,0,0
470,21,61,0,0,0,0
456,23,57,0,0,0,0
524,0,62,0,0,0,0
462,23,51,0,0,0,0
572,0,38,0,0,0,0
520,0,38,0,0,0,0
546,23,34,0,0,0,0
403,0,0,0,0,0,0
482,0,0,0,0,0,0
401,0,0,0,0,0,0
329,329,0,0,0,0,0
366,366,0,0,0,0,0
360,360,0,0,0,0,0
350,350,0,0,0,0,0
336,336,0,0,0,0,0
371,371,0,0,0,0,0
323,323,0,0,0,0,0
367,367,0,0,0,0,0
317,317,0,0,0,0,0
323,323,0,0,0,0,0
240,240,0,0,0,0,0
241,241,0,0,0,0,0
269,269,269,0,0,0,0
336,336,336,0,0,0,0
386,386,386,0,0,0,0
492,492,492,0,0,0,0
530,530,530,0,0,0,0
519,519,519,0,0,0,0
452,452,452,0,0,0,0
408,408,408,0,0,0,0
412,412,412,0,0,0,0
333,333,333,0,0,0,0
375,375,375,0,0,0,0
419,419,419,0,0,0,0
388,388,388,0,0,0,0
348,348,348,0,0,0,0
326,326,326,0,0,0,0
236,236,236,0,0,0,0
204,204,204,0,0,0,0
202,202,202,0,0,0,0
231,231,231,0,0,0,0
235,235,235,0,0,0,0
224,224,224,0,0,0,0
330,330,330,0,0,0,0
318,318,318,0,0,0,0
328,328,328,0,0,0,0
315,315,315,0,0,0,0
151,151,151,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
276,276,276,362,0,0,0
354,354,354,323,0,0,0
364,364,364,261,0,0,0
344,344,344,399,0,0,0
306,306,306,453,0,0,0
383,383,383,439,0,0,0
401,401,401,485,0,0,0
490,490,490,277,0,0,0
441,441,441,218,0,0,0
435,435,435,148,0,0,0
449,449,449,133,0,0,0
389,389,389,77,0,0,0
388,388,388,114,0,0,0
330,330,330,154,0,0,0
293,293,293,216,0,0,0
304,304,304,232,0,0,0
