0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
