0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
487,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,216,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
449,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,216,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,215,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,155,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,172,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,182,33,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,183,24,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,148,23,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,173,33,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,156,28,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,203,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,168,35,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,116,37,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,101,27,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,95,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,87,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,94,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,71,20,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
