0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,141,97,67,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,82,54,82,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,84,97,79,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,51,62,98,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,55,86,129,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,91,70,122,91,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,70,0,152,70,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,89,34,146,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,65,43,140,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,67,34,135,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,85,36,155,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,48,26,200,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,73,31,176,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,51,61,158,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,39,32,159,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,84,46,171,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,58,32,163,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,43,25,155,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,103,26,133,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,94,0,158,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,66,0,230,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,74,22,295,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,115,25,274,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,143,0,207,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,158,0,172,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,120,0,219,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,121,32,230,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,112,0,250,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,102,0,245,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,129,0,255,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,193,0,271,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,149,0,233,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,115,0,220,115,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,87,0,214,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,87,0,160,87,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,71,20,138,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,69,21,132,69,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,75,0,115,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,83,0,111,83,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,42,0,82,42,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,42,0,122,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,24,0,110,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,0,0,141,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,236,0,161,236,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
