,Unnamed: 0,Coordinate,Scale_KM,TOT_dense,IC_num,CG_num,IC_amp,CG_amp,LJ,Sigma,Time,radar_ID,radar_Coor,max_SHI,nonneg_90_SHI,time_SHI,coor_SHI,valid_size_SHI,invalid_size_SHI,valid_range_SHI,datetime
210,28,"[149.833109884131, -29.902046012594464]",7.269,2.392,391.0,6.0,1436.63,77.086,Jump_11,2.23444,22:14:00,53,"[149.8461, -29.4903]","[16.8125, 21.125, 18.375, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']","[16.2875, 20.7125, 16.925, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']","['22:15:00', '22:20:00', '22:25:00', '22:30:00', '22:35:00', '22:40:00', '22:45:00', '22:50:00', '22:55:00', '23:00:00']","[[-29.850037, 149.82538], [-29.868042, 149.84613], [-29.868042, 149.86682], 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']",10698.0,69.0,0.1181,2021-02-24 22:14:00
211,30,"[149.4791929056603, -29.89780208490567]",9.879,0.346,105.0,1.0,504.801,49.545,Jump_13,3.02896,21:04:00,53,"[149.8461, -29.4903]","['NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 23.8125]","['NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 21.675]","['21:05:00', '21:10:00', '21:15:00', '21:20:00', '21:25:00', '21:30:00', '21:35:00', '21:40:00', '21:45:00', '21:50:00']","['NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', [-29.822937, 149.65948]]",10692.0,75.0,0.118,2021-02-24 21:04:00
212,31,"[149.68079271666673, -29.890672900000002]",7.743,0.956,156.0,24.0,739.884,446.121,Jump_14,4.02101,21:52:00,53,"[149.8461, -29.4903]","[10.875, 'NaN', 13.8125, 18.1875, 16.8125, 21.125, 18.375, 'NaN', 'NaN', 'NaN']","[10.8688, 'NaN', 13.6, 17.8375, 16.2875, 20.7125, 16.925, 'NaN', 'NaN', 'NaN']","['21:55:00', '22:00:00', '22:05:00', '22:10:00', '22:15:00', '22:20:00', '22:25:00', '22:30:00', '22:35:00', '22:40:00']","[[-29.858948, 149.70093], 'NaN', [-29.841003, 149.7528], [-29.841003, 149.78387], [-29.850037, 149.82538], [-29.868042, 149.84613], [-29.868042, 149.86682], 'NaN', 'NaN', 'NaN']",10810.0,-43.0,0.1193,2021-02-24 21:52:00
213,32,"[149.833109884131, -29.902046012594464]",7.269,2.392,391.0,6.0,1436.63,77.086,Jump_15,2.23444,22:14:00,53,"[149.8461, -29.4903]","[16.8125, 21.125, 18.375, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']","[16.2875, 20.7125, 16.925, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']","['22:15:00', '22:20:00', '22:25:00', '22:30:00', '22:35:00', '22:40:00', '22:45:00', '22:50:00', '22:55:00', '23:00:00']","[[-29.850037, 149.82538], [-29.868042, 149.84613], [-29.868042, 149.86682], 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']",10698.0,69.0,0.1181,2021-02-24 22:14:00
214,33,"[149.4791929056603, -29.89780208490567]",9.879,0.346,105.0,1.0,504.801,49.545,Jump_2,3.02896,21:04:00,53,"[149.8461, -29.4903]","['NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 23.8125]","['NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 21.675]","['21:05:00', '21:10:00', '21:15:00', '21:20:00', '21:25:00', '21:30:00', '21:35:00', '21:40:00', '21:45:00', '21:50:00']","['NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', [-29.822937, 149.65948]]",10692.0,75.0,0.118,2021-02-24 21:04:00
215,34,"[149.68079271666673, -29.890672900000002]",7.743,0.956,156.0,24.0,739.884,446.121,Jump_3,4.02101,21:52:00,53,"[149.8461, -29.4903]","[10.875, 'NaN', 13.8125, 18.1875, 16.8125, 21.125, 18.375, 'NaN', 'NaN', 'NaN']","[10.8688, 'NaN', 13.6, 17.8375, 16.2875, 20.7125, 16.925, 'NaN', 'NaN', 'NaN']","['21:55:00', '22:00:00', '22:05:00', '22:10:00', '22:15:00', '22:20:00', '22:25:00', '22:30:00', '22:35:00', '22:40:00']","[[-29.858948, 149.70093], 'NaN', [-29.841003, 149.7528], [-29.841003, 149.78387], [-29.850037, 149.82538], [-29.868042, 149.84613], [-29.868042, 149.86682], 'NaN', 'NaN', 'NaN']",10810.0,-43.0,0.1193,2021-02-24 21:52:00
216,35,"[149.833109884131, -29.902046012594464]",7.269,2.392,391.0,6.0,1436.63,77.086,Jump_4,2.23444,22:14:00,53,"[149.8461, -29.4903]","[16.8125, 21.125, 18.375, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']","[16.2875, 20.7125, 16.925, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']","['22:15:00', '22:20:00', '22:25:00', '22:30:00', '22:35:00', '22:40:00', '22:45:00', '22:50:00', '22:55:00', '23:00:00']","[[-29.850037, 149.82538], [-29.868042, 149.84613], [-29.868042, 149.86682], 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']",10698.0,69.0,0.1181,2021-02-24 22:14:00
217,37,"[149.4791929056603, -29.89780208490567]",9.879,0.346,105.0,1.0,504.801,49.545,Jump_14,3.02896,21:04:00,53,"[149.8461, -29.4903]","['NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 23.8125]","['NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 21.675]","['21:05:00', '21:10:00', '21:15:00', '21:20:00', '21:25:00', '21:30:00', '21:35:00', '21:40:00', '21:45:00', '21:50:00']","['NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', [-29.822937, 149.65948]]",10692.0,75.0,0.118,2021-02-24 21:04:00
218,38,"[149.68079271666673, -29.890672900000002]",7.743,0.956,156.0,24.0,739.884,446.121,Jump_15,4.02101,21:52:00,53,"[149.8461, -29.4903]","[10.875, 'NaN', 13.8125, 18.1875, 16.8125, 21.125, 18.375, 'NaN', 'NaN', 'NaN']","[10.8688, 'NaN', 13.6, 17.8375, 16.2875, 20.7125, 16.925, 'NaN', 'NaN', 'NaN']","['21:55:00', '22:00:00', '22:05:00', '22:10:00', '22:15:00', '22:20:00', '22:25:00', '22:30:00', '22:35:00', '22:40:00']","[[-29.858948, 149.70093], 'NaN', [-29.841003, 149.7528], [-29.841003, 149.78387], [-29.850037, 149.82538], [-29.868042, 149.84613], [-29.868042, 149.86682], 'NaN', 'NaN', 'NaN']",10810.0,-43.0,0.1193,2021-02-24 21:52:00
219,39,"[149.833109884131, -29.902046012594464]",7.269,2.392,391.0,6.0,1436.63,77.086,Jump_16,2.23444,22:14:00,53,"[149.8461, -29.4903]","[16.8125, 21.125, 18.375, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']","[16.2875, 20.7125, 16.925, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']","['22:15:00', '22:20:00', '22:25:00', '22:30:00', '22:35:00', '22:40:00', '22:45:00', '22:50:00', '22:55:00', '23:00:00']","[[-29.850037, 149.82538], [-29.868042, 149.84613], [-29.868042, 149.86682], 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']",10698.0,69.0,0.1181,2021-02-24 22:14:00
