,Coordinate,Scale_KM,TOT_dense,IC_num,CG_num,IC_amp,CG_amp,LJ,Sigma,Time,radar_ID,radar_Coor,max_SHI,nonneg_90_SHI,time_SHI,coor_SHI,valid_size_SHI,invalid_size_SHI,valid_range_SHI,datetime
149,"[153.98954808407072, -32.33964867876102]",39.352,0.232,1070.0,60.0,6585.573,1065.166,Jump_11,-0.20129,20:02:00,No_Radar,No_Radar,,,,,,,,2021-10-14 20:02:00
150,"[153.99340373607723, -32.3757669749798]",42.845,0.215,1160.0,79.0,7145.094,1315.727,Jump_11,0.61696,20:04:00,No_Radar,No_Radar,,,,,,,,2021-10-14 20:04:00
151,"[153.998024304078, -32.40147685549645]",43.387,0.191,1067.0,61.0,6675.491,1020.172,Jump_11,-0.7606,20:06:00,No_Radar,No_Radar,,,,,,,,2021-10-14 20:06:00
163,"[154.1753018295005, -32.49391074544019]",54.075,0.137,1185.0,76.0,7782.917,1551.928,Jump_12,2.08666,20:30:00,No_Radar,No_Radar,,,,,,,,2021-10-14 20:30:00
164,"[154.0786226741935, -32.96106495322582]",38.312,0.134,579.0,41.0,4145.345,820.541,Jump_12,-1.83208,20:32:00,No_Radar,No_Radar,,,,,,,,2021-10-14 20:32:00
165,"[154.20517146364352, -32.4652234433151]",54.959,0.135,1192.0,87.0,8113.523,1788.258,Jump_12,1.43664,20:34:00,No_Radar,No_Radar,,,,,,,,2021-10-14 20:34:00
166,"[154.29586153002617, -32.040830755874694]",14.26,1.199,752.0,14.0,4674.092,219.985,Jump_12,-0.88973,20:36:00,No_Radar,No_Radar,,,,,,,,2021-10-14 20:36:00
178,"[154.30054567452297, -32.49166733445565]",43.792,0.148,834.0,57.0,5646.258,1034.34,Jump_13,3.61604,21:00:00,No_Radar,No_Radar,,,,,,,,2021-10-14 21:00:00
179,"[154.31810284918024, -32.22386670655737]",12.697,1.204,597.0,13.0,3659.697,293.893,Jump_13,-2.00059,21:02:00,No_Radar,No_Radar,,,,,,,,2021-10-14 21:02:00
180,"[154.31940634773665, -32.56434151646098]",45.473,0.15,890.0,82.0,5829.255,1751.936,Jump_13,1.75996,21:04:00,No_Radar,No_Radar,,,,,,,,2021-10-14 21:04:00
181,"[154.31756804590154, -32.596475444808796]",47.273,0.13,867.0,48.0,5433.683,903.333,Jump_13,-0.21337,21:06:00,No_Radar,No_Radar,,,,,,,,2021-10-14 21:06:00
188,"[154.3569494517065, -32.55335965795209]",40.516,0.267,1281.0,96.0,7891.742,1810.289,Jump_14,5.84527,21:20:00,No_Radar,No_Radar,,,,,,,,2021-10-14 21:20:00
189,"[154.3680069224378, -32.33584366666665]",10.284,3.259,1042.0,41.0,6014.62,415.979,Jump_14,-1.66444,21:22:00,No_Radar,No_Radar,,,,,,,,2021-10-14 21:22:00
190,"[154.36270087638889, -32.63181386249995]",46.258,0.214,1362.0,78.0,8320.911,1414.978,Jump_14,1.35148,21:24:00,No_Radar,No_Radar,,,,,,,,2021-10-14 21:24:00
191,"[154.38838725911458, -32.35560113281248]",11.074,1.993,744.0,24.0,3952.969,242.445,Jump_14,-2.28612,21:26:00,No_Radar,No_Radar,,,,,,,,2021-10-14 21:26:00
197,"[154.41440612218162, -32.961693754909064]",63.107,0.11,1284.0,91.0,7844.189,1899.214,Jump_15,17.91112,21:38:00,No_Radar,No_Radar,,,,,,,,2021-10-14 21:38:00
198,"[154.50188058688533, -32.42006757049182]",13.221,1.111,580.0,30.0,3295.892,353.937,Jump_15,-3.4648,21:40:00,No_Radar,No_Radar,,,,,,,,2021-10-14 21:40:00
199,"[154.50814522960152, -32.4342422732448]",13.859,0.873,501.0,26.0,2871.254,332.916,Jump_15,-0.18252,21:42:00,No_Radar,No_Radar,,,,,,,,2021-10-14 21:42:00
200,"[154.5067909025972, -32.45333337229436]",14.533,0.696,440.0,22.0,2435.125,291.833,Jump_15,-0.14306,21:44:00,No_Radar,No_Radar,,,,,,,,2021-10-14 21:44:00
211,"[154.43778037037026, -33.344369747089935]",79.312,0.048,835.0,110.0,5548.498,1963.834,Jump_16,12.30605,22:06:00,No_Radar,No_Radar,,,,,,,,2021-10-14 22:06:00
212,"[154.47382223185676, -33.402383491988644]",80.71,0.052,941.0,120.0,5642.517,2799.603,Jump_16,0.4732,22:08:00,No_Radar,No_Radar,,,,,,,,2021-10-14 22:08:00
213,"[154.45486355565922, -33.385138143124394]",80.291,0.053,936.0,133.0,6034.999,2422.391,Jump_16,0.03505,22:10:00,No_Radar,No_Radar,,,,,,,,2021-10-14 22:10:00
214,"[154.45259392049797, -33.39622485249043]",82.443,0.049,922.0,122.0,5859.158,2388.778,Jump_16,-0.11248,22:12:00,No_Radar,No_Radar,,,,,,,,2021-10-14 22:12:00
