,Unnamed: 0,Coordinate,Scale_KM,TOT_dense,IC_num,CG_num,IC_amp,CG_amp,LJ,Sigma,Time,radar_ID,radar_Coor,max_SHI,nonneg_90_SHI,time_SHI,coor_SHI,valid_size_SHI,invalid_size_SHI,valid_range_SHI,datetime
45,56,"[152.26891562686572, -25.989440283582084]",9.541,0.234,67.0,0.0,223.623,0.0,Jump_1,6.49143,05:58:00,8,"[152.5768, -25.9574]","[351.5, 118.5, 128.5625, 414.9375, 464.5625, 306.5625, 257.125, 139.25, 179.0625, 364.625]","[253.6813, 77.3375, 71.4062, 243.4688, 214.0875, 150.375, 126.4, 69.225, 86.0625, 227.8375]","['06:00:00', '06:05:00', '06:10:00', '06:15:00', '06:20:00', '06:25:00', '06:30:00', '06:35:00', '06:40:00', '06:45:00']","[[-26.451721, 152.26544], [-26.487732, 152.30548], [-26.109985, 152.27637], [-26.137024, 152.31635], [-26.173035, 152.3363], [-26.200073, 152.37634], [-26.227112, 152.41638], [-26.182251, 152.59686], [-26.299133, 152.48651], [-26.32611, 152.52661]]",11162.0,-68.0,0.1232,2021-10-14 05:58:00
46,57,"[152.5402984524714, -26.271432980988585]",7.563,1.464,262.0,1.0,929.42,6.084,Jump_2,6.39767,06:42:00,8,"[152.5768, -25.9574]","[364.625, 481.875, 419.6875, 139.1875, 152.75, 337.875, 388.3125, 237.875, 311.625, 366.5]","[174.175, 204.4625, 197.4375, 86.1, 110.5875, 214.825, 228.575, 206.9125, 219.5625, 256.5625]","['06:45:00', '06:50:00', '06:55:00', '07:00:00', '07:05:00', '07:10:00', '07:15:00', '07:20:00', '07:25:00', '07:30:00']","[[-26.32611, 152.52661], [-26.353088, 152.56677], [-26.380066, 152.60693], [-26.398071, 152.6471], [-26.424988, 152.67725], [-26.451965, 152.69733], [-26.478943, 152.72748], [-26.496887, 152.75769], [-26.523804, 152.78784], [-26.559753, 152.80804]]",11100.0,-6.0,0.1225,2021-10-14 06:42:00
47,58,"[152.71028814444435, -26.439621766666686]",4.735,2.556,179.0,1.0,671.072,3.502,Jump_3,2.4966,07:12:00,8,"[152.5768, -25.9574]","[388.3125, 237.875, 311.625, 366.5, 300.625, 449.5625, 355.1875, 252.1875, 251.25, 287.3125]","[226.925, 186.175, 199.8938, 256.5625, 236.675, 278.5, 223.9125, 188.425, 167.7438, 189.4813]","['07:15:00', '07:20:00', '07:25:00', '07:30:00', '07:35:00', '07:40:00', '07:45:00', '07:50:00', '07:55:00', '08:00:00']","[[-26.478943, 152.72748], [-26.496887, 152.75769], [-26.523804, 152.78784], [-26.559753, 152.80804], [-26.58667, 152.84833], [-26.613586, 152.88861], [-26.640503, 152.91888], [-26.67633, 152.95923], [-26.703247, 152.99957], [-26.730103, 153.0299]]",11059.0,35.0,0.1221,2021-10-14 07:12:00
48,62,"[150.90473176079712, -33.645762483942384]",20.965,0.654,860.0,43.0,3155.84,687.363,Jump_1,2.70114,05:00:00,71,"[151.2094, -33.7008]","[318.9375, 370.0625, 301.6875, 181.875, 122.375, 38.1875, 28.1875, 58.0, 91.625, 110.375, 169.375]","[198.3625, 141.3125, 202.8938, 155.775, 91.2938, 33.9312, 19.0188, 40.1688, 58.3563, 93.9625, 118.1875]","['05:00:00', '05:05:00', '05:10:00', '05:15:00', '05:20:00', '05:25:00', '05:30:00', '05:35:00', '05:40:00', '05:45:00', '05:50:00']","[[-33.727173, 150.82013], [-33.727295, 150.85254], [-33.763367, 150.9065], [-33.790466, 150.93884], [-33.826477, 150.97125], [-33.853516, 150.9928], [-33.47589, 151.34955], [-33.502808, 151.38196], [-33.88965, 151.13354], [-33.9256, 151.14435], [-33.943604, 151.20941]]",10311.0,5.0,0.1138,2021-10-14 05:00:00
49,63,"[151.17464829761906, -33.6631087547619]",25.169,0.211,369.0,51.0,1244.768,707.018,Jump_2,2.08113,05:24:00,71,"[151.2094, -33.7008]","[38.1875, 28.1875, 58.0, 91.625, 110.375, 169.375, 164.125, 70.1875, 39.6875, 56.4375]","[33.9312, 19.0188, 40.1625, 53.6875, 88.925, 100.4688, 99.9375, 42.4125, 27.275, 48.75]","['05:25:00', '05:30:00', '05:35:00', '05:40:00', '05:45:00', '05:50:00', '05:55:00', '06:00:00', '06:05:00', '06:10:00']","[[-33.853516, 150.9928], [-33.47589, 151.34955], [-33.502808, 151.38196], [-33.88965, 151.13354], [-33.9256, 151.14435], [-33.943604, 151.20941], [-33.59253, 151.50092], [-33.619385, 151.54419], [-33.637268, 151.59827], [-33.664124, 151.6308]]",10280.0,36.0,0.1135,2021-10-14 05:24:00
50,64,"[151.31752203780067, -33.88367023024057]",21.448,0.201,260.0,31.0,883.933,440.628,Jump_3,3.63702,05:56:00,54,"[151.2263, -34.0148]","['NaN', 'NaN', 57.0625, 47.6875, 58.5, 33.875, 18.375, 'NaN', 32.375, 34.9375]","['NaN', 'NaN', 47.9062, 36.5188, 42.475, 30.3438, 17.775, 'NaN', 28.5625, 26.8125]","['06:00:00', '06:05:00', '06:10:00', '06:15:00', '06:20:00', '06:25:00', '06:30:00', '06:35:00', '06:40:00', '06:45:00']","['NaN', 'NaN', [-33.672424, 151.62616], [-33.69922, 151.6695], [-33.726074, 151.71289], [-33.75287, 151.75629], [-33.77063, 151.79968], 'NaN', [-33.420837, 150.90308], [-33.753967, 151.2804]]",10304.0,-57.0,0.1137,2021-10-14 05:56:00
51,65,"[150.13404001538458, -31.29531276923078]",25.09,0.033,49.0,16.0,209.323,257.829,Jump_0,3.21183,04:38:00,69,"[150.1917, -31.0236]","[30.9375, 13.4375, 33.3125, 52.5, 19.4375, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']","[25.3438, 13.025, 29.6125, 46.325, 17.5625, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']","['04:40:00', '04:45:00', '04:50:00', '04:55:00', '05:00:00', '05:05:00', '05:10:00', '05:15:00', '05:20:00', '05:25:00']","[[-31.095459, 150.04468], [-31.13147, 150.06561], [-31.16748, 150.0971], [-31.212463, 150.1391], [-31.248413, 150.18115], 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']",10549.0,-4.0,0.1164,2021-10-14 04:38:00
52,66,"[151.13343993457946, -33.39330497196262]",13.515,0.186,102.0,5.0,315.572,74.531,Jump_3,2.45815,08:08:00,71,"[151.2094, -33.7008]","[59.6875, 60.6875, 43.5625, 11.3125, 'NaN', 'NaN', 'NaN', 38.25, 105.625, 129.5625]","[45.6813, 46.7125, 35.1875, 11.2375, 'NaN', 'NaN', 'NaN', 31.8, 89.225, 89.0375]","['08:10:00', '08:15:00', '08:20:00', '08:25:00', '08:30:00', '08:35:00', '08:40:00', '08:45:00', '08:50:00', '08:55:00']","[[-33.475708, 150.95062], [-33.269104, 151.20941], [-33.29608, 151.25244], [-33.332092, 151.2417], 'NaN', 'NaN', 'NaN', [-33.43982, 151.40338], [-33.47577, 151.4466], [-33.493713, 151.4682]]",10323.0,-7.0,0.1139,2021-10-14 08:08:00
53,67,"[151.53320621276592, -33.74657828191489]",17.596,0.193,162.0,26.0,572.101,433.66,Jump_4,5.7978,08:38:00,71,"[151.2094, -33.7008]","[34.1875, 54.25, 105.625, 129.5625, 212.375, 395.75, 385.8125, 400.125, 316.125, 116.0625]","[30.6938, 42.8625, 81.525, 80.5, 132.5812, 241.125, 226.1, 214.1625, 154.55, 91.7875]","['08:40:00', '08:45:00', '08:50:00', '08:55:00', '09:00:00', '09:05:00', '09:10:00', '09:15:00', '09:20:00', '09:25:00']","[[-34.103027, 151.9914], [-34.138855, 152.01343], [-33.47577, 151.4466], [-33.493713, 151.4682], [-33.52057, 151.51141], [-33.538452, 151.55469], [-33.57428, 151.59796], [-33.601074, 151.6521], [-33.636963, 151.6847], [-33.654724, 151.72803]]",10288.0,28.0,0.1136,2021-10-14 08:38:00
54,68,"[151.65004445093453, -33.92165003971962]",32.031,0.133,396.0,32.0,1377.686,673.599,Jump_5,4.42759,08:50:00,54,"[151.2263, -34.0148]","[155.375, 173.9375, 199.9375, 218.5625, 241.0625, 278.8125, 284.5, 124.75, 102.5625, 61.5, 25.5625]","[82.325, 84.3, 113.4375, 150.3625, 158.9625, 186.0625, 107.375, 72.9375, 72.6312, 42.5625, 22.125]","['08:50:00', '08:55:00', '09:00:00', '09:05:00', '09:10:00', '09:15:00', '09:20:00', '09:25:00', '09:30:00', '09:35:00', '09:40:00']","[[-33.475037, 151.44196], [-33.49292, 151.4743], [-33.52881, 151.51758], [-33.555664, 151.57166], [-33.58252, 151.60413], [-33.609436, 151.63666], [-33.645264, 151.68], [-33.67206, 151.72339], [-34.101807, 152.07343], [-33.716614, 151.82092], [-33.752502, 151.83203]]",10284.0,-37.0,0.1135,2021-10-14 08:50:00
