0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,106,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,57,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,58,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,35,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,31,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,28,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,32,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,23,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,58,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,48,48,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,34,34,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,40,40,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,31,31,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,36,36,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,27,27,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,60,60,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,34,34,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,42,42,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,18,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,32,32,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,25,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,10,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,24,24,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,29,29,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,33,33,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22,22,22,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,27,27,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,28,28,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,18,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,17,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,10,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21,21,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20,20,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20,20,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,23,23,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,24,24,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,19,19,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,36,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,29,29,29,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
33,33,33,33,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
24,24,24,24,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
31,31,31,31,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,14,14,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,15,15,0,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,12,12,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,16,16,0,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,15,15,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,14,14,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,18,18,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
54,54,54,54,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
48,48,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,39,39,39,0,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0
56,56,56,56,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,43,43,43,0,27,25,0,0,0,0,0,0,0,0,0,0,0,0,0
49,49,49,49,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,32,32,32,0,82,17,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22,22,22,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,11,11,0,97,14,0,0,0,0,0,0,0,0,0,0,0,0,0
24,24,24,24,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,12,12,0,46,10,13,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,32,0,13,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,32,0,16,0,0,0,0,0,0,0,0,0,0,0,0
21,21,21,21,0,18,0,19,0,0,0,0,0,0,0,0,0,0,0,0
11,11,11,11,0,11,10,11,0,0,0,0,0,0,0,0,0,0,0,0
11,11,11,11,0,49,11,22,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,73,0,34,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,44,0,17,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,37,0,35,0,0,0,0,0,0,0,0,0,0,0,0
16,16,16,16,0,25,16,24,11,0,0,0,0,0,0,0,0,0,0,0
13,13,13,13,0,34,13,42,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,15,0,36,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,17,0,17,19,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,26,0,26,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,28,0,28,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,36,0,36,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,34,0,34,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,46,0,46,0,0,0,0,0,0,0,0,0,0,0,0
20,20,20,20,0,61,20,61,20,0,0,0,0,0,0,0,0,0,0,0
19,19,19,19,0,83,19,83,19,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,115,0,115,0,0,0,0,0,0,0,0,0,0,0,0
11,11,11,11,0,143,11,143,11,0,0,0,0,0,0,0,0,0,0,0
13,13,13,13,0,163,13,163,13,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,173,0,173,0,0,0,0,0,0,0,0,0,0,0,0
10,10,10,10,0,176,10,176,10,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,213,0,213,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,152,0,152,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,179,0,179,0,15,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,196,0,196,0,0,0,0,0,0,0,0,0,0,0,0
